GEOID,Popln_2017,Popln_2018,Popln_2019,Popln_2020,Popln_2021,Popln_2022,Popln_2023,Popln_2024
55071,79175.0,79074.0,78981.0,81359.0,81103.0,81242.0,81314.0,81513.0
55073,135732.0,135428.0,135692.0,135593.0,137597.0,137820.0,138067.0,139091.0
55075,40300.0,40402.0,40350.0,40262.0,41720.0,41827.0,41907.0,42343.0
55077,15283.0,15434.0,15574.0,15585.0,15515.0,15619.0,15706.0,15743.0
55078,4599.0,4595.0,4556.0,4546.0,4318.0,4279.0,4256.0,4286.0
55079,952085.0,948201.0,945726.0,945016.0,939123.0,933063.0,927656.0,924740.0
55081,45617.0,46051.0,46253.0,46582.0,46091.0,46208.0,46169.0,46370.0
55083,37531.0,37824.0,37930.0,38383.0,38691.0,39048.0,39329.0,40037.0
55085,35287.0,35470.0,35595.0,35751.0,37468.0,37799.0,38007.0,38175.0
55087,186059.0,187365.0,187885.0,188766.0,189620.0,190611.0,191537.0,195390.0
55089,88429.0,89147.0,89221.0,90043.0,91029.0,91745.0,92345.0,93956.0
55091,7246.0,7289.0,7287.0,7271.0,7328.0,7363.0,7372.0,7555.0
55093,42016.0,42592.0,42754.0,42700.0,42204.0,42187.0,42351.0,43380.0
55095,43387.0,43598.0,43783.0,43794.0,44806.0,45128.0,45327.0,45831.0
55097,70474.0,70942.0,70772.0,71032.0,70378.0,70281.0,70375.0,72040.0
55099,13406.0,13397.0,13351.0,13245.0,14003.0,14066.0,14077.0,14087.0
55101,196071.0,196584.0,196311.0,195802.0,197379.0,197068.0,196888.0,198651.0
55103,17488.0,17377.0,17252.0,17258.0,17353.0,17256.0,17229.0,17123.0
55105,162309.0,161769.0,163354.0,163084.0,163522.0,163817.0,163944.0,165461.0
55107,14179.0,14147.0,14178.0,14022.0,14182.0,14179.0,14146.0,14168.0
55109,88703.0,89694.0,90687.0,91838.0,92495.0,93752.0,94819.0,97954.0
55111,63967.0,64318.0,64442.0,64449.0,65428.0,65664.0,65759.0,66486.0
55113,16391.0,16489.0,16558.0,16700.0,17813.0,18057.0,18243.0,18835.0
55115,40846.0,40771.0,40899.0,40786.0,40836.0,40848.0,40927.0,41299.0
55117,115344.0,115456.0,115340.0,118034.0,117528.0,117741.0,117783.0,118331.0
55119,20333.0,20412.0,20343.0,20318.0,19960.0,19979.0,19972.0,20167.0
55121,29361.0,29442.0,29649.0,29681.0,30504.0,30679.0,30786.0,30801.0
55123,30737.0,30785.0,30822.0,30861.0,30719.0,30811.0,30915.0,31351.0
55125,21706.0,21938.0,22195.0,22356.0,22813.0,23146.0,23410.0,23948.0
55127,103082.0,103718.0,103868.0,103953.0,105945.0,105127.0,105447.0,106029.0
55129,15770.0,15878.0,15720.0,15712.0,16561.0,16685.0,16749.0,16982.0
55131,135101.0,135693.0,136034.0,136445.0,136300.0,136842.0,137320.0,138727.0
55133,400621.0,403072.0,404198.0,406978.0,405332.0,407290.0,409040.0,417029.0
55135,51153.0,51128.0,50990.0,50664.0,51769.0,51822.0,51714.0,51171.0
55137,24186.0,24263.0,24443.0,24326.0,24527.0,24672.0,24752.0,25079.0
55139,170414.0,171020.0,171907.0,171631.0,171304.0,171197.0,171357.0,173307.0
55141,73126.0,73055.0,72999.0,72560.0,74107.0,74138.0,74039.0,73943.0
56001,38459.0,38728.0,38880.0,38950.0,37311.0,37525.0,37713.0,39288.0
56003,11879.0,11881.0,11790.0,11575.0,11671.0,11690.0,11737.0,12084.0
56005,46402.0,46299.0,46341.0,46676.0,46758.0,46857.0,47018.0,47946.0
56007,15242.0,14971.0,14800.0,14711.0,14714.0,14609.0,14549.0,14250.0
56009,13744.0,13640.0,13822.0,13804.0,13702.0,13729.0,13759.0,13766.0
56011,7397.0,7445.0,7584.0,7593.0,7185.0,7258.0,7339.0,7775.0
56013,39818.0,39561.0,39261.0,39317.0,39434.0,39402.0,39472.0,39721.0
56015,13404.0,13376.0,13211.0,13235.0,12642.0,12592.0,12587.0,12635.0
56017,4686.0,4555.0,4413.0,4425.0,4673.0,4616.0,4618.0,4625.0
56019,8442.0,8460.0,8445.0,8588.0,8457.0,8536.0,8602.0,8803.0
56021,98327.0,98976.0,99500.0,100595.0,99905.0,100316.0,100661.0,101783.0
56023,19259.0,19434.0,19830.0,20253.0,19457.0,19794.0,20158.0,21000.0
