County,GEOID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,Cases_2023,2023_population,Cases_2023_normalized
Adams,17001.0,-0.0959342645777259,-0.0601052950758575,0.0244674404560838,-0.0941777470658823,0.0302739356698207,-0.0943522902660936,-0.006535028041511,0.0975207595272006,0.0034257533366154,-0.185849550810175,0.0860876486719605,-0.0144557124125667,-0.022657933029538,0.008659695768794,-0.0836800994603808,0.1143909256287713,-0.1217661226256092,0.0999338680798916,-0.1252692429261397,0.0402045261308751,-0.0634762369259436,-0.0189667427076074,0.0321666530924971,0.124548408852084,0.0092893642779933,0.1030492166799943,-0.065503353927982,-0.0573420548132338,0.0296355964291323,-0.1411627255601771,-0.1935067682199494,-0.1088247353290478,0.0778629107425436,-0.0012958477013533,-0.0705667921598166,-0.0305085780356795,-0.1165400363490325,-0.1153686067910994,0.0685592180648113,-0.0784312425527704,-0.0083633110607882,0.0667103679561849,0.1892929898771585,-0.0865631318584952,-0.0902770950370247,0.0351948591916356,0.1806136421378658,-0.0349868586108002,0.1720234739321234,-0.1339060971670623,0.0112211540133962,0.0825411199555342,-0.1048848854822167,0.1142235239076164,0.1236967494117471,0.1713830954794014,-0.029658291278084,0.0959907517747472,0.0354745493421276,-0.0395805375166593,-0.1181480023146079,-0.1066166459146698,-0.1670889090140876,0.025340838102481,1.0,64435,1.5519515791107317
Alexander,17003.0,-0.1116513417252961,-0.0577872159820164,-0.0335308936504879,-0.0408542460438612,-0.010084665011974,-0.0714687423357227,0.0489856774712601,0.074885999756666,-0.0156735628936972,-0.1326478769023588,0.1062681244375555,-0.0445373082862636,-0.0760794133890365,-0.0442407185553947,-0.0892420529849794,0.0799068143762426,-0.1651610260884205,-0.0077703576249152,-0.1710475562836406,0.0287471664345162,-0.0435272077290408,0.0684378286415708,-0.0545178053985155,0.0784448471165795,0.0137487062614771,0.1117498929939597,-0.0603418169397774,-0.0689785955955488,-0.0288016128807076,-0.018290527305531,-0.1522486652759419,-0.0799123019754288,0.0202943906845958,0.0147570983898325,-0.0562714077208834,-0.1761561418720521,-0.1175052477974764,-0.1652759594979491,0.0680360307717827,-0.073326731452242,-0.0394223435215008,0.0689100652660758,0.2453142512448999,-0.0729425991184903,0.0147738449997385,0.0996387245845642,0.1025614448531149,-0.0849785135253385,0.2162368470947484,-0.0758397871763398,-0.0814893715150857,0.0610481448475643,-0.0884372683313708,0.0867947705997804,0.1022662708455252,0.1899553187958897,-0.0441539104517661,0.0796358985840612,0.0626488609999955,-0.0526464516218889,-0.0831137843966228,-0.1253320141086473,-0.0944687976908978,0.057781991606311,0.0,4723,0.0
Bond,17005.0,-0.1109642653555456,-0.0487656240810439,0.0009322267044676,-0.0665418333724475,0.0171351478042472,-0.0988584359866474,0.0293963436410477,0.0593048378074413,-0.0041808602588925,-0.2131439977219604,0.0869169325785896,0.005395826257243,-0.0420406072497773,0.0132414512430554,-0.0670189067847483,0.0738629049999898,-0.1555864588335034,0.0534788392697179,-0.1025023564222468,0.0272503217051191,-0.0598632588471195,0.0256468402132335,0.0063113882349036,0.1152074357001134,-0.0230140060396093,0.1214994430126649,-0.0387274885468998,-0.0256136276968777,-0.028640085435375,-0.1284599115727096,-0.1995976850003596,-0.1053962810356432,0.0723435939963874,0.0293696680755742,-0.0592571697509779,-0.1144951067259553,-0.1334533958439337,-0.1214007865371108,0.069943021661491,-0.0504072693632467,-0.0026743555552133,0.0853197636185591,0.2069434841232549,-0.1191927627204315,-0.0674163668064591,0.0353583456509605,0.1633262514755412,-0.0636228172329846,0.2004015747044048,-0.0957577878884495,-0.0303560771415527,0.0624055389455779,-0.1271256562925076,0.0590996464956771,0.1586372277366054,0.1726185458082955,-0.0496664481295035,0.0976215582712553,0.0137570080585813,-0.0735228472866603,-0.0961927365983607,-0.1064880363750868,-0.136645637385191,0.0503977944396476,0.0,16637,0.0
Boone,17007.0,-0.0352023276063725,-0.0530522615130919,0.0453753324783905,-0.1618721363855339,0.0493432150835134,-0.1209764477668662,-0.0116967500690699,0.0681925897316803,0.030609862171555,-0.2258937526497292,0.0585094660822201,0.0056867928768809,-0.0020325543948206,0.0665986564400943,-0.1510458165524173,0.0675323045722661,-0.1239580964243783,0.0555876612349831,-0.1061928383584215,0.0568990630400908,-0.0249463872290355,-0.0630947824545034,0.0518687871997501,0.0753546344980329,-0.0652637845916331,0.1367564924573699,0.0663207946707151,-0.0174044072850475,0.0816765585624073,-0.1860193889201319,-0.1857842467914391,-0.0924472374604846,0.0071024718961906,-0.0101294641112245,-0.0267062070512745,-0.0290487319935372,-0.0363669962174931,-0.0498213860004461,0.0916249211096634,-0.034089401320168,-0.0308673349676597,0.0869980810188902,0.1421386977272283,-0.1266320680595499,-0.0730689508694924,0.0450935524320371,0.1868979316854221,-0.0437522388763413,0.1483801409709834,-0.1330992575149518,0.034022519797238,0.0845003751803436,-0.1350992447116257,0.0277035546166148,0.1726173190161179,0.1837392787763557,-0.0024875260215294,0.0338849643659189,0.0368487827062589,-0.1344133787057751,-0.102382514076008,-0.0772270968596863,-0.1426217809889897,0.0724538304660889,0.0,53239,0.0
Brown,17009.0,-0.1034615412477007,-0.0372426557439669,0.0173376208548326,-0.0597753951004295,0.0313743804689205,-0.1171363920394838,-0.0089360901306831,0.1290125426250352,0.0196955472361481,-0.1627146119040014,0.1013969851268929,-0.0268834166711612,-0.0268238055190157,-0.0126028810011959,-0.1057464040708121,0.1354832083654855,-0.1224294150919191,0.091612936225755,-0.1666968464607552,0.0409532363186185,-0.0527818432179807,-0.0134572468228428,0.0205968385957678,0.1156961797535831,0.0460446081182502,0.0868290719832112,-0.1224158720191531,-0.0707946867907761,0.0255157384556187,-0.0951418647287481,-0.1917256635287185,-0.0739863208277323,0.0725217942095917,-0.003097175468991,-0.0490149571972058,-0.0298330480030603,-0.1242585657617166,-0.1560880772988416,0.0551526087941961,-0.102131252829582,-0.0085499673242018,0.0644760898950003,0.2034931810337427,-0.0632994553072941,-0.0748732384616918,0.0389680530908521,0.2038465762283024,-0.0585454817199595,0.176242830761396,-0.1476377400887299,-0.0107351208607264,0.0849337780584083,-0.0934370093896077,0.132993510412425,0.0964717759357913,0.1794362708333718,0.005644026370147,0.0972436547371602,0.0306158486174141,-0.0126252457893069,-0.1129388670188994,-0.1188077735768627,-0.1630369440514752,0.0174954215406743,0.0,6301,0.0
Bureau,17011.0,-0.0527876048119958,-0.061390161608144,-0.0027131199410098,-0.1386171802920629,0.0317248655487216,-0.1453319958557317,-0.0069179262962678,0.0788644360743244,0.0146757307751365,-0.2196893233870735,0.0915170380211521,0.0304945008954229,-0.0104150608562418,0.0442487353250469,-0.0820184034701052,0.0762553377731913,-0.133201992006276,0.0778676899809518,-0.119262131461159,0.0256866240174635,-0.0449120663144762,-0.0150868806200658,0.0334275716311385,0.1063535713905192,-0.0541289799477581,0.1319603260940026,0.0594242416089725,0.0263923623006143,0.0437801791304755,-0.2038534688247178,-0.1999287065067488,-0.1253394279621439,0.0368234492605832,0.0122615067159475,-0.0074796180135842,-0.0312308130180913,-0.0790333366207158,-0.0448279404257741,0.085920807351894,-0.039578799737335,-0.0230067891927188,0.090182028609552,0.1655186585819588,-0.1486874739387581,-0.0968151537555865,0.0458784023611539,0.2115618081635412,-0.0540335947619014,0.1727933231113008,-0.1047466903286917,0.0487031887220992,0.0828646427575931,-0.1236026822762438,0.0477472803214434,0.1494721688889796,0.187870625672494,-0.0184761597512033,0.0545108601861139,0.0138714171079215,-0.1317658003483045,-0.1005024095862461,-0.0726957932065059,-0.1462369541279107,0.062117888053611,0.0,32758,0.0
Calhoun,17013.0,-0.1171497198330002,-0.0605428843991699,-0.0079872935352886,-0.0381364308473316,0.0095670611185176,-0.1110473740264195,-0.0070554693217801,0.1287958797431523,0.015699274450468,-0.1414761603622959,0.0987212042220847,-0.0405840373991854,-0.0400529622479375,-0.0458349541150592,-0.0932679083181091,0.117605795575948,-0.1340830671175397,0.0612414609651718,-0.1827514878149904,0.0131275446682464,-0.0480222485988973,-0.0024417419596902,-0.0283812642217623,0.1171729826139012,0.0397181281905475,0.0496301091441181,-0.1313712525758714,-0.0919345342800791,0.0137717217790074,-0.0365856197366692,-0.1665525568220342,-0.0334454961445874,0.0571605400613656,-0.0052445943725485,-0.0453746012260581,-0.0452486765540171,-0.1130352482504221,-0.1839130950587002,0.048661445960779,-0.0917129697951866,-0.0415170088843239,0.0482242680561492,0.2323277537570313,-0.0496749977273794,-0.0255467000993344,0.0722234529150784,0.1420546860317008,-0.0488233903385986,0.1709127567461881,-0.1446356949743631,-0.05347061095788,0.0933102443426844,-0.0879734885083745,0.1173588912501629,0.0861177850175475,0.1687276172933172,0.0049655722971851,0.0980580673828267,0.0456033271211153,-0.0003992158385524,-0.098240307162378,-0.1404819127976037,-0.1277248808987362,0.0457623366963438,0.0,4293,0.0
Carroll,17015.0,-0.0466455195919893,-0.0616634321500441,0.0395024333352383,-0.1172636829510137,0.041543507813064,-0.1391584338425495,-0.0213353533070058,0.1356493045224584,0.0356923358742336,-0.1785331532053791,0.0571600778531378,0.0234887694414439,-0.0113163099479788,0.0634812744359137,-0.1031545810607518,0.1166073179428495,-0.1030060593864327,0.0606374709769204,-0.1379203286754827,0.0107342639075362,-0.0177701358294112,-0.0741607313310133,0.045024254144287,0.104571885055317,-0.0147661263047103,0.1139913996618918,-0.0200855955370439,0.0034154162081958,0.0992232597973149,-0.1808989738887336,-0.1824433119044451,-0.0702905076310119,0.0369547260136743,-0.0315163910921307,-0.0277628154708146,0.0308225846236616,-0.0577536296010757,-0.0721482607496122,0.0436598756591214,-0.044674785038792,-0.029254840106896,0.0653833081051494,0.1433742379690885,-0.1359918896841642,-0.1219910914733729,0.0473878235702552,0.2111311325534512,-0.0395559851561174,0.1037694713370138,-0.1211769719664127,0.0527853101711025,0.0866363173403051,-0.1047475556773864,0.0865976997144241,0.1238848233047283,0.1810358303273731,0.0057411521540204,0.0612500652354514,0.020984979670943,-0.0687049900788742,-0.1179424169913867,-0.0828519686482366,-0.1555931549197707,0.0557485851444616,0.0,15492,0.0
Cass,17017.0,-0.0928522889339437,-0.0780310477181026,0.0019012243690792,-0.0973585724226636,0.0149905617257143,-0.1185065126179172,-0.0140349977780317,0.0880535081797573,0.0035588017799962,-0.1902174497787459,0.1013703185273949,-0.0054281926520436,-0.0028090668094992,-0.0065577683409484,-0.0746780121295145,0.059862058175253,-0.151962655053913,0.0808947645345193,-0.1396907285132607,0.0305406372813209,-0.073917755036392,-0.0008893443853367,0.0110937088417018,0.1234033544195483,-0.0201964742499253,0.1059794535683033,-0.0042525330960271,-0.0183293400783291,0.009481851863775,-0.1453452070998092,-0.1909675220244134,-0.1257030682671796,0.0610176233848195,0.0181863223097624,-0.0442702121856168,-0.0420988598688537,-0.1036011419234656,-0.0886117713448025,0.1027077549842992,-0.0698691911547626,-0.0189593484957128,0.0738884721721953,0.1927524514604561,-0.1175486983848734,-0.07389483884609,0.0431952112231336,0.1871575050879845,-0.0517763213440261,0.1875147091753334,-0.1304692555220066,0.0081936103380524,0.1059445434491998,-0.1114564688818041,0.0830903871182542,0.1297831682961492,0.1624765996549385,-0.0250349731259385,0.0745839085116056,0.0296670859515302,-0.0832295772274517,-0.1091040691770308,-0.0946355880793655,-0.1431019603869776,0.0480891068036564,0.0,12779,0.0
Champaign,17019.0,-0.0547495326132846,-0.0599525674182305,-0.0202665682356906,-0.1334056882667311,0.0256145418330221,-0.1155716364915404,0.0132542451681405,0.0301432716260086,0.0072337346884651,-0.2528176958713476,0.1076000840991049,0.024030038373154,-0.0146799375819031,0.0015481569622572,-0.0614511094727192,0.0236296029934775,-0.1504987974587801,0.1061381693627176,-0.1010061013462906,0.0367769265962113,-0.0875016492274144,0.0408436676407461,0.0274663251258459,0.1051642132658022,-0.0767172462860317,0.145328025193423,0.0798051099386153,0.0222180583662805,-0.0008618059400147,-0.2099511308640889,-0.1893333058407406,-0.1541760950088163,0.04116131906116,0.0516009342812477,-0.0223229397969021,-0.0968778316419432,-0.0996061158388389,-0.0404192416174432,0.1309091809200197,-0.022550751453964,-0.0172624205161543,0.0931307098576711,0.1802774914566534,-0.1721429648362124,-0.0711212189744297,0.0475078538723444,0.1731071470467366,-0.0592642795615948,0.2115439228737372,-0.0734228499030731,0.0582340983025584,0.0845520159014419,-0.1648824903908592,0.0194736613833007,0.16527263080258,0.1686630488147175,-0.0429012890447395,0.0575818903489458,-0.0098908480862453,-0.1538496752348503,-0.076660224678457,-0.0591560750084748,-0.1240045772226149,0.06626691972543,1.0,209813,0.47661489040240596
