,County,County,2022,Cases_2022,Hum_22,Pre_22,Tmax_22,Tmin_22,LSTMean_2022,WS_22,Chlorophyll_2022,Ag_MEAN_2022,Fs_MEAN_2022,Rn_MEAN_2022,Cases_normalized_2022
0,Adams,Adams,64526,0,85.81279446,3.216717904,28.54055802,17.38629378,23.744999999999997,3.610065679,1.648360581,0.8,0.81,0.78,0.0
1,Alexander,Alexander,4859,0,92.11873581,2.064861117,30.89559615,18.90465143,24.83,2.979363984,1.830788236,0.76,0.84,0.6,0.0
2,Bond,Bond,16716,0,91.1820618,4.352683305,28.98086302,17.68744351,24.29,3.610157707,2.121370515,0.84,0.84,0.82,0.0
3,Boone,Boone,53084,0,91.88412336,4.545900032,26.41335393,14.53263821,21.985,4.16648062,1.588515848,0.82,0.82,0.8,0.0
4,Brown,Brown,6321,0,89.681143,3.064877459,28.33742907,16.79273003,23.325000000000003,3.706306723,1.768406794,0.82,0.83,0.79,0.0
5,Bureau,Bureau,32862,0,88.92297353,3.621550427,27.22664079,15.70156135,22.225,3.671563383,1.810508391,0.85,0.83,0.82,0.0
6,Calhoun,Calhoun,4335,0,88.73597085,2.855357022,29.66013517,17.78822317,23.89,3.491883249,7.724393852,0.83,0.83,0.79,0.0
7,Carroll,Carroll,15553,0,90.16206109,4.430021883,26.785776,15.25126264,21.79,3.864512966,1.646164452,0.84,0.83,0.78,0.0
8,Cass,Cass,12672,0,91.03907797,3.229439108,28.85536715,16.68223811,23.46,3.79505195,1.849672156,0.82,0.82,0.79,0.0
9,Champaign,Champaign,208033,0,90.4890624,2.722130585,28.26593749,16.25651462,0.0,3.572681788,1.54767715,0.86,0.83,0.75,0.0
10,Christian,Christian,33410,0,91.64446589,3.919274776,28.44143063,16.97757582,23.485,3.634879971,1.871632458,0.86,0.84,0.87,0.0
11,Clark,Clark,15211,0,93.14441783,3.336530562,28.90501865,16.86385743,22.95,3.41945158,1.40354395,0.85,0.85,0.79,0.0
12,Clay,Clay,13053,0,92.90503915,5.385835782,29.50303665,17.52940924,0.0,3.376832391,1.616805941,0.8,0.81,0.8,0.0
13,Clinton,Clinton,36987,0,90.01351137,3.92900199,29.52101736,18.23576396,24.675,3.482509231,1.639334815,0.81,0.81,0.8,0.0
14,Coles,Coles,46708,0,91.07071571,3.542421594,28.68726278,17.03322253,22.235,3.56956817,1.570355606,0.85,0.84,0.78,0.0
15,Cook,Cook,5133106,18,82.67208701,3.109863139,26.95385754,16.97811097,24.6,4.007345583,0.92409833,0.7,0.75,0.64,0.3506648800940405
16,Crawford,Crawford,18516,0,94.55200579,3.718880662,29.10539919,17.18738112,22.925,3.086614888,1.334570992,0.84,0.84,0.77,0.0
17,Cumberland,Cumberland,10296,0,92.88929902,4.632002809,28.9353172,17.01613906,22.225,3.574364988,1.609346071,0.86,0.85,0.78,0.0
18,DeKalb,DeKalb,100569,0,90.57346744,4.013494875,26.46530572,15.04593756,22.7,4.141982736,1.575036921,0.84,0.81,0.78,0.0
19,De Witt,De Witt,15341,0,91.09815251,2.502382447,28.29432089,16.26315296,23.34,3.687890408,1.722017123,0.85,0.82,0.0,0.0
20,Douglas,Douglas,19702,0,90.7022269,2.45497555,28.55031574,16.72521059,0.0,3.564860174,1.455022939,0.85,0.84,0.64,0.0
21,DuPage,DuPage,925143,4,87.18915302,2.962281213,27.29893145,16.00639796,23.705,4.128193772,0.765850764,0.75,0.73,0.82,0.43236559104916755
22,Edgar,Edgar,16426,0,93.85432082,2.827914609,28.6579999,16.19695484,0.0,3.546570752,1.427030698,0.85,0.84,0.79,0.0
23,Edwards,Edwards,6073,0,93.1796288,4.663632035,29.86707311,18.12236884,0.0,3.100542032,1.459783785,0.82,0.83,0.8,0.0
24,Effingham,Effingham,34336,0,92.7378252,5.538410698,28.95377729,17.21873739,23.52,3.603669069,1.58164541,0.84,0.84,0.83,0.0
25,Fayette,Fayette,21284,0,92.25449568,4.148205081,28.87368112,17.2697408,24.505000000000003,3.594133357,1.903763326,0.83,0.83,0.77,0.0
26,Ford,Ford,13270,0,90.94076037,2.828647572,28.18169962,15.90089798,0.0,3.709765351,1.728523066,0.84,0.82,0.78,0.0
27,Franklin,Franklin,37226,1,92.6768663,2.906565104,30.01278326,18.00171668,24.86,2.77392588,1.625183527,0.8,0.8,0.77,2.6862945253317574
28,Fulton,Fulton,33022,0,90.73259168,2.590304241,28.0399159,16.04797309,23.28,3.840554544,1.767041635,0.83,0.82,0.75,0.0
29,Gallatin,Gallatin,4842,0,93.83368199,3.314767618,30.36191921,18.08746118,23.244999999999997,2.93366851,1.577420199,0.79,0.83,0.83,0.0
30,Greene,Greene,11643,0,90.92762189,3.197241204,29.09563119,17.24128337,23.56,3.576048478,1.928555386,0.84,0.84,0.75,0.0
31,Grundy,Grundy,53153,0,89.94194234,2.533725108,27.54527727,15.41238499,23.125,3.633026085,1.896524128,0.82,0.79,0.77,0.0
32,Hamilton,Hamilton,7976,0,92.72865083,3.155201407,29.98860258,17.92336233,0.0,2.976554927,1.679516817,0.81,0.82,0.78,0.0
33,Hancock,Hancock,17250,0,86.06165151,3.050521496,28.34818944,17.12140047,23.02,3.76477894,1.53049446,0.81,0.8,0.8,0.0
34,Hardin,Hardin,3588,0,94.13379501,3.120713754,30.13720267,17.94914424,23.65,3.21097154,2.614801783,0.8,0.84,0.79,0.0
35,Henderson,Henderson,6168,0,86.99488608,2.558517382,27.91340906,16.55531474,23.02,3.833097403,1.7537307,0.83,0.81,0.82,0.0
36,Henry,Henry,48567,0,89.23688767,3.521013416,27.3895213,15.91459846,22.240000000000002,3.740338426,1.573106888,0.85,0.83,0.81,0.0
37,Iroquois,Iroquois,26417,0,91.12623484,2.934636989,27.95584175,15.6303219,22.775,3.751826777,1.739902042,0.85,0.84,0.77,0.0
38,Jackson,Jackson,53004,0,92.54617415,2.270363864,30.21751514,18.05900658,24.445,2.848311094,1.944066094,0.79,0.82,0.8,0.0
39,Jasper,Jasper,9185,0,93.21239588,4.739310871,29.01374997,17.34154667,23.655,3.476585736,1.494577714,0.84,0.83,0.78,0.0
40,Jefferson,Jefferson,36415,0,92.46329983,3.490700905,29.76038995,17.69477007,24.86,3.053930527,1.857992125,0.8,0.81,0.85,0.0
41,Jersey,Jersey,21222,0,90.72733186,2.811362042,29.40505605,17.68367761,24.01,3.490451328,1.93405165,0.84,0.84,0.79,0.0
42,Jo Daviess,Jo Daviess,21863,0,90.22337051,4.06516273,26.12356483,14.99386326,21.725,3.880199898,1.837647946,0.84,0.83,0.78,0.0
43,Johnson,Johnson,13401,0,93.2681575,2.869440588,30.22940839,18.34519389,23.990000000000002,2.87503699,2.164557467,0.81,0.83,0.71,0.0
44,Kane,Kane,515070,2,90.28496474,3.549557203,26.64216459,15.18889844,23.615000000000002,4.14861251,1.349483401,0.81,0.78,0.7,0.3882967363659309
45,Kankakee,Kankakee,106221,0,90.83266255,2.725156597,27.5235213,15.53024812,24.1,3.686471152,1.519965536,0.81,0.8,0.76,0.0
46,Kendall,Kendall,137602,1,88.5201779,2.873923041,27.17862935,15.64390148,22.98,3.736502062,1.566171318,0.82,0.81,0.81,0.7267336230578044
47,Knox,Knox,48713,0,90.97343873,3.284975362,27.49837802,15.62879872,22.67,3.849591605,1.664976044,0.84,0.84,0.72,0.0
48,Lake,Lake,712143,1,87.8911722,3.497970686,26.01343553,15.59081194,22.175,4.421001759,4.419959638,0.75,0.75,0.76,0.14042123562262074
