,County,County,2019,Cases_2019,Hum_19,Pre_19,Tmax_19,Tmin_19,LSTMean_2019,WS_19,Chlorophyll_2019,Ag_MEAN_2019,Fs_MEAN_2019,Rn_MEAN_2019,Cases_normalized_2019
0,Adams,Adams,65435,0,93.92157313,4.115370301,28.39002531,18.08518272,23.585,3.574132831,1.314126365,0.78,0.79,0.77,0.0
1,Alexander,Alexander,5761,0,96.61192499,4.050404302,30.36116525,19.34813735,24.869999999999997,2.975128266,1.531444057,0.55,0.8,0.65,0.0
2,Bond,Bond,16426,0,96.25708257,5.671326377,29.29185446,18.00705811,23.845,3.691403027,1.405455721,0.81,0.83,0.82,0.0
3,Boone,Boone,53544,0,95.95395371,4.712022675,26.61314856,15.17634278,21.745,3.80861198,1.218020683,0.8,0.8,0.79,0.0
4,Brown,Brown,6578,0,95.36955053,3.937136324,28.35320467,17.542926,23.310000000000002,3.710814297,1.473057054,0.81,0.82,0.79,0.0
5,Bureau,Bureau,32628,0,93.39884198,4.961436979,27.43516298,16.46893535,22.215000000000003,3.525647419,1.281474388,0.8,0.8,0.77,0.0
6,Calhoun,Calhoun,4739,0,94.8027085,3.932294121,29.2658014,18.56057675,23.45,3.508754085,1.680844336,0.79,0.82,0.81,0.0
7,Carroll,Carroll,14305,0,95.18076904,5.01388276,27.03415899,15.66668027,21.6,3.581261755,1.330440505,0.84,0.82,0.76,0.0
8,Cass,Cass,12147,0,94.83411688,3.918195625,28.8089937,17.40604735,23.41,3.783598611,1.477467918,0.79,0.8,0.77,0.0
9,Champaign,Champaign,209689,0,93.92326856,2.601388502,28.25553718,16.73348521,0.0,3.594376899,1.193462527,0.81,0.79,0.7,0.0
10,Christian,Christian,32304,0,95.09062156,4.236352111,28.67770141,17.45869173,23.04,3.717942619,1.429980055,0.83,0.81,0.79,0.0
11,Clark,Clark,15441,0,95.26635442,3.829460835,29.32064914,17.36171592,22.92,3.530893135,1.244033735,0.78,0.8,0.76,0.0
12,Clay,Clay,13184,0,95.95156828,3.710490325,30.0114052,18.00865699,0.0,3.511645766,1.184693103,0.76,0.8,0.78,0.0
13,Clinton,Clinton,37562,0,95.21361615,4.507881203,29.53059972,18.63965729,24.22,3.600190799,1.391865547,0.82,0.82,0.84,0.0
14,Coles,Coles,50621,0,93.26184979,3.70835913,28.96889831,17.63748849,22.619999999999997,3.670855425,1.264959671,0.81,0.82,0.73,0.0
15,Cook,Cook,5150233,14,89.9228588,4.334844701,26.7842539,16.8175323,23.770000000000003,3.803427734,0.67157164,0.63,0.73,0.61,0.27183236175916703
16,Crawford,Crawford,18667,0,96.6908075,3.864300984,29.38995192,17.5927124,23.36,3.247755358,1.286539143,0.78,0.81,0.77,0.0
17,Cumberland,Cumberland,10766,0,94.89812435,3.953428637,29.34408912,17.54756304,22.65,3.716080481,1.247598088,0.78,0.8,0.8,0.0
18,DeKalb,DeKalb,104897,0,94.37639469,4.453446369,26.78076581,15.71544428,21.905,3.837925357,1.144122989,0.8,0.77,0.67,0.0
19,De Witt,De Witt,15638,0,93.75119496,3.167569547,28.41509485,16.94058578,23.09,3.67839549,1.239104763,0.85,0.81,0.0,0.0
20,Douglas,Douglas,19465,0,93.18933784,3.094822477,28.75801742,17.32572645,0.0,3.621071912,1.297516664,0.82,0.81,0.81,0.0
21,DuPage,DuPage,922921,0,91.60291289,4.050651112,27.48354816,16.59863457,23.365000000000002,3.864537721,0.717548667,0.72,0.73,0.76,0.0
22,Edgar,Edgar,17161,0,95.31694641,3.52868328,28.73195668,16.99944867,0.0,3.600924093,1.376184106,0.82,0.82,0.78,0.0
