,County,County,2021,Cases_2021,Hum_21,Pre_21,Tmax_21,Tmin_21,LSTMean_2021,WS_21,Chlorophyll_2021,Ag_MEAN_2021,Fs_MEAN_2021,Rn_MEAN_2021,Cases_normalized_2021
0,Adams,Adams,65077,0,92.91412295,4.195617464,28.80934563,17.72788022,23.57,3.425731586,1.48316407,0.8,0.82,0.79,0.0
1,Alexander,Alexander,5028,0,95.5957628,3.284056308,29.89927235,18.89146873,23.97,3.025801796,1.454455152,0.76,0.83,0.68,0.0
2,Bond,Bond,16797,0,95.11327856,4.646224068,29.18346403,17.84423596,23.95,3.513614188,1.578541101,0.81,0.84,0.81,0.0
3,Boone,Boone,53173,0,87.90389394,2.620614479,28.14521546,15.17794614,23.1,4.116745821,1.138222572,0.79,0.78,0.79,0.0
4,Brown,Brown,6444,0,94.347897,4.322357665,28.68294271,17.3049774,23.465,3.518512432,1.707146644,0.79,0.83,0.78,0.0
5,Bureau,Bureau,32999,0,89.26717229,2.853200784,28.56453796,16.5375596,22.63,3.575292587,1.579830671,0.8,0.8,0.79,0.0
6,Calhoun,Calhoun,4392,0,93.83462103,5.046048097,29.79486776,18.26029487,23.515,3.317796152,8.882706047,0.79,0.83,0.83,0.0
7,Carroll,Carroll,15712,0,88.8095265,1.930727848,28.18641898,15.6904502,22.375,3.761177277,1.471895305,0.79,0.81,0.74,0.0
8,Cass,Cass,12778,0,94.10017144,4.294599626,29.16418662,17.35201329,23.6,3.578033641,1.624230482,0.79,0.81,0.82,0.0
9,Champaign,Champaign,207232,1,92.73600495,3.971492927,28.57082836,17.17996306,0.0,3.516442736,1.36844177,0.8,0.8,0.75,0.4825509573810995
10,Christian,Christian,33731,0,94.26864031,4.416068273,28.94473729,17.46087297,23.46,3.528670168,1.475675133,0.79,0.81,0.79,0.0
11,Clark,Clark,15375,0,95.504329,4.307670845,28.56944853,17.25372763,22.945,3.466532101,1.201321222,0.79,0.81,0.78,0.0
12,Clay,Clay,13166,0,95.55264018,5.033251763,29.43134401,17.80906849,0.0,3.400091929,1.439732678,0.78,0.81,0.81,0.0
13,Clinton,Clinton,36898,0,94.29185074,3.968418403,29.44882744,18.38135531,24.23,3.446372564,1.406774382,0.79,0.82,0.77,0.0
14,Coles,Coles,47136,0,92.73066106,4.86755874,29.0832562,17.77959198,22.619999999999997,3.554427762,1.396507119,0.81,0.82,0.74,0.0
15,Cook,Cook,5185134,35,82.0810732,3.103974262,27.80309198,17.74408271,24.869999999999997,4.028961884,0.741607141,0.65,0.73,0.63,0.6750066632800618
16,Crawford,Crawford,18673,0,96.89347477,4.840202887,28.8372286,17.28448497,23.115000000000002,3.202764083,1.327011903,0.79,0.81,0.71,0.0
17,Cumberland,Cumberland,10358,0,94.80547989,4.02054361,29.00165287,17.54270724,22.55,3.59590162,1.315398856,0.79,0.81,0.78,0.0
18,DeKalb,DeKalb,100584,1,88.65127249,2.641674784,28.06159939,15.46168401,22.865000000000002,4.123205528,1.142115261,0.78,0.78,0.65,0.9941939075797344
19,De Witt,De Witt,15410,0,92.60988906,4.093598556,28.74357154,17.18278659,23.145,3.552556784,1.297976187,0.79,0.8,0.0,0.0
20,Douglas,Douglas,19714,0,91.50993713,4.714098506,29.12702352,17.82267083,0.0,3.497600321,1.367988236,0.8,0.81,0.81,0.0
21,DuPage,DuPage,927145,12,86.24170178,3.066994676,28.28318269,16.68878465,24.635,4.146696108,0.691168717,0.73,0.71,0.78,1.29429592997859
22,Edgar,Edgar,16601,0,95.75958292,4.696130131,28.86041511,17.00601879,0.0,3.549505424,1.250027954,0.79,0.81,0.78,0.0
23,Edwards,Edwards,6087,0,95.88191543,5.209440009,29.698709,18.22251264,0.0,3.209717883,1.423257335,0.77,0.8,0.82,0.0
24,Effingham,Effingham,34514,0,95.22707759,3.966865966,29.13599306,17.57009922,23.795,3.585176895,1.278692402,0.77,0.8,0.77,0.0
25,Fayette,Fayette,21438,0,95.87526854,4.201496372,29.05008327,17.39347119,23.725,3.526055803,1.535483097,0.79,0.82,0.78,0.0
26,Ford,Ford,13480,0,91.90368016,4.352512684,28.62568232,17.03300784,0.0,3.647856923,1.429657842,0.8,0.8,0.79,0.0
27,Franklin,Franklin,37484,1,95.73014202,4.086376468,29.69709476,18.35083225,24.275,2.791751494,1.328200638,0.78,0.79,0.71,2.667804930103511
28,Fulton,Fulton,33344,0,94.25828151,3.050677355,28.50517602,16.70088659,23.715,3.633296505,1.596325028,0.81,0.82,0.83,0.0
29,Gallatin,Gallatin,4908,0,96.64628831,3.617818349,29.528585,18.2025599,22.79,3.024230656,1.459961917,0.73,0.81,0.7,0.0
30,Greene,Greene,11848,0,94.94947918,4.789604914,29.41673779,17.75804175,23.035,3.399554744,1.544876279,0.81,0.83,0.76,0.0
31,Grundy,Grundy,52984,0,89.05843728,3.389377479,28.31405399,16.72221807,23.38,3.593819209,1.371679485,0.77,0.76,0.81,0.0
32,Hamilton,Hamilton,7908,0,96.191547,4.446885798,29.65519427,18.12556913,0.0,3.008737509,1.489916611,0.76,0.81,0.8,0.0
33,Hancock,Hancock,17395,0,93.06475459,3.640103183,28.63987059,17.68850102,23.23,3.53278637,1.453526498,0.81,0.82,0.8,0.0
34,Hardin,Hardin,3640,0,96.06218933,3.725392775,28.9867517,18.22230298,23.085,3.276088331,1.785243372,0.78,0.83,0.8,0.0
35,Henderson,Henderson,6309,0,93.83935568,3.818929313,28.4833383,17.12507212,23.22,3.577044704,1.359538736,0.81,0.8,0.82,0.0
36,Henry,Henry,48929,0,91.81088582,3.39852582,28.48639312,16.6081075,22.535,3.575699028,1.542543629,0.81,0.8,0.78,0.0
37,Iroquois,Iroquois,26761,0,91.63623656,3.926435093,28.45721417,16.75777018,22.745,3.692758707,1.426072349,0.8,0.82,0.77,0.0
38,Jackson,Jackson,52986,0,95.0669014,3.60394534,29.6760593,18.47336402,23.395000000000003,2.888782991,104.2533232,0.77,0.82,0.79,0.0
39,Jasper,Jasper,9210,0,95.19748509,4.418750845,28.9484696,17.73805436,23.515,3.50571651,1.329317328,0.77,0.79,0.84,0.0
40,Jefferson,Jefferson,36899,0,95.93245077,4.305327245,29.62618063,18.02593545,24.39,3.07147701,1.578042056,0.79,0.81,0.76,0.0
41,Jersey,Jersey,21350,0,94.86060148,4.105314959,29.59839174,18.08263474,23.759999999999998,3.322503395,1.561390631,0.81,0.84,0.79,0.0
42,Jo Daviess,Jo Daviess,22016,0,88.70902413,2.066882123,27.6114904,15.27646958,21.96,3.791467986,1.492204383,0.8,0.81,0.69,0.0
43,Johnson,Johnson,13481,0,96.17794411,3.220468182,29.59631854,18.51844245,23.365000000000002,2.947412586,1.600572467,0.8,0.82,0.75,0.0
44,Kane,Kane,516564,2,87.7619781,3.035314643,28.07535635,15.83946876,24.585,4.150347599,0.997278967,0.77,0.76,0.74,0.38717370935643985
45,Kankakee,Kankakee,106757,0,90.64436378,3.567580928,28.1386978,16.73458462,23.695,3.661800571,1.415398498,0.79,0.79,0.8,0.0
46,Kendall,Kendall,135023,1,87.32423128,2.868254095,28.3069572,16.62097157,23.465,3.73130717,1.21930374,0.76,0.78,0.68,0.7406145619635174
47,Knox,Knox,49333,0,94.30444347,3.797449538,28.17889909,16.30776921,22.575000000000003,3.6482821,1.548004134,0.82,0.83,0.71,0.0
48,Lake,Lake,712733,5,85.41626518,2.436323868,27.42344867,16.33648982,22.965,4.400899442,12.89317366,0.71,0.72,0.75,0.7015249749906347
49,LaSalle,LaSalle,109166,0,88.30170169,2.799874601,28.41764312,16.48527973,24.57,3.679732857,1.313017283,0.77,0.76,0.76,0.0
50,Lawrence,Lawrence,15246,0,95.66800112,4.621512964,29.24824019,17.90913606,23.13,3.218484766,1.283029216,0.77,0.8,0.76,0.0
