,County,County,2018,Cases_2018,Hum_18,Pre_18,Tmax_18,Tmin_18,LSTMean_2018,WS_18,Chlorophyll_2018,Ag_MEAN_2018,Fs_MEAN_2018,Rn_MEAN_2018,Cases_normalized_2018
0,Adams,Adams,65623,0,85.17500787,4.235708231,29.33740045,18.11086035,23.92,3.835810281,1.411056863,0.74,0.78,0.76,0.0
1,Alexander,Alexander,6041,0,94.91245585,3.769076758,30.32517695,19.71844876,24.6,3.098564885,1.38631711,0.78,0.85,0.65,0.0
2,Bond,Bond,16637,1,93.62165288,4.407457748,29.67491357,18.44297918,24.439999999999998,3.747461478,1.782202141,0.78,0.82,0.79,6.0106990442988515
3,Boone,Boone,53480,0,96.52473071,5.729556392,26.58688361,14.93039626,22.085,3.876065775,1.282975289,0.72,0.75,0.73,0.0
4,Brown,Brown,6563,0,89.38544117,3.94391365,29.17197057,17.44903868,23.92,3.916483735,1.664358114,0.77,0.82,0.78,0.0
5,Bureau,Bureau,32959,0,91.67015968,3.954624196,27.8387369,16.39619639,22.61,3.646214927,1.533881112,0.73,0.78,0.76,0.0
6,Calhoun,Calhoun,4829,0,88.38620983,3.352707862,30.24363301,18.64780435,24.095,3.719645674,1.888155315,0.75,0.81,0.81,0.0
7,Carroll,Carroll,14314,0,95.3542201,5.904386687,27.46573254,15.22277209,22.23,3.721887814,1.404258911,0.72,0.79,0.74,0.0
8,Cass,Cass,12312,0,91.76486901,4.246243848,29.32719481,17.38767737,23.89,3.961909378,1.672038479,0.72,0.79,0.74,0.0
9,Champaign,Champaign,209918,2,93.7048703,4.59712548,28.50108915,17.32197597,0.0,3.567442265,1.486351747,0.75,0.79,0.75,0.9527529797349441
10,Christian,Christian,32653,0,94.48744672,4.792936971,28.92615186,17.70783381,23.825,3.732046885,1.61883228,0.72,0.78,0.77,0.0
11,Clark,Clark,15600,0,95.15447,5.117160414,29.36247365,17.89184747,23.25,3.448042135,1.353092247,0.76,0.81,0.77,0.0
12,Clay,Clay,13266,0,93.44493801,5.380674488,30.03696392,18.59943929,0.0,3.4750187,1.611215466,0.76,0.81,0.79,0.0
13,Clinton,Clinton,37697,2,92.39833183,5.319349381,29.83619249,19.09293289,24.82,3.605882894,1.750652212,0.77,0.81,0.74,5.305461973101308
14,Coles,Coles,50829,1,93.80241616,4.953207759,28.9053059,17.97425782,23.25,3.594984855,1.506259359,0.76,0.81,0.72,1.967380825906471
15,Cook,Cook,5171960,104,89.86909298,4.022197895,27.33991875,16.97876303,24.805,3.873144266,0.692520145,0.67,0.73,0.59,2.010843084633292
16,Crawford,Crawford,18830,0,96.2388897,5.453094576,29.52598961,18.08598129,23.924999999999997,3.173566913,1.244102935,0.76,0.79,0.81,0.0
17,Cumberland,Cumberland,10804,0,94.74744847,5.54018149,29.41120324,18.00685917,23.09,3.622612776,1.444115766,0.78,0.82,0.72,0.0
18,DeKalb,DeKalb,104349,2,94.72663597,4.049858257,27.11802014,15.51325874,22.555,3.932169583,1.152057686,0.71,0.74,0.72,1.916645104409242
19,De Witt,De Witt,15794,0,92.34804399,3.241497815,28.77042805,17.17654546,23.43,3.808432912,1.441542456,0.73,0.77,0.0,0.0
20,Douglas,Douglas,19458,0,94.01989434,4.313557584,28.79755778,17.67698377,0.0,3.608212015,1.451150503,0.74,0.78,0.64,0.0
21,DuPage,DuPage,927247,18,92.76471072,3.770662472,27.8522439,16.33184719,24.41,3.949273419,0.692728049,0.71,0.72,0.81,1.9412303302140639
22,Edgar,Edgar,17360,1,96.52189774,4.46803463,28.5686793,17.31105186,0.0,3.530608601,1.397862856,0.75,0.81,0.77,5.76036866359447
23,Edwards,Edwards,6387,1,94.27369261,4.882836902,30.41349055,18.99234184,0.0,3.196075098,1.306729112,0.75,0.78,0.78,15.65680288085173
24,Effingham,Effingham,34181,0,94.3997157,5.564216933,29.61034821,18.18671842,24.205,3.679383637,1.479935947,0.76,0.81,0.81,0.0
25,Fayette,Fayette,21368,0,94.60109863,5.294783448,29.3844936,18.06838543,24.545,3.688022288,1.787292163,0.78,0.82,0.72,0.0
26,Ford,Ford,13212,1,94.0619607,3.525825477,28.55330917,16.61671191,0.0,3.700249011,1.499395453,0.73,0.74,0.79,7.568876778686043
27,Franklin,Franklin,38695,1,94.07947196,4.139413461,30.00390867,19.1050443,25.045,2.860496224,1.369130875,0.79,0.79,0.76,2.584313218762114
28,Fulton,Fulton,34830,1,91.63492012,4.194181299,28.56327891,16.96576424,24.08,4.00900181,1.504928588,0.77,0.8,0.77,2.8710881424059718
29,Gallatin,Gallatin,5045,0,95.11039559,3.751509131,30.24249425,19.19811114,24.08,3.015396978,1.295577627,0.73,0.82,0.76,0.0
30,Greene,Greene,13065,0,90.73775417,3.536891508,29.85277768,18.17302295,23.57,3.770474295,1.683626857,0.73,0.79,0.68,0.0
31,Grundy,Grundy,50973,0,92.21015711,3.098734082,28.27788959,16.30859368,23.2,3.601012976,1.366800594,0.73,0.75,0.77,0.0
32,Hamilton,Hamilton,8148,0,94.26259463,4.146300876,30.16710023,18.96240928,0.0,3.071149542,1.369861316,0.76,0.8,0.76,0.0
33,Hancock,Hancock,17828,0,87.24335161,4.381747727,28.99904246,17.75600572,23.435000000000002,3.920646903,1.423828097,0.74,0.79,0.79,0.0
34,Hardin,Hardin,3893,0,95.75627907,4.265693477,29.65245229,19.00793195,24.2,3.294873601,1.682286996,0.79,0.83,0.76,0.0
35,Henderson,Henderson,6697,0,89.36282884,3.700324832,28.57150242,17.23597914,23.27,3.889746351,1.354338708,0.75,0.76,0.75,0.0
36,Henry,Henry,49069,0,91.84706885,4.565503392,28.01684223,16.47309397,22.630000000000003,3.754948215,1.341223398,0.74,0.77,0.77,0.0
37,Iroquois,Iroquois,27484,0,93.18699751,3.454099874,28.44586867,16.5367651,23.22,3.73916445,1.435175207,0.72,0.77,0.79,0.0
38,Jackson,Jackson,57289,0,93.92812904,4.672464853,30.02980067,19.20643354,24.314999999999998,2.980481634,1.507208017,0.79,0.84,0.75,0.0
39,Jasper,Jasper,9624,0,94.10514099,5.540488976,29.37295723,18.48132753,24.04,3.551870777,1.417226506,0.76,0.8,0.78,0.0
40,Jefferson,Jefferson,37708,0,93.31301306,4.7663601,29.83274079,18.78772159,24.95,3.150349503,1.528519211,0.8,0.81,0.75,0.0
41,Jersey,Jersey,21795,0,91.55737615,2.898043919,30.00771613,18.37915361,24.455,3.72891717,1.560961033,0.74,0.81,0.75,0.0
42,Jo Daviess,Jo Daviess,21331,0,96.04430128,6.527938374,26.62361714,15.10120762,21.945,3.696281281,1.4860072,0.76,0.79,0.79,0.0
43,Johnson,Johnson,12423,0,95.10026453,3.71231248,30.18002823,19.43152747,24.05,2.983674909,1.458175651,0.81,0.83,0.7,0.0
44,Kane,Kane,532720,7,94.52195379,4.205305874,27.29450794,15.70403894,24.36,3.936629101,1.030692008,0.72,0.74,0.68,1.3140111127796967
45,Kankakee,Kankakee,109953,0,92.76043135,3.091646807,28.32311941,16.42424511,23.77,3.66092182,1.322050306,0.72,0.76,0.72,0.0
46,Kendall,Kendall,127717,1,92.70534271,3.362064308,27.99786521,16.24481959,23.36,3.648522856,1.188073392,0.71,0.74,0.76,0.7829811223251407
47,Knox,Knox,49978,0,92.36423004,4.278839421,28.14491595,16.45829911,23.01,3.921831434,1.340857869,0.76,0.79,0.66,0.0
48,Lake,Lake,699587,8,94.39550925,4.868509596,26.19037586,15.69764721,22.795,4.254567575,1.109830099,0.7,0.72,0.7,1.1435318266348575
49,LaSalle,LaSalle,109159,1,91.65667014,3.547299697,28.00620666,16.30566307,24.494999999999997,3.68807559,1.340794752,0.74,0.76,0.65,0.9160948707848185
50,Lawrence,Lawrence,15813,0,94.18562016,4.97931636,30.100034,18.81131005,23.92,3.164520636,1.133504331,0.75,0.78,0.73,0.0
51,Lee,Lee,34296,0,94.56440219,4.775606411,27.41032965,15.69753131,21.905,3.819124796,1.371356145,0.72,0.77,0.7,0.0
52,Livingston,Livingston,35714,0,93.27733288,3.386012496,28.50346768,16.50056459,23.095,3.613020414,1.449409805,0.71,0.74,0.76,0.0
53,Logan,Logan,28912,0,92.22471681,3.529892974,29.0416265,17.37037087,23.58,3.824580076,1.430298808,0.72,0.76,0.78,0.0
54,McDonough,McDonough,29984,0,92.83518574,4.630297585,28.43897687,16.8035475,23.025,4.013890733,1.347673369,0.76,0.8,0.72,0.0
55,McHenry,McHenry,308251,2,96.97825307,5.320938522,26.72788693,14.77339341,22.814999999999998,3.949893365,1.32977429,0.73,0.75,0.72,0.6488219016321115
56,McLean,McLean,172410,0,93.10987184,3.065279548,28.75121943,16.80930146,23.215,3.958093286,1.410552052,0.75,0.78,0.71,0.0
57,Macon,Macon,104504,0,91.62013826,3.899011152,28.91230811,17.78559462,24.705,3.725911024,1.487452248,0.72,0.77,0.76,0.0
58,Macoupin,Macoupin,45318,1,92.83864731,3.553475779,29.57604552,18.01862884,23.605,3.782365328,1.492661354,0.74,0.8,0.68,2.206628712652809
59,Madison,Madison,264026,2,92.91903447,3.814408738,29.90866358,18.78468721,25.85,3.609970902,1.424295215,0.74,0.77,0.8,0.7575011551892616
60,Marion,Marion,37381,2,92.70415332,5.666621012,29.7594213,18.64250111,24.57,3.475881122,1.733901929,0.79,0.83,0.76,5.350311655653941
61,Marshall,Marshall,11483,0,91.64609112,3.648472719,28.39813482,16.64281073,23.315,3.739627958,1.486918429,0.73,0.79,0.72,0.0
