,County,County,2024,Cases_2024,Hum_24,Pre_24,Tmax_24,Tmin_24,LSTMean_2024,WS_24,Chlorophyll_2024,Ag_MEAN_2024,Fs_MEAN_2024,Rn_MEAN_2024,Cases_normalized_2024
0,Adams,Adams,64109,0,86.95723323,2.887002528,28.87465134,17.1005505,22.630000000000003,3.662824982,1.626380563,0.8,0.81,0.7783,0.0
1,Alexander,Alexander,4594,0,94.3563592,3.490334276,30.10947111,18.60180046,23.345,3.123587344,1.590579169,0.76,0.84,0.6248,0.0
2,Bond,Bond,16576,0,90.27960134,3.576298338,29.50177035,17.69350626,23.07,3.822610057,1.548130072,0.82,0.83,0.8093,0.0
3,Boone,Boone,53313,0,92.34844404,3.880356277,27.16137911,14.74633371,20.740000000000002,3.891934415,1.502652367,0.81,0.8,0.7795,0.0
4,Brown,Brown,6307,0,89.50362611,3.176026616,28.79081194,16.78893541,22.375,3.769308891,1.826332751,0.81,0.83,0.7871,0.0
5,Bureau,Bureau,32486,0,88.71389938,2.983536424,27.95362629,15.72181367,21.235,3.602464317,1.921945466,0.82,0.82,0.8047,0.0
6,Calhoun,Calhoun,4224,0,90.21982749,3.188559395,29.71729357,17.62986114,22.785,3.618217292,5.632366755,0.81,0.83,0.8002,0.0
7,Carroll,Carroll,15444,0,90.76206644,3.81321039,27.80334023,15.21833386,21.01,3.635180285,1.574272558,0.82,0.82,0.7588,0.0
8,Cass,Cass,12713,0,90.29080189,3.228968596,29.01695929,16.70637251,22.53,3.831760808,1.980117013,0.8,0.82,0.7947,0.0
9,Champaign,Champaign,212374,1,90.03446699,3.420329168,28.13007929,16.4561881,0.0,3.562194615,1.702271898,0.83,0.82,0.7524,0.47086743198319947
10,Christian,Christian,33247,0,90.5345428,3.120825598,28.71772512,16.85511655,22.119999999999997,3.822745311,1.669216618,0.82,0.82,0.8182,0.0
11,Clark,Clark,15076,0,91.17874984,2.435616648,28.74805458,16.41554081,21.56,3.616940001,1.446925195,0.81,0.82,0.7771,0.0
12,Clay,Clay,12821,0,91.29604208,3.821621899,29.71589572,17.48168731,0.0,3.604656638,1.601057277,0.79,0.82,0.8036,0.0
13,Clinton,Clinton,37087,0,90.75773042,4.512457917,29.66605946,18.16905299,23.955,3.689934957,6.632614679,0.79,0.81,0.807,0.0
14,Coles,Coles,46423,1,90.22106206,3.342517655,28.4856508,16.65409965,21.145,3.72759472,1.620036724,0.82,0.82,0.7305,2.1541046464037223
15,Cook,Cook,5182617,33,84.18690305,3.351249247,27.77939431,16.87303173,22.77,3.769223045,1.170805854,0.67,0.74,0.624,0.6367439461569319
16,Crawford,Crawford,18388,0,91.78878003,2.690101815,29.13464854,17.01169543,21.61,3.309629903,1.428161922,0.82,0.83,0.7388,0.0
17,Cumberland,Cumberland,10305,0,90.99777586,3.600714796,28.86459086,16.7145393,21.1,3.785970892,1.521075876,0.81,0.82,0.7841,0.0
18,DeKalb,DeKalb,101335,0,89.75472037,3.436050287,27.32613102,15.10083857,21.130000000000003,3.971157931,1.474069205,0.81,0.8,0.6936,0.0
19,De Witt,De Witt,15319,0,90.11048916,2.873899877,28.0831216,16.44631956,22.060000000000002,3.724849418,2.045491238,0.83,0.81,0,0.0
20,Douglas,Douglas,19824,0,90.05876718,3.33165399,28.43163464,16.56300225,0.0,3.643362411,1.539244054,0.82,0.81,0.7553,0.0
21,DuPage,DuPage,937142,9,87.76658086,3.154797024,28.107528,16.03139469,22.08,3.941391812,0.778845676,0.74,0.72,0.7962,0.9603667320427427
22,Edgar,Edgar,16398,0,92.11423465,2.909384716,28.7983794,16.07091873,0.0,3.651389469,1.480000649,0.82,0.82,0.7645,0.0
23,Edwards,Edwards,5984,0,90.54826959,3.355653103,30.18638802,18.06880716,0.0,3.334702721,1.456184725,0.8,0.81,0.8064,0.0
24,Effingham,Effingham,34602,0,91.41711895,3.315340474,29.35829846,16.96125888,22.52,3.820222935,1.417106206,0.8,0.81,0.7977,0.0
