,County,County,2017,Cases_2017,Hum_17,Pre_17,Tmax_17,Tmin_17,LSTMean_2017,WS_17,Chlorophyll_2017,Ag_MEAN_2017,Fs_MEAN_2017,Rn_MEAN_2017,Cases_normalized_2017
0,Adams,Adams,66057,1,83.48972038,2.41457529,28.87826532,16.43038929,23.165,3.828487849,1.569801847,0.79,0.79,0.76,1.5138441043341357
1,Alexander,Alexander,6278,0,92.40908099,1.849714515,29.80049365,18.06072021,24.53,2.966212944,1.511613428,0.74,0.83,0.67,0.0
2,Bond,Bond,16648,0,87.52634197,2.671293005,29.57846068,16.66475233,23.92,3.785671438,1.7910305,0.8,0.82,0.8,0.0
3,Boone,Boone,53513,1,94.29935392,3.828716419,26.57944101,13.91545384,21.39,3.932771904,1.162529295,0.8,0.8,0.76,1.8687048007026328
4,Brown,Brown,6609,0,86.75419884,2.218833902,28.87403164,15.83493554,23.03,3.915249811,1.746539332,0.8,0.81,0.78,0.0
5,Bureau,Bureau,33137,0,89.0000307,2.873430655,27.45474886,14.78569337,21.740000000000002,3.708971677,1.584762543,0.85,0.83,0.81,0.0
6,Calhoun,Calhoun,4851,0,86.04599076,2.046078973,29.82173698,16.89882327,23.185,3.631391072,1.805652505,0.8,0.81,0.79,0.0
7,Carroll,Carroll,14475,1,92.87032763,3.382079443,27.32973734,14.05728544,21.27,3.734362144,1.432877475,0.84,0.82,0.79,6.908462867012091
8,Cass,Cass,12492,0,85.99288615,1.651432622,29.37981108,15.88578995,23.29,3.976608156,1.549726675,0.77,0.79,0.71,0.0
9,Champaign,Champaign,210425,0,87.17287352,2.107845156,28.46933413,15.82683492,0.0,3.7181257,1.382139365,0.78,0.78,0.63,0.0
10,Christian,Christian,33007,0,86.44682664,1.862649689,29.01673657,16.06372475,23.259999999999998,3.850025144,1.48517946,0.8,0.79,0.77,0.0
11,Clark,Clark,15812,0,89.21322051,2.177703114,29.12633474,16.04176957,22.755000000000003,3.616465909,1.366887791,0.8,0.8,0.76,0.0
12,Clay,Clay,13270,0,88.01034734,1.919496628,30.05107403,16.55257413,0.0,3.645716545,1.275717633,0.73,0.77,0.73,0.0
