iter	Passed	Remaining
419	2307	8679
420	2314	8679
421	2322	8685
422	2328	8682
423	2335	8680
424	2341	8676
425	2346	8670
426	2353	8669
427	2358	8662
428	2363	8654
429	2369	8650
430	2374	8644
431	2379	8637
432	2385	8634
433	2392	8632
434	2398	8629
435	2404	8623
436	2409	8616
437	2414	8611
438	2419	8603
439	2424	8595
440	2429	8589
441	2435	8585
442	2440	8576
443	2445	8570
444	2451	8565
445	2456	8557
446	2461	8551
447	2467	8548
448	2472	8540
449	2477	8534
450	2482	8527
451	2487	8519
452	2492	8510
453	2497	8505
454	2502	8496
455	2506	8487
456	2511	8480
457	2518	8479
458	2524	8475
459	2530	8471
460	2536	8467
461	2543	8467
462	2550	8467
463	2556	8461
464	2563	8462
465	2569	8457
466	2574	8452
467	2581	8451
468	2587	8446
469	2593	8443
470	2600	8441
471	2605	8435
472	2611	8432
473	2617	8425
474	2621	8417
475	2625	8406
476	2630	8400
477	2635	8392
478	2641	8387
479	2646	8381
480	2649	8368
481	2654	8360
482	2661	8357
483	2666	8350
484	2671	8345
485	2677	8341
486	2682	8334
487	2687	8327
488	2693	8322
489	2698	8315
490	2703	8308
491	2708	8303
492	2714	8296
493	2719	8289
494	2725	8285
495	2730	8278
496	2735	8272
497	2741	8268
498	2746	8260
499	2751	8253
500	2756	8248
501	2761	8239
502	2765	8230
503	2770	8224
504	2776	8219
505	2781	8213
506	2787	8207
507	2793	8203
508	2798	8198
509	2804	8193
510	2809	8185
511	2814	8178
512	2819	8173
513	2824	8165
514	2829	8159
515	2835	8154
516	2841	8149
517	2846	8143
518	2851	8138
519	2856	8131
520	2861	8123
521	2867	8119
522	2872	8111
523	2877	8104
524	2881	8096
525	2887	8091
526	2892	8083
527	2896	8075
528	2902	8070
529	2907	8062
530	2911	8054
531	2917	8049
532	2922	8042
533	2926	8034
534	2932	8029
535	2937	8022
536	2942	8015
537	2947	8009
538	2952	8002
539	2957	7996
540	2962	7988
541	2967	7982
542	2971	7974
543	2976	7967
544	2982	7961
545	2986	7954
546	2991	7946
547	2997	7942
548	3003	7937
549	3008	7931
550	3014	7926
551	3018	7918
552	3023	7911
553	3028	7905
554	3033	7898
555	3038	7891
556	3043	7885
557	3053	7890
558	3057	7882
559	3063	7877
560	3068	7871
561	3073	7864
562	3078	7858
563	3084	7852
564	3088	7845
565	3094	7839
566	3099	7832
567	3103	7824
568	3108	7818
569	3114	7813
570	3119	7806
571	3124	7799
572	3129	7792
573	3133	7785
574	3138	7777
575	3143	7771
576	3148	7765
577	3153	7757
578	3158	7752
579	3164	7747
580	3169	7740
581	3174	7734
582	3179	7728
583	3184	7721
584	3190	7716
585	3194	7708
586	3199	7701
587	3203	7693
588	3209	7689
589	3214	7682
590	3219	7675
591	3225	7671
592	3230	7664
593	3235	7657
594	3240	7651
595	3245	7644
596	3249	7637
597	3255	7632
598	3260	7624
599	3264	7617
600	3269	7610
601	3274	7604
602	3279	7598
603	3284	7591
604	3290	7586
605	3295	7579
606	3299	7572
607	3305	7566
608	3309	7559
609	3314	7551
610	3320	7547
611	3325	7541
612	3330	7534
613	3335	7528
614	3339	7521
615	3344	7515
616	3349	7507
617	3354	7502
618	3359	7495
619	3364	7488
620	3369	7482
621	3374	7475
622	3378	7468
623	3384	7462
624	3389	7455
625	3394	7449
626	3399	7443
627	3404	7437
628	3408	7430
629	3413	7422
630	3419	7419
631	3424	7412
632	3429	7405
633	3434	7399
634	3438	7392
635	3443	7385
636	3449	7380
637	3453	7373
638	3458	7365
639	3463	7359
640	3468	7353
641	3485	7372
642	3490	7365
643	3494	7358
644	3500	7354
645	3506	7348
646	3511	7342
647	3516	7337
648	3521	7331
649	3526	7324
650	3532	7319
651	3536	7312
652	3541	7305
653	3547	7300
654	3552	7294
655	3556	7287
656	3562	7281
657	3567	7275
658	3572	7268
659	3577	7262
660	3582	7257
661	3587	7251
662	3592	7245
663	3598	7239
664	3603	7233
665	3608	7226
666	3613	7221
667	3618	7215
668	3623	7208
669	3628	7202
670	3633	7196
671	3638	7190
672	3643	7184
673	3648	7178
674	3653	7172
675	3658	7166
676	3663	7158
677	3667	7151
678	3673	7146
679	3677	7139
680	3682	7132
681	3687	7126
682	3692	7120
683	3697	7113
684	3701	7106
685	3706	7100
686	3711	7093
687	3716	7086
688	3720	7080
689	3726	7075
690	3731	7068
691	3735	7061
692	3741	7056
693	3746	7049
694	3750	7043
695	3756	7037
696	3761	7031
697	3766	7025
698	3771	7019
699	3776	7013
700	3781	7006
701	3786	7001
702	3791	6995
703	3796	6989
704	3801	6982
705	3806	6976
706	3811	6970
707	3815	6963
708	3821	6958
709	3826	6951
710	3830	6944
711	3835	6939
712	3840	6932
713	3845	6926
714	3850	6921
715	3856	6915
716	3861	6910
717	3867	6904
718	3871	6898
719	3876	6892
720	3881	6885
721	3886	6880
722	3891	6873
723	3896	6867
724	3902	6862
725	3906	6855
726	3911	6849
727	3916	6843
728	3921	6837
729	3926	6830
730	3931	6824
731	3937	6821
732	3942	6814
733	3947	6809
734	3953	6803
735	3958	6798
736	3963	6792
737	3969	6787
738	3974	6781
739	3979	6775
740	3984	6770
741	3989	6763
742	3993	6756
743	3999	6751
744	4003	6744
745	4007	6737
746	4013	6731
747	4017	6724
748	4022	6718
749	4027	6711
750	4033	6707
751	4037	6700
752	4042	6694
753	4048	6689
754	4052	6682
755	4057	6676
756	4062	6670
757	4067	6664
758	4071	6657
759	4076	6651
760	4081	6645
761	4086	6638
762	4090	6631
763	4095	6625
764	4100	6619
765	4104	6612
766	4109	6606
767	4114	6600
768	4119	6594
769	4124	6589
770	4130	6583
771	4135	6577
772	4140	6572
773	4145	6566
774	4150	6561
775	4155	6555
776	4161	6549
777	4166	6543
778	4170	6537
779	4177	6533
780	4181	6527
781	4186	6520
782	4192	6515
783	4196	6509
784	4201	6503
785	4207	6498
786	4212	6491
787	4216	6485
788	4221	6480
789	4227	6474
790	4231	6467
791	4236	6461
792	4242	6456
793	4247	6451
794	4251	6444
795	4257	6439
796	4262	6433
797	4267	6427
798	4272	6421
799	4277	6416
800	4282	6410
801	4287	6404
802	4292	6399
803	4297	6392
804	4302	6386
805	4307	6380
806	4312	6375
807	4317	6368
808	4322	6363
809	4327	6357
810	4332	6352
811	4338	6347
812	4343	6341
813	4347	6334
814	4353	6330
815	4359	6324
816	4364	6319
817	4371	6316
818	4377	6311
819	4383	6307
820	4389	6303
821	4394	6298
822	4400	6293
823	4406	6288
824	4411	6283
825	4417	6278
826	4423	6274
827	4428	6268
828	4435	6265
829	4442	6261
830	4448	6257
831	4455	6254
832	4461	6250
833	4471	6251
834	4477	6247
835	4486	6246
836	4492	6242
837	4500	6240
838	4506	6236
839	4512	6232
840	4520	6229
841	4526	6225
842	4532	6221
843	4538	6216
844	4543	6210
845	4550	6207
846	4556	6202
847	4561	6196
848	4567	6192
849	4572	6186
850	4578	6181
851	4584	6176
852	4589	6171
853	4594	6165
854	4600	6161
855	4606	6155
