iter	RMSE
0	0.3716926078
1	0.3700194915
2	0.3678742944
3	0.3658396437
4	0.3638166115
5	0.3621263427
6	0.3596807931
7	0.3579844373
8	0.3558216269
9	0.3535750011
10	0.350910511
11	0.3494127145
12	0.3477194875
13	0.3453742913
14	0.3440775125
15	0.3423295221
16	0.3405094828
17	0.337885665
18	0.3366240333
19	0.3351441363
20	0.33331582
21	0.3316492305
22	0.3296309871
23	0.327847319
24	0.326041893
25	0.324655181
26	0.3224536257
27	0.3208432651
28	0.3197017166
29	0.3181587326
30	0.3166603958
31	0.3145575838
32	0.3124139457
33	0.3108593113
34	0.3090839072
35	0.3075024137
36	0.3058339931
37	0.3045087028
38	0.3032101876
39	0.3012135794
40	0.2993818847
41	0.2981446467
42	0.2969319377
43	0.2953542191
44	0.2941853288
45	0.2929579058
46	0.2914028029
47	0.2897314046
48	0.2877127255
49	0.286232882
50	0.284300219
51	0.2828515334
52	0.281889253
53	0.2797533959
54	0.2782206547
55	0.2769503156
56	0.2754652631
57	0.2743460019
58	0.2725677938
59	0.2705628046
60	0.2692295095
61	0.268021578
62	0.2663277783
63	0.26495319
64	0.2638000932
65	0.2622191599
66	0.2608093577
67	0.2589897044
68	0.2576823273
69	0.2565692068
70	0.2552009773
71	0.2537883843
72	0.2525664988
73	0.2512164742
74	0.2495217053
75	0.2482135149
76	0.2471252835
77	0.2459879531
78	0.244281605
79	0.2432582208
80	0.2419051956
81	0.2408665518
82	0.2400960275
83	0.2387106429
84	0.2377917404
85	0.2365319039
86	0.2351668573
87	0.2339388474
88	0.2330694683
89	0.2315939681
90	0.2303023488
91	0.2293701324
92	0.2285956956
93	0.2270544163
94	0.2256863482
95	0.2245863772
96	0.2234149401
97	0.2228346918
98	0.2216887924
99	0.2204234337
100	0.2191965014
101	0.2177471398
102	0.2168766378
103	0.2162015294
104	0.2153238535
105	0.213973899
106	0.2128437627
107	0.2117342924
108	0.2110228076
109	0.2099378543
110	0.2089522999
111	0.2079069717
112	0.2068547416
113	0.2059656266
114	0.2052630822
115	0.2041231835
116	0.2028898675
117	0.2015964101
118	0.2007498347
119	0.1996579642
120	0.1986056784
121	0.1977951999
122	0.1971333678
123	0.195821568
124	0.1947932295
125	0.193804895
126	0.1927206719
127	0.1916727417
128	0.190464843
129	0.1890828386
130	0.1883572014
131	0.1870865374
132	0.1863223214
133	0.1850655777
134	0.1843290161
135	0.1835836515
136	0.1828529653
137	0.182228439
138	0.1815014543
139	0.1807644578
140	0.1797791752
141	0.1788191113
142	0.1779107981
143	0.1772819615
144	0.176359336
145	0.175432229
146	0.1747193272
147	0.174022841
148	0.1731250732
149	0.1722584702
150	0.1710733432
151	0.1704492043
152	0.1695032494
153	0.1688579799
154	0.1678693158
155	0.1670609736
156	0.1661537476
157	0.1654674123
158	0.1647537098
159	0.1640797557
160	0.1632624968
161	0.1625824436
162	0.1614957426
163	0.160687421
164	0.1600699356
165	0.1589802184
166	0.1579394506
167	0.157141627
168	0.1561512813
169	0.1555382556
170	0.1549270576
171	0.1540615548
172	0.1534504113
173	0.1527336563
174	0.1519572056
175	0.1512378128
176	0.1501565957
177	0.1495277644
178	0.148949116
179	0.1483675423
180	0.1477647823
181	0.1472529341
182	0.146709982
183	0.1460428902
184	0.1454372809
185	0.1448893336
186	0.1439289116
187	0.1434525618
188	0.1428757668
189	0.1423143715
190	0.1416074007
191	0.1410391162
192	0.1404705713
193	0.1399383552
194	0.1394063845
195	0.1387591235
196	0.138146833
197	0.1373769009
198	0.136620556
199	0.1360261639
200	0.135191264
201	0.134706097
202	0.1342316721
203	0.1337796264
204	0.1328682578
205	0.1323094904
206	0.1317423318
207	0.131218835
208	0.1306953693
209	0.1300471753
210	0.1292249461
211	0.1287394026
212	0.1282462942
213	0.1277553626
214	0.127255336
215	0.1267287166
216	0.1262946663
217	0.1256941654
218	0.1251889727
219	0.1246413179
220	0.124154465
221	0.1235594022
222	0.1231413421
223	0.1224799893
224	0.1218877503
225	0.1214697445
226	0.1210916754
227	0.1206277536
228	0.1201954416
229	0.119722155
230	0.1189508485
231	0.1183598684
232	0.117887867
233	0.1174136557
234	0.1168770144
235	0.1162598377
236	0.1158076526
237	0.1151630901
238	0.1147617719
239	0.1142652623
240	0.1137727838
241	0.1133221192
242	0.1128580779
243	0.112489764
244	0.1120245146
245	0.1113392073
246	0.1107238408
247	0.1102057384
248	0.1097983742
249	0.1093806496
250	0.1089533645
251	0.1085379999
252	0.1080950405
253	0.1076612202
254	0.107093131
255	0.1066657539
256	0.1062331824
257	0.1058623471
258	0.1055439428
259	0.1052317272
260	0.1048264392
261	0.1043773543
262	0.1039253056
263	0.1034868656
264	0.10309323
265	0.1025577021
266	0.1021824094
267	0.1016229791
268	0.1011166727
269	0.10068504
270	0.1002880761
271	0.09988557846
272	0.09949401671
273	0.09909858587
274	0.09872552734
275	0.09836739324
276	0.09807486927
277	0.09756310385
278	0.0971614374
279	0.09682517858
280	0.0964740746
281	0.09610417284
282	0.09572368271
283	0.0953373489
284	0.09502330783
285	0.0944658555
286	0.09385975451
287	0.09337304371
288	0.0930100128
289	0.09263688406
290	0.09225642762
291	0.09189762949
292	0.09153885418
293	0.09118855519
294	0.0909299349
295	0.0905701146
296	0.09026263761
297	0.08992329993
298	0.08956379498
299	0.08914890849
300	0.08872709255
301	0.08835391725
302	0.08801965298
303	0.08773935541
304	0.08740424847
305	0.08706588483
306	0.08673234892
307	0.08642856119
308	0.08604955463
309	0.08570503301
310	0.08536232296
311	0.08488109691
312	0.08443221019
313	0.08409354129
314	0.08377858097
315	0.08345712147
316	0.08312499636
317	0.08279626701
318	0.08249881871
319	0.0821481918
320	0.08181814056
321	0.08148978214
322	0.08118144946
323	0.08082930908
324	0.08051530899
325	0.08017405997
326	0.07985525572
327	0.07955335668
328	0.07922774251
329	0.0789326313
330	0.07848078182
331	0.0781829236
332	0.07787124142
333	0.07747725143
334	0.07718207679
335	0.07684494208
336	0.07655769735
337	0.0762510572
338	0.07594977193
339	0.07565024256
340	0.0753968917
341	0.07509932919
342	0.07480032319
343	0.07450166126
344	0.07419032759
345	0.0738976132
346	0.0736357503
347	0.07337784724
348	0.07309325043
349	0.07280532259
350	0.07251476394
351	0.07212077945
352	0.07181206995
353	0.07152883522
354	0.07125909532
355	0.07097128047
356	0.07069182114
357	0.07042103788
358	0.07014245272
359	0.0698802851
360	0.06959759968
361	0.06931426086
362	0.06903987695
363	0.06876611881
364	0.06849362811
365	0.06822265263
366	0.06784706163
367	0.06757715148
368	0.06730295215
369	0.0670376559
370	0.06676693348
371	0.06650465056
372	0.06624338132
373	0.06598137472
374	0.06576117447
375	0.06550108852
376	0.06523485177
377	0.0649786386
378	0.06471613018
379	0.06446112657
380	0.06420409861
381	0.06395093164
382	0.06369726945
383	0.06346092059
384	0.06320865323
385	0.06295285494
386	0.06270404869
387	0.06245534156
388	0.06220736368
389	0.06200400627
390	0.06176053377
391	0.06151661427
392	0.06127229622
393	0.061029087
394	0.06066861435
395	0.06042635918
396	0.0601881992
397	0.05994914011
398	0.05971407164
399	0.05952032367
400	0.05928396636
401	0.05905031017
402	0.05881663076
403	0.05858089457
404	0.0583510126
405	0.05812183144
406	0.0578925007
407	0.05766449271
408	0.05743483577
409	0.05720865144
410	0.05698105787
411	0.05676718585
412	0.05654253086
413	0.05632037306
414	0.05609930657
415	0.05587887375
416	0.05565931131
417	0.0554393803
418	0.05526094107
419	0.05504372476
420	0.05482808451
421	0.05461261822
422	0.054397014
423	0.05418379983
424	0.05397088749
425	0.05375954608
426	0.05354776976
427	0.05333724369
428	0.05312694473
429	0.05291866959
430	0.05271143506
431	0.05250307174
432	0.05229731789
433	0.05209286051
434	0.05188895735
435	0.05168587362
436	0.05148361193
437	0.05129415861
438	0.05110330048
439	0.05090302562
440	0.0507042237
441	0.05050435753
442	0.05030647866
443	0.0501100229
444	0.0499127179
445	0.04971757996
446	0.04952326004
447	0.04932875039
448	0.04913571015
449	0.04894123827
450	0.04874789144
451	0.04855750875
452	0.04836702401
453	0.04817814547
454	0.04798970813
455	0.04780208381
456	0.04761543402
457	0.04742882984
458	0.04724347695
459	0.04705758389
460	0.04687356647
461	0.04668984904
462	0.04650744444
463	0.04635916934
464	0.04617821671
465	0.04599710973
466	0.04581740365
467	0.0456381712
468	0.04545971636
469	0.04528212154
470	0.04510538459
471	0.04492816651
472	0.04475301866
473	0.04457754536
474	0.0444032659
475	0.04422946234
476	0.04405687046
477	0.04388483108
478	0.04371358543
479	0.04354170516
480	0.04337099739
481	0.04320190332
482	0.04303325467
483	0.04286500079
484	0.04269796691
485	0.04253097027
486	0.04236501576
487	0.04219965841
488	0.04203525087
489	0.0418713314
490	0.04170834178
491	0.04154512206
492	0.04138263548
493	0.04122161748
494	0.04105991309
495	0.04089904486
496	0.04073946585
497	0.04057994215
498	0.04042137075
499	0.04026370026
500	0.04010601478
501	0.03994881245
502	0.0397927671
503	0.03963723494
504	0.03948165599
505	0.03932757117
506	0.03917415296
507	0.03902153205
508	0.03886920427
509	0.03871707621
510	0.03856623793
511	0.03841606531
512	0.03826597602
513	0.03811674827
514	0.03796740992
515	0.03781896366
516	0.03767143907
517	0.03752497217
518	0.03737860313
519	0.03723288192
520	0.03708787582
521	0.03694316948
522	0.03679879685
523	0.03665561282
524	0.03651256064
525	0.03637017632
526	0.03622859442
527	0.03608738942
528	0.03594726417
529	0.03580749591
530	0.03566821107
531	0.03552904515
532	0.03539070431
533	0.03525302559
534	0.03511577807
535	0.034978608
536	0.0348418532
537	0.03470646668
538	0.03457136727
539	0.03443664191
540	0.03430275326
541	0.03416894847
542	0.0340360406
543	0.03390346688
544	0.03377160336
