"County","Cases"
"Cook","18"
"DuPage","4"
"Franklin","1"
"Kane","2"
"Kendall","1"
"Lake","1"
"McHenry","1"
"McLean","1"
"Peoria","2"
"Randolph","1"
"St. Clair","1"
"Total","33"
