"County","Cases"
"Adams","1"
"Champaign","1"
"Coles","2"
"Cook","62"
"DuPage","16"
"Edgar","1"
"Kane","7"
"Kendall","1"
"Lake","1"
"Lee","1"
"Macon","2"
"Madison","2"
"Marion","1"
"Marshall","1"
"McHenry","1"
"Ogle","1"
"Peoria","3"
"Rock Island","1"
"Sangamon","1"
"St. Clair","4"
"Stephenson","1"
"Will","4"
"Winnebago","2"
"Woodford","2"
"Total","119"
