"County","Cases"
"Bond","1"
"Champaign","2"
"Clinton","2"
"Coles","1"
"Cook","104"
"DeKalb","2"
"DuPage","18"
"Edgar","1"
"Edwards","1"
"Ford","1"
"Franklin","1"
"Fulton","1"
"Kane","7"
"Kendall","1"
"Lake","8"
"LaSalle","1"
"Macoupin","1"
"Madison","2"
"Marion","2"
"McHenry","2"
"Peoria","1"
"Rock Island","2"
"Sangamon","1"
"St. Clair","2"
"Stephenson","2"
"Tazewell","2"
"Whiteside","1"
"Will","4"
"Williamson","1"
"Winnebago","1"
"Total","176"
