"County","Cases"
"Champaign","1"
"Coles","1"
"Cook","33"
"DuPage","9"
"Kane","4"
"Lake","6"
"Macon","1"
"McHenry","1"
"Sangamon","1"
"St. Clair","3"
"Tazewell","2"
"Vermilion","1"
"Will","2"
"Winnebago","4"
"Total","69"
