"County","Cases"
"Champaign","1"
"Cook","35"
"DeKalb","1"
"DuPage","12"
"Franklin","1"
"Kane","2"
"Kendall","1"
"Lake","5"
"Peoria","1"
"Will","4"
"Williamson","1"
"Total","64"
