,Year,GEOID,County,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,2017,2018,2019,2020,2021,2022,2023,2024,Cases_2017,2017_normalized
0,2017.0,17001.0,Adams,-0.107950021765974,-0.0376266055921359,0.0363481361693635,-0.0962445407670167,0.0347001233972217,-0.1086842760793314,-0.0167284137204172,0.0944582111838169,0.0040881571738716,-0.1734841669226428,0.0563900536940352,-0.0094253158393188,-0.0210422437927022,0.0093406163009764,-0.0929952974630105,0.1285639166784358,-0.1162947518017983,0.09782527933804,-0.1152196283664967,0.0360573247797431,-0.0569326074656816,-0.0083932521505385,0.0377332606588762,0.1045420593415547,0.0096522730022363,0.0992746841359577,-0.0988463552265103,-0.0669916496968666,0.024385426788564,-0.1539780304010475,-0.1742823649197341,-0.0880517702362767,0.0798530481025481,0.0077339691929149,-0.0818894637603088,-0.018275103827632,-0.1017616664806424,-0.1076034420062792,0.0809075660387385,-0.0611747834652047,-0.0115091188454755,0.0589170113369483,0.1827742576993687,-0.096829905896152,-0.07858276362346,0.007615915779543,0.1784586653742,-0.0375492632438172,0.1721673301355741,-0.13516404713368,0.0240898752897458,0.0551935325841513,-0.1198037150530821,0.104734911758409,0.1307546898230455,0.1784668656855499,-0.0378426996467854,0.1274133716171017,0.0210650929259419,-0.0418451157078973,-0.1214701042933609,-0.0886566007107514,-0.1684124506624061,0.0270291000014006,66057.0,65623.0,65435.0,65622.0,65077.0,64526.0,64435.0,64109.0,1.0,1.5138441043341357
1,2017.0,17003.0,Alexander,-0.0948243092639783,-0.0566725547233637,-0.0405269999402648,-0.0636694811101128,-0.0162191676102738,-0.0489287477078745,0.0725833570208697,0.0730444108397133,-0.0111420234326249,-0.0953294615269408,0.0774187198830389,-0.0729447810200357,-0.0730232295911437,-0.0673491771177274,-0.1102519714844115,0.0514922936974769,-0.1834175832344959,-0.0103946420535375,-0.1803744247146776,0.0458942170812178,-0.0714353883839416,0.0772083066215755,-0.0817859925920265,0.0266570292289004,0.0069796599427164,0.1303380268161919,-0.0526771943797448,-0.0660463059090966,-0.0171978987837305,-0.0217231680423859,-0.1033318142863949,-0.069309526231627,0.0333094870790359,0.0080092939129962,-0.0522289741849826,-0.1539180963700713,-0.083502955678741,-0.182883416521286,0.0925006150037524,-0.0626405385177318,-0.0401316793990683,0.0666058590604726,0.2515238652386921,-0.0546485332137067,0.0464611911157817,0.0934820481648692,0.1062930161528223,-0.0810836598667253,0.2064817831602938,-0.091628372947203,-0.0767284370786066,0.0326017680876391,-0.0946532540684034,0.0522805308915367,0.100999907916251,0.2007824742743168,-0.0492142327452524,0.0949083597223723,0.0695347758269982,-0.0600566759854089,-0.0772536792277601,-0.1439794809474985,-0.0987089467383769,0.065626758903152,6278.0,6041.0,5761.0,5172.0,5028.0,4859.0,4723.0,4594.0,0.0,0.0
2,2017.0,17005.0,Bond,-0.1196586027008076,-0.0354578724985684,0.0159390428536145,-0.0736421527885241,0.0080376322337571,-0.1003121145226536,0.0383631725611076,0.0715583197114336,-0.014893905338083,-0.1891014447822759,0.0759648232845375,0.0026645794222955,-0.039928761111642,0.0036005188789511,-0.0727784486801377,0.0968636160608457,-0.1559517146086231,0.0694983743052569,-0.1000342066097479,0.0396024042401119,-0.0707502540542793,0.0365065821204794,0.0234038652641881,0.0800158401245773,-0.0226520954122255,0.1334279379640829,-0.0502086123256752,-0.0391058747754521,-0.0176724890529418,-0.1397717238918755,-0.1722241330245331,-0.1011442740802953,0.0898265451402772,0.0434188424115131,-0.0777256644395433,-0.0812798938649572,-0.1126726458631624,-0.1358878648402408,0.0685845301635232,-0.0456963428709911,-0.0055912508144149,0.087424712805558,0.2057889816482492,-0.1026003662410059,-0.0629116827322912,0.0327575351334519,0.163843277741161,-0.0591591219075074,0.2182508752510741,-0.1101274124546017,-0.0104591136127283,0.0477326072609052,-0.1391085949446084,0.0632978917588118,0.1524182619611623,0.1775320639067469,-0.0676575955991606,0.1367039013326927,0.0137578183106399,-0.0911210221180083,-0.1109445896749216,-0.0985791107604598,-0.1253734259187769,0.0487978359594434,16648.0,16637.0,16426.0,16856.0,16797.0,16716.0,16637.0,16576.0,0.0,0.0
3,2017.0,17007.0,Boone,-0.0518543699311878,-0.0203233560029624,0.0718129269139995,-0.1724473039177239,0.0468107286031541,-0.0926467559796972,-0.0243395068328601,0.0661539611263477,0.0379719764084771,-0.1987338103023123,0.0905615019318199,-0.0249856076116173,0.0528576200918341,0.0368248104102354,-0.1415772132038243,0.016231365792211,-0.1347684707938651,0.0767706100097528,-0.1029877909655697,0.0575949164337055,-0.0586876851888026,-0.051179659355435,0.0563292330727091,0.0363374259305991,-0.0516836592306167,0.1320775660183181,0.0022469726981526,-0.0534907246064682,0.065944480654315,-0.1741847714645478,-0.1616436047852187,-0.1262511781824348,0.0345043154423098,-0.007159735940353,-0.0606176997673202,0.0331034380570519,-0.0251523628758945,-0.0612439567071385,0.1494408502101483,-0.0319839699516722,-0.0332600773675839,0.0831583838836891,0.1421252691145152,-0.1530969229388448,-0.0638698044627511,0.0050796285805912,0.2013032532709659,-0.0228158704745064,0.1482905214017859,-0.1577061986378209,0.0318350329859769,0.0639323807457796,-0.1378447364513451,0.0417089306185172,0.1762495264649569,0.1752291773462225,-0.0173614208186917,0.0779352520940341,0.0150188150122166,-0.1258150458058597,-0.1196909297113323,-0.1152912420077348,-0.1527058693812872,0.032384948142586,53513.0,53480.0,53544.0,53339.0,53173.0,53084.0,53239.0,53313.0,1.0,1.8687048007026328
4,2017.0,17009.0,Brown,-0.1121114564499562,-0.0122036147424554,0.021089407890404,-0.0657246986116939,0.0431583666227284,-0.1204576494761921,-0.0073827956058822,0.1221917297221593,0.0170170527261094,-0.1388961893191051,0.0677998499098518,-0.0174781553577948,-0.0275064331268789,0.0026245727788557,-0.119236919122486,0.1538901034184573,-0.1231974550200362,0.0879632353540015,-0.1582215336681129,0.029892875542565,-0.0389678789605247,-0.0142386921737704,0.01225189325001,0.0909852691869966,0.0406659056028036,0.0909611942747104,-0.15218689363318,-0.0797530459010098,0.031267962709248,-0.1096528446950637,-0.1655357939375842,-0.052162659661253,0.0813077336046801,-0.0123588267744718,-0.0702045011041068,-0.0241918184423249,-0.0965400063724558,-0.1636500229051021,0.0674965205014984,-0.085550453936699,-0.0151228211655044,0.0570872399840332,0.2073057819429198,-0.0717723424707161,-0.0676194081807565,0.0165447506616985,0.1972584451241432,-0.0630535072887621,0.1751341348053566,-0.1465382055749501,-0.002669569805391,0.0475974993497122,-0.0989545381971851,0.1252183850364389,0.1098791422734242,0.1957614212258403,-0.003019601550361,0.1223357580502622,0.0215268405812094,-0.0249222285639966,-0.1254961440684575,-0.1087715413646533,-0.1682895951720194,0.022708907282169,6609.0,6563.0,6578.0,6237.0,6444.0,6321.0,6301.0,6307.0,0.0,0.0
5,2017.0,17011.0,Bureau,-0.0725543512025468,-0.0522982378195713,0.051540776689479,-0.1460019661942567,0.0183825923911599,-0.1297991034745431,-0.024818635972733,0.1128109844658407,0.0397666676328714,-0.1853266466209542,0.1002527619688352,0.0266740141765778,0.031444318835128,0.0274110671059791,-0.0871433900830402,0.0518289796254259,-0.1440888740936097,0.0820851255924547,-0.126872962437322,0.0305567951423597,-0.0477031536794597,-0.0082629129406246,0.0624059335872495,0.0760983194759456,-0.0488447324725031,0.1295542705068003,-0.0145984613829168,0.0152368493022529,0.0222133721356954,-0.199718291382643,-0.1650255005956132,-0.1251080655552042,0.0546707191252831,0.0182356918452627,-0.0330623787944598,0.0081998117007266,-0.0611383859861338,-0.0489624171829361,0.1290356980985303,-0.0440888112151677,-0.0305919579331294,0.0712034530524414,0.1597588107608316,-0.1633698751434088,-0.0993080757210134,0.0136167767565318,0.2188112758590592,-0.0426343394059117,0.1513728666586538,-0.1178325616899543,0.0703781781657276,0.0853744581647021,-0.1462386135707683,0.0388710911336332,0.1536123595380593,0.1819376137375544,-0.0214008898765163,0.0967284454973807,-0.016223251718277,-0.1325043610671314,-0.1180629592233662,-0.0760813972209959,-0.1507574762357509,0.0590831594499349,33137.0,32959.0,32628.0,33225.0,32999.0,32862.0,32758.0,32486.0,0.0,0.0
6,2017.0,17013.0,Calhoun,-0.1116940118117566,-0.0372290915134352,-0.0107235992844489,-0.0372286469217214,0.0115600164220418,-0.1192033093372187,-0.0006073164737193,0.1071889677207599,0.008639791022693,-0.1205042645383603,0.0878063578392581,-0.045001723808494,-0.0486826197784177,-0.0496132105302376,-0.1225616656330651,0.10877216282116,-0.1362577647748397,0.0420626986223792,-0.1857852596005087,0.0070514513739451,-0.0449896730783437,0.0058586114240874,-0.0504548216441693,0.0897960832210577,0.0356108373462657,0.0828049943272734,-0.1437402619340676,-0.0985426792631991,0.0135835417311451,-0.0434988958172684,-0.1469588470775147,-0.023486952969983,0.0637372145276048,-0.0003200125140994,-0.0714917170238181,-0.0481451760803479,-0.0762673604975952,-0.1914541332604288,0.0549727308691459,-0.0946055229381265,-0.0436906079161489,0.0514215667403198,0.2418121953756253,-0.0634331819262094,-0.0072065480625862,0.0566155194387151,0.146802420427603,-0.0669632252191332,0.1670538372313689,-0.1452129631980537,-0.0552474397481513,0.0588476770869345,-0.0790817359379127,0.1083459684458412,0.1013091143070735,0.1846334875467013,0.0020286450408489,0.1168808302963239,0.0368518495898334,-0.0173418039083198,-0.0925022336190917,-0.1416721577809806,-0.1252217294025758,0.0509826106812779,4851.0,4829.0,4739.0,4403.0,4392.0,4335.0,4293.0,4224.0,0.0,0.0
7,2017.0,17015.0,Carroll,-0.0683082337956533,-0.0535706500360082,0.0566548079161193,-0.1092232432039102,0.027847390247095,-0.1433598423183899,-0.0264065191444116,0.1442580141704363,0.05601003012342,-0.1566967372946901,0.083269230318445,0.0240209928923909,0.036440181236176,0.0396852001422124,-0.1059795650809163,0.0792497319188301,-0.1196263455643241,0.071717817438152,-0.1438820139227817,0.0087698041393288,-0.0131229477039929,-0.0621412978224588,0.0454513437936981,0.0862146166296565,-0.0140634107912596,0.1104758103121629,-0.0662500975574317,0.0014013319045666,0.0514138786007406,-0.1769515086217205,-0.1523963421067353,-0.0861056232962078,0.0512848333091772,-0.0279459265203185,-0.0329227931870126,0.0534610790307003,-0.0420730149373371,-0.0775886698519089,0.0988806471721903,-0.0553131062622049,-0.0310875766243871,0.05541497064192,0.1433975566552527,-0.1463928399826138,-0.1111399506966924,0.0091673115930446,0.2163532771048104,-0.0422798401792321,0.1115783244032518,-0.1335051819630222,0.0410728004833074,0.0867212912482278,-0.1202633237387744,0.0603834797519236,0.1466368735481116,0.1791050460285153,0.0193333271488415,0.1065199936298945,-0.0279374798837487,-0.0910019586707442,-0.1200303677648388,-0.0893498959214662,-0.1607488578898331,0.0570615704797334,14475.0,14314.0,14305.0,15678.0,15712.0,15553.0,15492.0,15444.0,1.0,6.908462867012091
8,2017.0,17017.0,Cass,-0.0946431436899641,-0.0741496871340633,0.0181274104119444,-0.1215997497610973,0.028429732296645,-0.134239108981246,-0.0272207891063788,0.0862724499744028,-0.0032886092680157,-0.162649739652333,0.0899215148496427,0.0095357318628788,-0.0009368380721234,-0.0025861274585263,-0.1041397979025133,0.0707396045533948,-0.1597805523870031,0.0759359355664233,-0.1482531242185207,0.018947000374016,-0.0557509219439237,-0.0087052245297327,0.0230540501587326,0.0968317265336528,-0.0282154365118097,0.1205357939642239,-0.0300000615880964,0.0007843024338963,0.0258645874504789,-0.1806937797443915,-0.1630326342072877,-0.0936781750778296,0.0760760980307476,0.0203395181604531,-0.0634264285594959,-0.00427075450168,-0.0602542506447404,-0.087327670345745,0.1168051743906828,-0.0757181430528654,-0.0265509013348758,0.0538074595066045,0.1900118940799595,-0.1247000468541404,-0.0720032412365473,0.0062370439479217,0.199384525198332,-0.0550642366744809,0.1767310702374334,-0.1517987826640468,0.0341039879015231,0.0781916117584166,-0.113901227104783,0.0829059077002718,0.1336831884488775,0.1835237028714836,-0.0341041413484162,0.0974057767823779,0.0224808505734703,-0.0870326998482769,-0.1198932310698249,-0.0876130494375191,-0.1274986438364782,0.060885498672469,12492.0,12312.0,12147.0,12976.0,12778.0,12672.0,12779.0,12713.0,0.0,0.0
9,2017.0,17019.0,Champaign,-0.0726326764839819,-0.0666669489176587,0.0148896759507788,-0.1443692627345089,-0.0054051565313016,-0.1082276964383801,0.0152605678052747,0.0382478782992849,0.0157602612601995,-0.2269019029659259,0.1015833026646799,0.0436959312865216,-0.0114261363597724,0.0135373099598887,-0.0634395032272182,0.0245095854384129,-0.1602868421936669,0.1010315017705309,-0.0965898363752919,0.0443259162996397,-0.0909835738914922,0.0780050491054958,0.0351969675520677,0.0942547791899693,-0.0719983685547084,0.1525299640134516,0.045426493805089,0.0273865086452779,-0.0023609432006001,-0.212488879384237,-0.1793242959770187,-0.1331461087115551,0.0659385790823281,0.0551691769914744,-0.0428268257721496,-0.078952058909374,-0.0906474330443454,-0.0481649646433609,0.1384808930664357,-0.0327898434071756,-0.0146417013984975,0.08055092449941,0.1907554707207448,-0.1761590611587402,-0.0776320790600034,0.0424424802663542,0.175841004972999,-0.0468303837545483,0.1979947638160845,-0.0845257380099203,0.0783474528456106,0.0599856323482921,-0.1725126656123331,0.0426762021009742,0.1657259301620793,0.1875615231620334,-0.0667809691815167,0.0968576670091372,-0.0105761317272569,-0.1612299540857422,-0.0899142385389566,-0.0614447728934063,-0.1114865692822199,0.0593455818392885,210425.0,209918.0,209689.0,206252.0,207232.0,208033.0,209813.0,212374.0,0.0,0.0
