,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,GEOID
0,-0.11261828773970414,-0.03703518303937832,-0.034714505180851826,-0.08565782745210097,0.01692950486529558,-0.10483352824919036,0.031083775183688593,0.08749225050475187,0.010825127974622739,-0.15182207080493657,0.05976289435552504,-0.033485565186351526,-0.056829633119674296,0.030298119855433906,-0.12634398601728444,0.10593161128366517,-0.17366946415666193,0.06091602698979871,-0.1444739740415283,0.059431108010837265,-0.06473710946478527,0.029291155066716406,0.018362556725856856,0.06069986536151058,-0.005717303857713016,0.10374644736656587,-0.03591807879512975,-0.0764916896274216,0.02715888548186951,-0.08014439895859223,-0.16205886672077038,-0.09022562207398978,0.05220692257501963,-0.007053161236018264,-0.014261548326028209,-0.11342237600998796,-0.08846407609081795,-0.1354734443564923,0.0708482172929516,-0.044995547523914395,0.013091547670661572,0.08347120753356446,0.2019798000557241,-0.05485294668425368,-0.04028073182134867,0.09269760047131191,0.16565283870360561,-0.08002309798597262,0.22641481918320613,-0.10949709652423076,-0.04239017349415166,0.05730333843904783,-0.11402946166089656,0.0657355223776779,0.13455851646111963,0.22301549706457555,-0.016676922249546308,0.09539127594936532,0.0357205807294443,-0.09079802041914871,-0.12325267110703439,-0.10012554810530269,-0.14755962871415196,0.03867801861644638,17121
1,-0.1002787898086916,-0.03379834456699184,-0.023103185726908754,-0.10498274666785301,0.01806191102167371,-0.11440643325191392,0.028386477951965538,0.09193085539994637,0.009299359770446918,-0.16470428968712703,0.06082046524358502,-0.007367351278580632,-0.029300455743792125,0.034692153318704955,-0.11127112391834482,0.08807642832645342,-0.1736905135932438,0.06451014635620006,-0.12812361164249259,0.0492394079381343,-0.06171484259751815,0.024003062810199233,0.0231122726944006,0.07079523434953164,-0.010805001637823452,0.10479928403269975,-0.009490059821270465,-0.03905242690123388,0.011316547172113042,-0.12100995893952507,-0.16490120276811313,-0.09983358615506358,0.05377201158240388,0.005547488787495233,-0.010788141566198724,-0.09905287141921629,-0.08980870761450535,-0.10779921503588542,0.08844562213561485,-0.02859665029468217,0.010725296701810206,0.07975858711576296,0.19360854838671457,-0.0855200971018818,-0.05455867660864444,0.08491487594472001,0.18845468436927032,-0.07020098973547141,0.21761226105526632,-0.10006703508594622,-0.010285971804267493,0.061585539654244445,-0.1389877424464394,0.047487383207984644,0.1452563783974708,0.2086933262668922,-0.015925359238742047,0.09537924076921599,0.022490649173918464,-0.10751579644003655,-0.12735990279827097,-0.08943013173637228,-0.15351904182796308,0.04866614415654284,17005
2,-0.10616284866592579,-0.017283511964614938,0.009635727943339051,-0.06571673639537651,0.023744920245954818,-0.11488376863508427,-0.0037237349057562476,0.12222007806193728,0.06075139137741916,-0.13948463719893126,0.06253754735970947,-0.02830137566862227,-0.024999650931385495,0.012567269684725367,-0.11815010035899788,0.09122340580170461,-0.1413463377433391,0.08181493178631553,-0.16274956305881022,0.03837741107289327,-0.05414208295012219,0.020565115166442025,0.013208283549437934,0.08880537158223058,0.009210741173359216,0.08703730477591774,-0.06598394662644914,-0.08150255457353996,0.01956368655668124,-0.08622096311316013,-0.16483380908918158,-0.07247645148418899,0.04746101119880428,-0.01596864374286719,-0.020198108283618687,-0.07904513133317889,-0.10835263972193132,-0.12258330095834181,0.10481060050056386,-0.06056917535232766,0.0023766025657150107,0.0544088200116862,0.207180393927843,-0.07803587043994122,-0.06261445906295686,0.08890247690373741,0.190166426015422,-0.07686680152587079,0.1860214670352061,-0.11509550606115394,-0.0011871252927542271,0.0668103942474598,-0.12797189903247344,0.08196663115587821,0.13253504980740435,0.19714092027683178,0.0017702269428757156,0.10597851417523504,0.010816270036481368,-0.08259191633208357,-0.12442384145408228,-0.09790275503408151,-0.17338031398201614,0.03517959599803869,17083
3,-0.11395441209126035,-0.08033316837503705,-0.009919273697965235,-0.06502400488328242,0.013302519906622295,-0.09688201445664274,0.019820274028186254,0.04917952847999051,-0.008338265647829534,-0.16255077668294785,0.05200363796254962,-0.029774235501769483,-0.054454970192672376,0.009808025017712857,-0.09648417654960446,0.05253346556719263,-0.1647660055414148,0.08007379749540776,-0.11800571756342552,0.06215155807988391,-0.07366028196305305,0.018490677108141743,-0.008148242980936962,0.05613207890489635,-0.0368648554862603,0.13550727534579624,-0.024880912252714063,-0.07662248842685485,0.025178236641423213,-0.08366437615229477,-0.1477681895178485,-0.10083802018581807,0.02959763908451715,-0.00046059087211517904,-0.01933050559405555,-0.08958382320173393,-0.10007844521913126,-0.11916175968104521,0.07941898139506785,-0.014734169711736632,-0.010534851653600104,0.07161228355038815,0.19607645827643186,-0.046031948397738165,-0.026875319393073516,0.10503480555806018,0.1556660548151919,-0.0367872464176786,0.22400252405426585,-0.11638519045311,-0.038798230335026565,0.06692669909650367,-0.13128907491950884,0.05610862742411727,0.16116090838952454,0.16251194829649623,-0.01659795432057334,0.10662227543149165,0.02991207241585229,-0.08351306522154148,-0.10669084538172892,-0.10745389783459655,-0.15569230469654907,0.034907298521005915,17163
4,-0.09018493602712407,-0.07584180538574521,-0.03954001762872907,-0.10864818486148407,0.006261333873804778,-0.10941459566992724,0.042594731162343316,0.06906728623113711,-0.014926604413266074,-0.16117566376616882,0.0658580893149126,0.008433648159964027,-0.03388146418797071,0.02577356356798207,-0.08012171670296057,0.05937477498362219,-0.18800166611718597,0.04446108753263411,-0.11639709167235233,0.031120447593518348,-0.05941782835625988,0.012478568489126537,0.006720315419267981,0.06663359408988548,-0.03757356402074405,0.10929963368631032,0.04411021563487342,-0.020531316006061645,0.010496002874087446,-0.12709734480622195,-0.14391359126498002,-0.10202879299669058,0.04686650311696944,0.0023138771149042096,-0.0029436151795728853,-0.08841917456592266,-0.06661822880370967,-0.09778647343800687,0.08076471088631525,0.0019096380719662745,-0.00937038042023358,0.07815345719439458,0.19690170266941207,-0.09279214723213369,-0.037615463434720074,0.08712006014184774,0.15890954494076398,-0.04732249474617921,0.2219191292715513,-0.09556035551298724,-0.029154983598421533,0.06331344345104532,-0.15130221219492507,0.01338722421123639,0.15929337246742523,0.19779114692327582,-0.026200466970551645,0.08972954495685649,0.03451464855743234,-0.11256706377641135,-0.11528810272471508,-0.095173467759721,-0.13710093187463931,0.08055401138528127,17027
5,-0.0962029461733535,-0.02586202964909815,-0.006819435649064979,-0.04443684139369614,0.015168870471544322,-0.11303720888584692,-0.0009178897038005794,0.1368525155828845,0.05653201787658106,-0.09997359343898995,0.07260550541418163,-0.06762198427352585,-0.03886594066924819,-0.0325734453040339,-0.1280779476079253,0.08060122997342492,-0.13804846272890614,0.0671341298062489,-0.20795303506771023,0.029939910104167924,-0.05192753339194936,0.0010095106549505358,-0.026402694924486606,0.07300182102249061,0.02749962245851562,0.06040270679947787,-0.10340177955163396,-0.13888055779500763,0.04290350252307919,-0.017159297187711114,-0.14665802158449648,-0.0020543473625243666,0.04009476917044109,-0.03424440117341058,-0.029913178524577137,-0.05779265639079028,-0.08155489311652254,-0.17808768992991253,0.09146001004441462,-0.0719228123513287,-0.009647865641364065,0.04518669125846088,0.2213940466764818,-0.03077056304141874,-0.013753692109427496,0.11586807717905348,0.1527276287353576,-0.0606075524718274,0.17250386390373107,-0.13780765383423088,-0.042552703919837336,0.07679637464414844,-0.09169045730789449,0.089802558831613,0.08878578144912685,0.1938136848197667,0.012155043275751558,0.11789235247903329,0.018125109552209088,-0.021210563048900698,-0.11860081420657174,-0.13315422930410895,-0.15117495097061134,0.04846718421824289,17013
6,-0.10083249888242006,-0.06674031877674874,0.005379635740607995,-0.07504107063489712,0.0244137523373865,-0.1013637289032449,0.005108426302795806,0.04905020906816507,-0.0030027491751263543,-0.16070764399991452,0.058459220944649185,-0.03926693188776226,-0.04998352954041116,0.01359016913914923,-0.12413318633725585,0.06031497257340036,-0.1533838810992182,0.08229260477642089,-0.12681153785614047,0.06345477635163697,-0.06734110100407033,0.013602151806255557,-0.0031937307612351132,0.05777977249888917,-0.03283896918123649,0.13508845641923029,-0.03242169726938006,-0.08069878622737102,0.03861209733222448,-0.0920186809474351,-0.15131100092170985,-0.09109260787021142,0.031862421262971743,-0.003173909797302351,-0.021908414956758913,-0.07214169046405479,-0.0842345247270126,-0.11518413881945815,0.08444646081815417,-0.023578705739500886,-0.014784892926981876,0.06269308754842831,0.1884807415099345,-0.05102557700315286,-0.02955631921949665,0.09660266819077482,0.1660411888161569,-0.038338578289397754,0.20846758687675387,-0.12429083100071477,-0.019991096356467845,0.06426764555774252,-0.13044380316262455,0.06670086674338838,0.15845132417918753,0.16162700585233244,-0.006179039491684626,0.10367424838051054,0.02635419267709292,-0.08034506327096769,-0.11075738126911494,-0.11373897519923962,-0.15897174252830318,0.03410308905312811,17119
7,-0.12457611721408698,-0.04792308430483867,-0.027244369446301556,-0.06276986891454085,0.02093294880971557,-0.07975518538933676,0.04036668389992676,0.07673030978166023,0.016375550375199416,-0.15361296243387806,0.049166358174228944,-0.019993459473221262,-0.05646054827889036,0.013915024082987495,-0.08227025648700027,0.08195264689442143,-0.165318728681568,0.06126288070636003,-0.14076964675411544,0.04665000830390086,-0.07611538935154052,0.01683064399234746,0.001570685150672823,0.08120954314981423,-0.012430490431119419,0.09200519755236464,-0.04279738059940399,-0.07863491628632133,0.014438467564717908,-0.08240674767776675,-0.1596030598906312,-0.0829321046602717,0.05912150826827506,-0.00728437362152713,-0.034424710634805074,-0.11243708851715731,-0.12019524476234751,-0.1369849440843545,0.08928808971121471,-0.023017525947299784,-0.005193758597789623,0.0758706333919009,0.20989872756640618,-0.05449787297582704,-0.028422044299864245,0.09172960767625842,0.14332001742347525,-0.04306635211192951,0.22207391738523646,-0.10849294075944602,-0.050372319871529965,0.06081495809504562,-0.12077635928444287,0.047827004829103154,0.14764902076133984,0.1842441607597202,-0.047526534739037736,0.10976599069945803,0.031050136285551647,-0.07295151228291251,-0.12535953537326455,-0.1098488395198365,-0.1454018655934731,0.04910702697707119,17133
8,-0.10034480795262891,-0.021679345591921244,-0.0036003944162073397,-0.10195267004237038,0.02361845754787652,-0.1323331432254575,0.009697143955032947,0.09312520936085307,0.042474308311997305,-0.15722224654274425,0.07391964497130418,-0.01647702906719799,-0.012262519503152698,0.03220123160460866,-0.12965997502361096,0.06834715163435966,-0.15684232299700016,0.07563094892332248,-0.14969669245688855,0.04678869825638155,-0.060266827639070805,0.03166360520240392,0.0283639299656815,0.08868205074476186,-0.010064044084119095,0.0939750233532304,-0.020604956323210175,-0.0436460581373705,0.019170049226812275,-0.11891666239334128,-0.16935777925127626,-0.11128064288341231,0.05004844227373757,0.00019291791635713028,-0.004162603645309779,-0.09258891077797657,-0.09124770431439923,-0.08497159536361476,0.11741092223890683,-0.048762906554157534,-0.0013808692026291997,0.0640258620451193,0.19636148474868625,-0.10055116022505567,-0.06642705734247821,0.07741581527135294,0.1956505879046304,-0.07918735900620348,0.20565255092650994,-0.1002256661408815,0.010506842923955033,0.06812333541046167,-0.14650428101387764,0.055909092176306956,0.15678450286587384,0.20187245784524552,-0.007469289822994317,0.08610205421898816,0.007391895144629448,-0.12360410893103954,-0.1308730214664215,-0.08919754178109998,-0.1692213148496002,0.045805323541500825,17117
9,-0.10782331102853644,-0.04372287860701934,0.006339371821393648,-0.1085486722007932,0.02224407953154443,-0.10852757739673935,-0.0215129805166539,0.12365699874775768,0.042071927938845,-0.17595183234487316,0.05609728950613823,-0.0016022346214106529,0.01070472302686924,0.03794466813028515,-0.0976831872167969,0.05397119831620036,-0.1525654143998682,0.09967788882023383,-0.14520811266390235,0.05149663266660425,-0.06783075171368066,0.0010422727508521907,0.047344623948431426,0.10165095251198579,-0.01753155076954388,0.08505579565249966,-0.01874195845301851,-0.08021950718972701,0.012513766313502572,-0.1297164715441415,-0.1859765427837988,-0.10449895137297266,0.051708800122025014,-0.004501643811360264,-0.011012470395963982,-0.07177760920054681,-0.09313584320646892,-0.08007263038881599,0.13736120905347052,-0.03692212958029935,0.020497237589283297,0.06328497243184146,0.19159402137542705,-0.09575783098667186,-0.08810209921870865,0.07349631535913337,0.18835542516703124,-0.06036178565315139,0.18785257041354955,-0.11181707786191177,0.02704288360585695,0.09117332424843297,-0.14503160187366676,0.058841055466829786,0.14891699906949554,0.20069337797738013,-0.021497034151243953,0.09953099660864954,-0.0075959811956611886,-0.1064302126645224,-0.1427121685349696,-0.07148982540014072,-0.17864422284814277,0.0455824635190327,17171
