,FIPS,County,State,Population,X,Y,HC_2002,HC_2003,HC_2004,HC_2005,HC_2006,HC_2007,HC_2008,HC_2009,HC_2010,HC_2011,HC_2012,HC_2013,HC_2014,HC_2015,HC_2016,HC_2017,HC_2018,HC_2019,HC_2020,HC_2021,HC_2022,HC_2023,HC_2024,HC_2002_per_100k,HC_2003_per_100k,HC_2004_per_100k,HC_2005_per_100k,HC_2006_per_100k,HC_2007_per_100k,HC_2008_per_100k,HC_2009_per_100k,HC_2010_per_100k,HC_2011_per_100k,HC_2012_per_100k,HC_2013_per_100k,HC_2014_per_100k,HC_2015_per_100k,HC_2016_per_100k,HC_2017_per_100k,HC_2018_per_100k,HC_2019_per_100k,HC_2020_per_100k,HC_2021_per_100k,HC_2022_per_100k,HC_2023_per_100k,HC_2024_per_100k
13,17027,Clinton,Illinois,37562,-89.4225,38.6064,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18.635855385762206,0.0,5.324530110217773,0.0,0.0,2.6622650551088864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.324530110217773,0.0,0.0,0.0,0.0,0.0,0.0
14,17029,Coles,Illinois,50621,-88.2218,39.5203,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1.9754647280772801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9754647280772801,0.0,0.0,0.0,0.0,0.0,0.0,1.9754647280772801,0.0,0.0,0.0,0.0,3.9509294561545603,1.9754647280772801
15,17031,Cook,Illinois,5150233,-87.8168,41.8401,635,20,23,134,86,33,9,1,30,22,174,59,26,27,98,52,104,14,34,35,18,62,33,12.329539265505074,0.3883319453702386,0.4465817371757744,2.6018240339805985,1.669827365092026,0.6407477098608937,0.17474937541660737,0.01941659726851193,0.5824979180553579,0.4271651399072624,3.378487924721076,1.1455792388422037,0.5048315289813102,0.5242481262498221,1.902826532314169,1.0096630579626205,2.019326115925241,0.27183236175916703,0.6601643071294055,0.6795809043979175,0.34949875083321474,1.2038290306477397,0.6407477098608937
16,17033,Crawford,Illinois,18667,-87.7596,39.0027,3,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16.071141586757378,5.357047195585793,0.0,0.0,10.714094391171585,0.0,0.0,0.0,0.0,0.0,5.357047195585793,0.0,5.357047195585793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17035,Cumberland,Illinois,10766,-88.2402,39.2733,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.865502507895226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,17037,DeKalb,Illinois,104897,-88.7703,41.8935,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1.906632220177889,1.906632220177889,0.0,0.0,0.9533161100889445,0.0,0.0,0.0,0.0,0.0,0.9533161100889445,0.0,0.0,0.0,0.0,0.0,1.906632220177889,0.0,0.0,0.9533161100889445,0.0,0.0,0.0
19,17039,De Witt,Illinois,15638,-88.9041,40.1746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39467962655071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,17041,Douglas,Illinois,19465,-88.2174,39.7695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.137426149499101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,17043,DuPage,Illinois,922921,-88.0857,41.852,51,3,5,47,43,10,1,0,17,2,56,7,5,9,10,6,18,6,4,12,4,16,9,5.525933422253909,0.3250549071914064,0.541758178652344,5.092526879332033,4.659120336410159,1.083516357304688,0.10835163573046881,0.0,1.8419778074179696,0.21670327146093762,6.067691600906254,0.7584614501132817,0.541758178652344,0.9751647215742192,1.083516357304688,0.6501098143828128,1.9503294431484384,0.6501098143828128,0.43340654292187525,1.3002196287656256,0.43340654292187525,1.733626171687501,0.9751647215742192
22,17045,Edgar,Illinois,17161,-87.7456,39.6786,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.654332498106172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.827166249053086,0.0,0.0,0.0,0.0,5.827166249053086,0.0
