,Location,Cases_2017,Cases_2018,Cases_2019,Cases_2020,Cases_2021,Cases_2022,Cases_2023,Cases_2024
84,6017,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0
85,6019,13.0,14.0,51.0,10.0,14.0,30.0,23.0,17.0
86,6021,0.0,2.0,0.0,1.0,2.0,1.0,4.0,1.0
87,6023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,6025,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
89,6027,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,6029,30.0,13.0,28.0,8.0,8.0,22.0,16.0,12.0
91,6031,5.0,0.0,3.0,2.0,8.0,7.0,9.0,6.0
92,6033,0.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0
93,6037,277.0,43.0,31.0,90.0,16.0,61.0,62.0,24.0
94,6039,2.0,4.0,3.0,6.0,3.0,3.0,9.0,0.0
95,6047,10.0,2.0,10.0,12.0,6.0,7.0,8.0,3.0
96,6053,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
97,6055,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,6057,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
99,6059,33.0,9.0,5.0,17.0,3.0,9.0,6.0,1.0
100,6061,0.0,9.0,1.0,2.0,2.0,2.0,6.0,0.0
101,6065,32.0,15.0,12.0,10.0,3.0,0.0,20.0,6.0
102,6067,6.0,15.0,4.0,7.0,6.0,5.0,53.0,7.0
103,6071,57.0,9.0,7.0,3.0,1.0,4.0,28.0,5.0
104,6073,2.0,2.0,3.0,1.0,3.0,3.0,0.0,2.0
105,6075,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
106,6077,14.0,14.0,7.0,2.0,8.0,4.0,15.0,2.0
107,6079,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
108,6081,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
109,6083,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
110,6085,0.0,1.0,1.0,0.0,3.0,1.0,3.0,4.0
111,6087,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
112,6089,1.0,1.0,0.0,2.0,3.0,1.0,6.0,1.0
113,6095,1.0,0.0,1.0,1.0,2.0,2.0,6.0,0.0
114,6097,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115,6099,28.0,15.0,16.0,35.0,5.0,15.0,33.0,5.0
116,6101,3.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0
117,6103,2.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0
118,6107,12.0,8.0,24.0,7.0,8.0,15.0,25.0,4.0
119,6109,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,6111,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
121,6113,6.0,11.0,1.0,4.0,3.0,3.0,39.0,9.0
122,6115,1.0,2.0,0.0,0.0,0.0,1.0,5.0,4.0
123,8001,4.0,3.0,9.0,0.0,18.0,23.0,45.0,5.0
124,8003,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
125,8005,5.0,6.0,3.0,0.0,5.0,4.0,56.0,8.0
126,8007,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
127,8009,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
128,8013,9.0,11.0,12.0,3.0,19.0,38.0,29.0,9.0
129,8014,0.0,1.0,1.0,1.0,1.0,6.0,5.0,5.0
130,8015,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
131,8019,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
132,8025,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
133,8027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
134,8029,1.0,8.0,33.0,15.0,18.0,18.0,7.0,4.0
135,8031,1.0,5.0,2.0,7.0,19.0,7.0,97.0,6.0
136,8035,0.0,0.0,0.0,0.0,4.0,3.0,32.0,2.0
137,8037,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
138,8039,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0
139,8041,0.0,2.0,0.0,0.0,2.0,0.0,51.0,7.0
140,8043,1.0,0.0,0.0,0.0,1.0,1.0,15.0,2.0
141,8045,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
142,8049,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
143,8051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
144,8055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
145,8059,5.0,5.0,8.0,2.0,12.0,6.0,65.0,3.0
146,8061,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
147,8063,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0
148,8067,2.0,0.0,6.0,2.0,0.0,1.0,11.0,1.0
149,8069,14.0,17.0,7.0,3.0,27.0,15.0,52.0,5.0
150,8071,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
151,8073,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
152,8075,1.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0
153,8077,0.0,2.0,6.0,0.0,0.0,4.0,15.0,1.0
154,8083,0.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0
155,8085,1.0,8.0,9.0,1.0,12.0,38.0,2.0,1.0
156,8087,2.0,3.0,1.0,1.0,0.0,0.0,11.0,1.0
157,8089,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
158,8095,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
159,8097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160,8099,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0
161,8101,2.0,0.0,3.0,0.0,2.0,0.0,25.0,0.0
162,8103,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
163,8109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
164,8113,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
165,8115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
166,8117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
167,8119,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
168,8121,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
169,8123,14.0,15.0,9.0,0.0,26.0,35.0,53.0,15.0
170,8125,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
171,9001,2.0,11.0,1.0,5.0,3.0,0.0,0.0,0.0
172,9003,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0
173,9007,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
174,9009,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0
175,9015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
176,9110,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
177,9120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178,9130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179,9170,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
180,9180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
181,9190,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
182,10001,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
183,10003,0.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0
184,10005,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
185,11001,4.0,13.0,11.0,0.0,6.0,1.0,1.0,4.0
186,12005,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0
187,12009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
188,12011,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
189,12015,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
190,12019,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
191,12021,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0
192,12031,0.0,13.0,1.0,0.0,0.0,0.0,1.0,3.0
193,12033,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0
194,12039,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
195,12043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
196,12047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
197,12055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
198,12057,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
199,12067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,12069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
201,12071,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202,12073,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
203,12075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
204,12081,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
205,12083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
206,12085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
207,12086,0.0,0.0,0.0,28.0,1.0,0.0,0.0,1.0
208,12089,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
209,12091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210,12093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
211,12099,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
212,12101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
213,12103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
214,12107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
215,12109,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
216,12113,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
217,12115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
218,12117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
219,12119,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
220,12121,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
221,12123,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
222,12127,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
223,12129,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
224,12131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
225,12133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
226,13001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
227,13005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
228,13017,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
229,13021,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
230,13025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231,13029,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
232,13031,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
233,13039,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
234,13043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,13047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,13051,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
237,13057,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
238,13063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
239,13067,1.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0
240,13073,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
241,13081,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,13085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
243,13087,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
244,13089,6.0,2.0,1.0,1.0,0.0,0.0,4.0,13.0
245,13095,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0
246,13097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
247,13101,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
248,13115,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
249,13117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
250,13121,3.0,9.0,6.0,0.0,1.0,5.0,5.0,18.0
251,13127,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
252,13135,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
253,13139,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
254,13151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
255,13153,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0
256,13161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
257,13167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,13169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,13171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,13177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,13185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
262,13189,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,13201,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
264,13205,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
265,13211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,13215,4.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0
267,13223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
268,13229,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
269,13231,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
270,13233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,13239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,13245,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0
273,13247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
