,County_1,FIPS,Population,Hum_17,Pre_17,Tmax_17,Tmin_17,WS_17,LSTNight_2017,LSTDay_2017,Chlorophyll_2017,Ag_MEAN_2017,Fs_MEAN_2017,Rn_MEAN_2017,Cases_normalized_2017
19,De Witt,17039,15638,86.06902132,1.686750401,28.60701741,15.69108149,3.832159555,18.86,27.61,1.31532649,0.79,0.77,0.0,0.0
20,Douglas,17041,19465,86.81304191,1.852270731,28.77467714,15.96559716,3.76857723,0.0,0.0,1.267654138,0.77,0.77,0.65,5.094503031229303
21,DuPage,17043,922921,90.9315972,2.546450143,27.54555045,14.94493132,3.975308231,16.54,28.05,0.734576391,0.72,0.71,0.76,0.6449775064094639
22,Edgar,17045,17161,90.04908983,1.959279971,28.59923957,15.62568926,3.670773567,0.0,0.0,1.346951743,0.79,0.79,0.73,0.0
23,Edwards,17047,6395,89.2293945,2.231451154,30.02201531,17.09930698,3.384262606,0.0,0.0,1.424772515,0.77,0.78,0.73,0.0
24,Effingham,17049,34008,87.57095305,1.855982724,29.76048206,16.28479885,3.836249061,19.6,28.15,1.419701487,0.76,0.78,0.76,0.0
25,Fayette,17051,21336,87.76039421,2.10820395,29.51408719,16.24979406,3.807028906,21.84,26.16,1.648082619,0.78,0.8,0.72,0.0
26,Ford,17053,12961,91.56700946,3.019090986,28.04316354,15.0800383,3.699378192,0.0,0.0,1.508504993,0.81,0.79,0.77,0.0
27,Franklin,17055,38469,88.83478629,1.999551657,29.74724713,17.52913954,2.912973216,22.21,26.75,1.510652112,0.78,0.78,0.77,2.564431337350942
28,Fulton,17057,34340,86.76912803,2.231658906,28.43947894,15.43375781,3.998526997,19.84,26.75,1.590269529,0.82,0.82,0.76,0.0
29,Gallatin,17059,4828,91.9898042,2.388901266,29.68648289,17.50211416,3.088117197,19.28,27.13,1.479904093,0.75,0.82,0.77,0.0
30,Greene,17061,12969,86.36003834,1.900444891,29.45662535,16.47525518,3.734151536,18.93,27.24,1.612419864,0.79,0.79,0.73,0.0
31,Grundy,17063,51054,91.19797153,2.703826546,27.73453748,14.86576357,3.588869808,17.95,26.0,1.441510265,0.81,0.77,0.75,0.0
32,Hamilton,17065,8116,90.26122136,2.284951925,29.83569902,17.17807355,3.181057311,0.0,0.0,1.715928559,0.77,0.79,0.8,0.0
