,County_1,FIPS,Population,Hum_24,Pre_24,Tmax_24,Tmin_24,WS_24,LSTNight_2024,LSTDay_2024,Chlorophyll_2024,Ag_MEAN_2024,Fs_MEAN_2024,Rn_MEAN_2024,Cases_normalized_2024
0,Adams,17001,65435,86.95723323,2.887002528,28.87465134,17.1005505,3.662824982,20.41,24.85,1.626380563,0.8,0.81,0.7783,0.0
1,Alexander,17003,5761,94.3563592,3.490334276,30.10947111,18.60180046,3.123587344,20.93,25.76,1.590579169,0.76,0.84,0.6248,0.0
2,Bond,17005,16426,90.27960134,3.576298338,29.50177035,17.69350626,3.822610057,21.05,25.09,1.548130072,0.82,0.83,0.8093,0.0
3,Boone,17007,53544,92.34844404,3.880356277,27.16137911,14.74633371,3.891934415,17.27,24.21,1.502652367,0.81,0.8,0.7795,0.0
4,Brown,17009,6578,89.50362611,3.176026616,28.79081194,16.78893541,3.769308891,20.04,24.71,1.826332751,0.81,0.83,0.7871,0.0
5,Bureau,17011,32628,88.71389938,2.983536424,27.95362629,15.72181367,3.602464317,18.73,23.74,1.921945466,0.82,0.82,0.8047,0.0
6,Calhoun,17013,4739,90.21982749,3.188559395,29.71729357,17.62986114,3.618217292,20.8,24.77,5.632366755,0.81,0.83,0.8002,0.0
7,Carroll,17015,14305,90.76206644,3.81321039,27.80334023,15.21833386,3.635180285,18.6,23.42,1.574272558,0.82,0.82,0.7588,0.0
8,Cass,17017,12147,90.29080189,3.228968596,29.01695929,16.70637251,3.831760808,20.21,24.85,1.980117013,0.8,0.82,0.7947,0.0
9,Champaign,17019,209689,90.03446699,3.420329168,28.13007929,16.4561881,3.562194615,0.0,0.0,1.702271898,0.83,0.82,0.7524,0.4708674319831994
10,Christian,17021,32304,90.5345428,3.120825598,28.71772512,16.85511655,3.822745311,19.5,24.74,1.669216618,0.82,0.82,0.8182,0.0
11,Clark,17023,15441,91.17874984,2.435616648,28.74805458,16.41554081,3.616940001,18.97,24.15,1.446925195,0.81,0.82,0.7771,0.0
12,Clay,17025,13184,91.29604208,3.821621899,29.71589572,17.48168731,3.604656638,0.0,0.0,1.601057277,0.79,0.82,0.8036,0.0
13,Clinton,17027,37562,90.75773042,4.512457917,29.66605946,18.16905299,3.689934957,23.02,24.89,6.632614679,0.79,0.81,0.807,0.0
14,Coles,17029,50621,90.22106206,3.342517655,28.4856508,16.65409965,3.72759472,18.47,23.82,1.620036724,0.82,0.82,0.7305,2.1541046464037223
15,Cook,17031,5150233,84.18690305,3.351249247,27.77939431,16.87303173,3.769223045,18.98,26.56,1.170805854,0.67,0.74,0.624,0.6367439461569319
16,Crawford,17033,18667,91.78878003,2.690101815,29.13464854,17.01169543,3.309629903,18.93,24.29,1.428161922,0.82,0.83,0.7388,0.0
17,Cumberland,17035,10766,90.99777586,3.600714796,28.86459086,16.7145393,3.785970892,18.4,23.8,1.521075876,0.81,0.82,0.7841,0.0
18,DeKalb,17037,104897,89.75472037,3.436050287,27.32613102,15.10083857,3.971157931,17.66,24.6,1.474069205,0.81,0.8,0.6936,0.0
19,De Witt,17039,15638,90.11048916,2.873899877,28.0831216,16.44631956,3.724849418,19.71,24.41,2.045491238,0.83,0.81,0,0.0
20,Douglas,17041,19465,90.05876718,3.33165399,28.43163464,16.56300225,3.643362411,0.0,0.0,1.539244054,0.82,0.81,0.7553,0.0
21,DuPage,17043,922921,87.76658086,3.154797024,28.107528,16.03139469,3.941391812,18.12,26.04,0.778845676,0.74,0.72,0.7962,0.9603667320427428
22,Edgar,17045,17161,92.11423465,2.909384716,28.7983794,16.07091873,3.651389469,0.0,0.0,1.480000649,0.82,0.82,0.7645,0.0
23,Edwards,17047,6395,90.54826959,3.355653103,30.18638802,18.06880716,3.334702721,0.0,0.0,1.456184725,0.8,0.81,0.8064,0.0
24,Effingham,17049,34008,91.41711895,3.315340474,29.35829846,16.96125888,3.820222935,20.07,24.97,1.417106206,0.8,0.81,0.7977,0.0
25,Fayette,17051,21336,91.03258297,3.505951766,28.92975971,17.26791734,3.810479483,22.38,24.62,1.650571095,0.81,0.82,0.7818,0.0
26,Ford,17053,12961,90.86135166,2.676736908,28.00029511,15.95027754,3.651499209,0.0,0.0,1.903581122,0.83,0.81,0.7831,0.0
27,Franklin,17055,38469,92.08360244,3.607624183,30.066379,18.27649572,2.979144967,22.59,25.26,1.991247108,0.8,0.8,0.7739,0.0
28,Fulton,17057,34340,91.0001228,3.616946375,28.45767409,16.05757318,3.835899534,20.35,24.76,2.026999039,0.82,0.82,0.7889,0.0
