County_1,FIPS,Population,Hum_23,Pre_23,Tmax_23,Tmin_23,WS_23,LSTMean_2023,Chlorophyll_2023,Ag_MEAN_2023,Fs_MEAN_2023,Rn_MEAN_2023,Cases_normalized_2023
Adams,17001,65435,80.156819,2.598918835,28.81206294,16.64385195,3.509917242,23.595,1.738076756,0.79,0.8,0.77,1.5519515791107317
Alexander,17003,5761,92.35483785,4.62789625,29.96826682,18.33339318,2.979814349,24.555,1.74042255,0.77,0.84,0.59,0.0
Bond,17005,16426,87.93172214,3.354471728,28.87877013,16.41571503,3.666769333,24.0,1.629841944,0.81,0.82,0.8,0.0
Boone,17007,53544,84.94161103,3.024114313,26.70637253,14.31515461,3.842082198,22.08,1.485985314,0.83,0.81,0.75,0.0
Brown,17009,6578,83.88259533,2.443423704,28.59551049,16.055039,3.595764287,23.409999999999997,2.023601247,0.82,0.83,0.79,0.0
Bureau,17011,32628,84.58572387,3.044702875,27.59148332,15.10760023,3.489477051,22.405,1.803238904,0.83,0.81,0.8,0.0
Calhoun,17013,4739,83.69184673,2.543989796,29.50914493,17.09776642,3.495144753,23.615000000000002,1.892000522,0.8,0.83,0.78,0.0
Carroll,17015,14305,83.37552146,2.514305002,27.51169343,14.6070582,3.647926402,21.935000000000002,1.395870342,0.83,0.81,0.76,0.0
Cass,17017,12147,85.59834637,2.362457298,29.03254434,15.94207841,3.648923074,23.509999999999998,1.904397387,0.8,0.82,0.77,0.0
Champaign,17019,209689,86.00066355,2.665401875,28.1842794,15.70797464,3.423976944,0.0,1.570749458,0.82,0.82,0.76,0.4766148904024059
Christian,17021,32304,86.13751364,2.615162441,28.61341392,16.23372802,3.595321633,23.395000000000003,1.683479298,0.79,0.8,0.79,0.0
Clark,17023,15441,88.55721758,3.00797057,28.5408586,15.9457016,3.428019147,22.935,1.397863419,0.79,0.81,0.76,0.0
Clay,17025,13184,87.54047358,3.383493363,29.63685791,16.88188176,3.454142608,0.0,1.655847678,0.8,0.82,0.8,0.0
Clinton,17027,37562,85.37018218,2.865009328,29.60836059,17.50016143,3.579392771,24.355,1.326461816,0.78,0.8,0.84,0.0
Coles,17029,50621,86.1266345,2.731150752,28.64248144,16.22848879,3.542764149,22.79,1.453769969,0.79,0.81,0.68,4.298117424568039
Cook,17031,5150233,79.90509621,3.887430579,26.13358913,16.33682183,3.691988194,24.369999999999997,0.885392195,0.68,0.74,0.6,1.2056341227125522
Crawford,17033,18667,89.63520894,2.851030132,28.82616509,16.4464189,3.175042979,23.43,1.46679881,0.82,0.83,0.74,0.0
Cumberland,17035,10766,87.45389977,3.014088053,28.87034009,16.17169064,3.589437211,22.78,1.542552962,0.78,0.8,0.79,0.0
DeKalb,17037,104897,85.07505064,3.015146449,26.67375897,14.50058606,3.875228679,22.445,1.481935667,0.83,0.81,0.66,0.0
De Witt,17039,15638,86.85082345,3.385925677,28.23496111,15.59247866,3.495267779,23.245,1.621783459,0.84,0.81,0.0,0.0
Douglas,17041,19465,86.03788232,3.101232758,28.42183197,16.05379459,3.492675128,0.0,1.415711672,0.81,0.8,0.81,0.0
DuPage,17043,922921,83.19324423,3.354603412,27.01961719,15.54703375,3.829279054,23.81,0.752474742,0.75,0.73,0.79,1.7219483845971717
Edgar,17045,17161,89.11617368,2.9444114,28.62425661,15.55275479,3.46507079,0.0,1.395833743,0.82,0.82,0.72,6.08198515995621
Edwards,17047,6395,89.20596678,3.479644497,29.72687222,17.31882756,3.211438072,0.0,1.651693112,0.8,0.81,0.8,0.0
Effingham,17049,34008,86.75290753,2.424348178,29.22919373,16.47797706,3.638887804,23.79,1.507769485,0.79,0.8,0.79,0.0
Fayette,17051,21336,87.18777255,2.611281176,29.00499521,16.42306811,3.626622957,24.045,1.677344803,0.8,0.82,0.79,0.0
Ford,17053,12961,87.81061487,2.903435374,28.04868348,15.22416089,3.468130025,0.0,1.837276395,0.84,0.81,0.78,0.0
Franklin,17055,38469,89.00811908,3.33492105,30.19011445,17.89410168,2.879890389,24.61,1.563872553,0.81,0.8,0.84,0.0
Fulton,17057,34340,86.1593279,2.81515401,28.33253754,15.46616216,3.633734873,23.7,1.767591658,0.82,0.82,0.79,0.0
Gallatin,17059,4828,92.75839867,2.658922741,29.8277001,17.44791325,3.046437203,23.814999999999998,1.365410268,0.8,0.84,0.75,0.0
Greene,17061,12969,85.70887192,2.417433156,29.08369809,16.46463766,3.558043278,23.3,1.831639098,0.8,0.82,0.78,0.0
Grundy,17063,51054,86.85650114,3.06507025,27.39581356,14.89060505,3.411641441,22.915,1.739910449,0.82,0.78,0.78,0.0
Hamilton,17065,8116,90.54129972,2.713666454,30.10092449,17.37927298,3.078128751,7.904999999999999,1.592285224,0.81,0.83,0.8,0.0
Hancock,17067,17708,81.4593117,2.476129506,28.50340071,16.49409025,3.577102971,23.05,1.739035124,0.81,0.8,0.82,0.0
Hardin,17069,3821,92.97200579,3.100477933,29.6036917,17.52218991,3.290817742,23.59,1.88309253,0.81,0.85,0.78,0.0
Henderson,17071,6646,83.67274649,3.060105715,28.0663789,16.09751445,3.559051205,23.015,1.88354218,0.83,0.81,0.82,0.0
Henry,17073,48913,83.70668284,3.057538278,27.82584195,15.54445744,3.547410434,22.465,1.733342286,0.83,0.8,0.78,0.0
Iroquois,17075,27114,87.81278138,3.080300913,27.76382973,14.95021788,3.487418665,22.825000000000003,1.695967773,0.84,0.84,0.79,0.0
Jackson,17077,56750,91.16291096,3.614837262,30.26609151,17.59044354,2.945215808,23.86,1.725364027,0.79,0.83,0.77,0.0
Jasper,17079,9610,86.36928052,2.679652712,28.97613739,16.81596598,3.52637648,23.725,1.610999194,0.82,0.81,0.78,0.0
Jefferson,17081,37684,88.5224091,2.729293221,30.14787665,17.24040269,3.159920719,24.655,1.66352187,0.8,0.81,0.74,0.0
Jersey,17083,21773,86.2107568,2.80660451,29.19340945,16.85365869,3.500565961,23.9,1.715129224,0.82,0.84,0.81,0.0
Jo Daviess,17085,21235,84.41523062,2.880159638,26.91482217,14.22989222,3.646438107,21.735,1.519541171,0.81,0.8,0.71,0.0
Johnson,17087,12417,92.64505905,3.84359177,29.7828013,17.86731939,2.908874032,23.62,1.873927163,0.84,0.85,0.75,0.0
Kane,17089,532403,84.66787219,3.26122083,26.73841887,14.79556326,3.860267492,24.229999999999997,1.208645166,0.8,0.77,0.74,1.3533343257785055
Kankakee,17091,109862,88.10718976,3.01050527,27.17599344,14.84413974,3.413159801,23.369999999999997,1.59698546,0.82,0.81,0.82,0.0
Kendall,17093,128990,84.63798026,3.292239161,27.09887838,15.12520005,3.500477633,23.009999999999998,1.524618502,0.82,0.8,0.71,0.7131192549330024
Knox,17095,49699,86.79283127,3.663546218,27.77004787,15.17025891,3.618732732,22.66,3.130123028,0.84,0.83,0.74,0.0
Lake,17097,696535,84.26836884,3.128289446,25.68101352,15.07152844,4.058444189,22.225,4.29994408,0.74,0.74,0.77,0.140015429700353
LaSalle,17099,108669,86.47318752,2.952761342,27.37488671,14.67732339,3.536625316,24.314999999999998,1.703091345,0.83,0.78,0.8,0.0
Lawrence,17101,15678,89.44277367,2.870621361,29.44664353,16.84672971,3.18296487,23.485,1.407152057,0.8,0.82,0.78,0.0
Lee,17103,34096,85.52292791,2.921715914,27.26482318,14.57281505,3.721464322,21.995,1.599030036,0.82,0.8,0.85,2.975659108492531
Livingston,17105,35648,89.56768632,3.426152529,27.93010447,14.84066942,3.401897945,22.97,1.939923015,0.83,0.81,0.8,0.0
Logan,17107,28618,86.21408907,3.296602155,28.57913704,15.89824127,3.513648979,23.22,1.728778919,0.83,0.82,0.75,0.0
McDonough,17109,29682,85.61157982,2.499209876,28.17747105,15.87949573,3.650845468,22.475,1.727530539,0.82,0.81,0.77,0.0
McHenry,17111,307774,86.91582779,2.979742979,26.64386338,14.15426965,3.890812551,22.395,1.383586774,0.8,0.78,0.74,0.3190454161149839
McLean,17113,171517,87.96556205,3.425393921,28.21156174,15.28860039,3.643309646,22.825,1.805902373,0.85,0.83,0.78,0.0
Macon,17115,104009,84.77925531,2.797205596,28.47902657,16.33628042,3.510714264,24.315,1.65087343,0.81,0.79,0.68,1.9850328522937053
Macoupin,17117,44926,86.67838826,2.69523006,28.81515634,16.30158812,3.616698461,23.259999999999998,1.5248889,0.79,0.82,0.78,0.0
Madison,17119,262966,84.66265168,2.91467697,29.17667637,17.61042462,3.520671742,25.36,1.344187015,0.78,0.79,0.83,0.7591803888521952
Marion,17121,37205,87.0759521,3.728419585,29.63696219,17.06057988,3.452339264,24.09,1.746135738,0.81,0.83,0.78,2.7292576419213974
Marshall,17123,11438,87.00866082,3.689598453,27.84858313,15.0822479,3.512216919,22.935,1.982337191,0.85,0.82,0.82,8.583690987124465
Mason,17125,13359,85.45832745,2.647171079,28.95506954,15.84570648,3.591322697,23.68,1.844869257,0.8,0.79,0.79,0.0
Massac,17127,13772,94.6823892,4.125706971,29.70305801,17.85779503,2.924090369,24.435000000000002,1.561960752,0.82,0.83,0.8,0.0
Menard,17129,12196,84.84210726,2.384415541,28.80640075,16.15913401,3.599317795,23.340000000000003,1.82875378,0.82,0.82,0.79,0.0
Mercer,17131,15437,84.43669178,2.867657797,28.16884808,15.63248836,3.571230992,22.799999999999997,1.816549211,0.83,0.82,0.72,0.0
Monroe,17133,34637,83.01651002,2.434860835,30.49175519,18.42829716,3.231916666,24.085,1.399968737,0.76,0.79,0.77,0.0
Montgomery,17135,28414,87.26098767,2.563240304,28.75884097,16.02517668,3.62060452,23.29,1.574422564,0.79,0.81,0.76,0.0
Morgan,17137,33658,86.27269347,2.604434562,28.98745262,15.95188462,3.634856911,23.92,1.707830573,0.8,0.8,0.0,0.0
Moultrie,17139,14501,85.34327297,2.844201056,28.44667543,16.31748612,3.538654657,23.355,1.653030822,0.8,0.77,0.73,0.0
Ogle,17141,50643,84.04125348,2.428250055,27.1434815,14.53417682,3.874493534,21.615000000000002,1.459786157,0.82,0.8,0.76,1.945866007666712
Peoria,17143,179179,84.47121793,3.352285043,28.01305878,15.70314106,3.576583456,23.97,1.712045024,0.82,0.81,0.83,1.678462528324055
Perry,17145,20916,87.48075819,3.207793397,30.06312985,17.75826414,2.999889465,24.435,1.447288794,0.78,0.78,0.79,0.0
Piatt,17147,16344,85.37521684,3.120877364,28.36174246,16.07506029,3.460590538,0.0,1.863094612,0.83,0.83,0.82,0.0
Pike,17149,15561,83.03927196,2.248743262,29.0904659,16.63074751,3.551251114,23.189999999999998,1.91571951,0.79,0.81,0.75,0.0
Pope,17151,4177,93.03760148,4.131965449,29.73409336,17.7911399,2.978374537,23.55,1.992274504,0.82,0.86,0.78,0.0
Pulaski,17153,5335,92.92628804,4.540732084,29.81716821,18.36570465,2.96544743,24.11,1.629204433,0.8,0.83,0.73,0.0
Putnam,17155,5739,85.00371452,3.011237805,27.80889132,15.14809219,3.484625556,22.979999999999997,1.649223008,0.82,0.8,0.69,0.0
Randolph,17157,31782,87.34602221,2.891019687,30.02342454,17.56311819,3.057572926,24.75,1.541771662,0.79,0.8,0.79,0.0
Richland,17159,15513,88.44357048,3.038244925,29.44240586,16.76220043,3.376530054,24.085,1.59806366,0.81,0.82,0.77,0.0
Rock Island,17161,141879,81.67139431,2.65150422,28.13737697,15.86861501,3.507312908,23.14,1.363147744,0.81,0.79,0.79,0.7045280014654182
St. Clair,17163,259686,82.25987029,2.938244731,30.12224468,18.45313307,3.137394244,25.82,1.292372215,0.79,0.79,0.73,1.586709719390386
Saline,17165,23491,90.97087512,2.745258143,30.39397273,17.8032984,2.988193295,24.195,1.521806011,0.8,0.83,0.77,0.0
Sangamon,17167,194672,85.14306457,2.95704832,28.82184698,16.30976026,3.581468947,24.255,1.585032491,0.8,0.81,0.75,0.5148906372286527
Schuyler,17169,6768,84.5200953,2.297917631,28.62007176,16.00065687,3.645983346,23.46,1.958634983,0.81,0.83,0.76,0.0
Scott,17171,4951,84.43641834,2.078998374,29.05806926,16.35927667,3.634353278,23.18,1.689197221,0.79,0.8,0.77,0.0
Shelby,17173,21634,86.85543969,2.560462349,28.60760551,16.18217315,3.593158809,23.240000000000002,1.582577476,0.8,0.81,0.79,0.0
Stark,17175,5342,86.35416033,3.540680224,27.54670381,15.04358678,3.561535957,0.0,1.859397799,0.84,0.83,0.76,0.0
Stephenson,17177,44498,84.28492713,2.766864358,26.99117541,14.24103602,3.854657186,20.93,1.407779235,0.81,0.78,0.82,2.306964726509332
Tazewell,17179,131803,85.94144591,3.181188517,28.57564275,15.59802967,3.568393638,24.765,1.701996519,0.83,0.79,0.72,0.0
Union,17181,16653,92.5362887,3.480182445,29.63972118,17.80972117,2.885812138,24.215,1.938909263,0.79,0.84,0.78,0.0
Vermilion,17183,75758,87.54480573,2.513167586,28.2033902,15.26160184,3.433240746,23.215000000000003,1.472458061,0.84,0.83,0.75,0.0
Wabash,17185,11520,89.95420204,3.344341171,29.75556279,17.15615419,3.08971723,23.47,1.570875067,0.78,0.8,0.77,0.0
Warren,17187,16844,85.67276177,3.199674806,28.00895345,15.50027688,3.626040888,0.0,1.883948139,0.84,0.83,0.71,0.0
Washington,17189,13887,85.84861555,2.947126233,29.82541381,17.68703676,3.328558217,0.0,1.502669248,0.8,0.82,0.77,0.0
Wayne,17191,16215,89.14126057,3.653751131,29.71048493,17.09796805,3.434734399,0.0,1.605560771,0.81,0.81,0.74,0.0
White,17193,13537,92.24131924,2.532102733,29.78723603,17.23621795,3.135974217,23.89,1.525919115,0.82,0.82,0.81,0.0
Whiteside,17195,55175,82.82983214,2.374838412,27.77222387,15.29525466,3.415740142,22.965000000000003,1.472708355,0.81,0.8,0.0,0.0
Will,17197,690743,87.01906686,3.472278779,27.12407289,14.94231227,3.475864573,24.54,1.130060229,0.8,0.75,0.0,0.568680221159738
Williamson,17199,66597,91.05369006,4.186028739,30.15261576,17.83542681,2.890199746,24.535,1.553404377,0.8,0.82,0.0,0.0
Winnebago,17201,282572,82.81690407,2.648312003,27.05670046,14.64574585,3.844945771,22.515,1.237830385,0.79,0.78,0.0,0.708682063965643
Woodford,17203,38459,87.64557322,3.798921701,28.18021834,15.05194495,3.569936018,23.905,1.871551823,0.85,0.82,0.0,5.210097168312189
