County_1,FIPS,Population,Hum_18,Pre_18,Tmax_18,Tmin_18,WS_18,LSTMean_2018,Chlorophyll_2018,Ag_MEAN_2018,Fs_MEAN_2018,Rn_MEAN_2018,Cases_normalized_2018
Adams,17001,65435,85.17500787,4.235708231,29.33740045,18.11086035,3.835810281,23.92,1.411056863,0.74,0.78,0.76,0.0
Alexander,17003,5761,94.91245585,3.769076758,30.32517695,19.71844876,3.098564885,24.6,1.38631711,0.78,0.85,0.65,0.0
Bond,17005,16426,93.62165288,4.407457748,29.67491357,18.44297918,3.747461478,24.439999999999998,1.782202141,0.78,0.82,0.79,6.010699044298852
Boone,17007,53544,96.52473071,5.729556392,26.58688361,14.93039626,3.876065775,22.085,1.282975289,0.72,0.75,0.73,0.0
Brown,17009,6578,89.38544117,3.94391365,29.17197057,17.44903868,3.916483735,23.92,1.664358114,0.77,0.82,0.78,0.0
Bureau,17011,32628,91.67015968,3.954624196,27.8387369,16.39619639,3.646214927,22.61,1.533881112,0.73,0.78,0.76,0.0
Calhoun,17013,4739,88.38620983,3.352707862,30.24363301,18.64780435,3.719645674,24.095,1.888155315,0.75,0.81,0.81,0.0
Carroll,17015,14305,95.3542201,5.904386687,27.46573254,15.22277209,3.721887814,22.23,1.404258911,0.72,0.79,0.74,0.0
Cass,17017,12147,91.76486901,4.246243848,29.32719481,17.38767737,3.961909378,23.89,1.672038479,0.72,0.79,0.74,0.0
Champaign,17019,209689,93.7048703,4.59712548,28.50108915,17.32197597,3.567442265,0.0,1.486351747,0.75,0.79,0.75,0.952752979734944
Christian,17021,32304,94.48744672,4.792936971,28.92615186,17.70783381,3.732046885,23.825,1.61883228,0.72,0.78,0.77,0.0
Clark,17023,15441,95.15447,5.117160414,29.36247365,17.89184747,3.448042135,23.25,1.353092247,0.76,0.81,0.77,0.0
Clay,17025,13184,93.44493801,5.380674488,30.03696392,18.59943929,3.4750187,0.0,1.611215466,0.76,0.81,0.79,0.0
Clinton,17027,37562,92.39833183,5.319349381,29.83619249,19.09293289,3.605882894,24.82,1.750652212,0.77,0.81,0.74,5.305461973101308
Coles,17029,50621,93.80241616,4.953207759,28.9053059,17.97425782,3.594984855,23.25,1.506259359,0.76,0.81,0.72,1.967380825906471
Cook,17031,5150233,89.86909298,4.022197895,27.33991875,16.97876303,3.873144266,24.805,0.692520145,0.67,0.73,0.59,2.010843084633292
Crawford,17033,18667,96.2388897,5.453094576,29.52598961,18.08598129,3.173566913,23.924999999999997,1.244102935,0.76,0.79,0.81,0.0
Cumberland,17035,10766,94.74744847,5.54018149,29.41120324,18.00685917,3.622612776,23.09,1.444115766,0.78,0.82,0.72,0.0
DeKalb,17037,104897,94.72663597,4.049858257,27.11802014,15.51325874,3.932169583,22.555,1.152057686,0.71,0.74,0.72,1.916645104409242
De Witt,17039,15638,92.34804399,3.241497815,28.77042805,17.17654546,3.808432912,23.43,1.441542456,0.73,0.77,0.0,0.0
Douglas,17041,19465,94.01989434,4.313557584,28.79755778,17.67698377,3.608212015,0.0,1.451150503,0.74,0.78,0.64,0.0
DuPage,17043,922921,92.76471072,3.770662472,27.8522439,16.33184719,3.949273419,24.41,0.692728049,0.71,0.72,0.81,1.941230330214064
Edgar,17045,17161,96.52189774,4.46803463,28.5686793,17.31105186,3.530608601,0.0,1.397862856,0.75,0.81,0.77,5.76036866359447
Edwards,17047,6395,94.27369261,4.882836902,30.41349055,18.99234184,3.196075098,0.0,1.306729112,0.75,0.78,0.78,15.65680288085173
Effingham,17049,34008,94.3997157,5.564216933,29.61034821,18.18671842,3.679383637,24.205,1.479935947,0.76,0.81,0.81,0.0
Fayette,17051,21336,94.60109863,5.294783448,29.3844936,18.06838543,3.688022288,24.545,1.787292163,0.78,0.82,0.72,0.0
