,County_1,FIPS,Population,Hum_20,Pre_20,Tmax_20,Tmin_20,WS_20,LSTNight_2020,LSTDay_2020,Chlorophyll_2020,Ag_MEAN_2020,Fs_MEAN_2020,Rn_MEAN_2020,Cases_normalized_2020
36,Henry,17073,48913,91.94908925,3.708462667,27.73933442,15.6588737,3.718366956,17.6,26.93,1.610793353,0.75,0.77,0.77,0.0
37,Iroquois,17075,27114,92.18909492,3.120088603,28.0267728,15.59634108,3.572903283,16.78,28.54,1.672012751,0.72,0.76,0.72,0.0
38,Jackson,17077,56750,95.64075869,3.238326531,29.37912433,18.02613962,2.82710609,20.66,26.22,1.67206643,0.73,0.81,0.73,0.0
39,Jasper,17079,9610,95.06341796,3.554982092,28.62768663,16.96979986,3.419908477,19.32,27.51,1.437923897,0.73,0.77,0.77,0.0
40,Jefferson,17081,37684,94.85780641,2.452261493,29.24894578,17.66435948,3.024098959,22.18,26.32,1.48683621,0.73,0.76,0.75,0.0
41,Jersey,17083,21773,94.83268687,2.937476041,29.04203269,17.42807717,3.341038163,20.51,26.5,1.729152085,0.75,0.8,0.79,0.0
42,Jo Daviess,17085,21235,93.34498027,4.113570006,26.66410996,14.78818495,3.782529413,18.83,24.88,1.835846864,0.78,0.79,0.66,0.0
43,Johnson,17087,12417,96.08559619,4.179994971,29.2749269,18.25632823,2.834109313,20.33,26.19,1.797013711,0.79,0.82,0.68,0.0
44,Kane,17089,532403,91.71962297,2.910992693,27.42508082,15.15563918,4.060875354,18.44,30.61,1.064203015,0.73,0.72,0.69,0.0
45,Kankakee,17091,109862,91.55962946,2.876183596,27.94451317,15.79613006,3.503659435,17.52,29.19,1.432757125,0.72,0.76,0.76,0.0
46,Kendall,17093,128990,90.58947347,2.434159438,27.79515208,15.58694668,3.621822354,17.14,29.21,1.266521626,0.72,0.74,0.65,0.0
47,Knox,17095,49699,93.30343562,3.149626187,27.67470904,15.58092109,3.841714877,18.16,26.98,1.637685412,0.77,0.78,0.69,2.007790226077179
48,Lake,17097,696535,90.25671198,3.038993346,26.72407886,15.76747515,4.298013866,18.08,26.44,1.753472075,0.69,0.7,0.68,0.0
49,LaSalle,17099,108669,89.80374501,3.048132533,27.74455076,15.75903671,3.62473416,20.39,28.25,1.447739604,0.73,0.75,0.72,0.0
50,Lawrence,17101,15678,95.91741339,3.047535752,29.0024539,17.10781256,3.062531142,17.88,28.76,1.431964932,0.74,0.77,0.73,0.0
51,Lee,17103,34096,91.91240995,2.937955044,27.47517801,15.08504595,3.892763389,17.73,26.84,1.386779697,0.74,0.75,0.75,0.0
52,Livingston,17105,35648,91.77903563,3.300786018,28.15760949,16.04427855,3.47018382,17.45,28.34,1.576832838,0.72,0.74,0.77,0.0
53,Logan,17107,28618,92.3401905,2.335210277,28.64349622,16.36990196,3.632731607,18.06,28.03,1.637005616,0.73,0.75,0.71,0.0
54,McDonough,17109,29682,95.61962541,3.207061975,27.71147272,16.06339279,3.806543863,17.49,26.97,1.582924597,0.76,0.79,0.71,0.0
55,McHenry,17111,307774,94.43308875,3.306819071,27.19139107,14.5395272,4.124363106,17.56,27.54,1.244989758,0.73,0.74,0.71,0.0
56,McLean,17113,171517,92.46040129,3.075367632,28.27546311,16.02714496,3.776563508,17.73,27.65,1.611132594,0.75,0.77,0.76,0.0
57,Macon,17115,104009,91.52863612,2.391586691,28.45873269,16.69655539,3.569843114,19.62,28.67,1.538592752,0.72,0.75,0.65,0.0
58,Macoupin,17117,44926,94.87693647,3.095240439,28.77030039,16.88324362,3.518880126,18.9,27.49,1.570593336,0.73,0.77,0.74,0.0
59,Madison,17119,262966,95.29321661,3.585589532,29.00664214,17.61945723,3.344825229,20.62,29.45,1.474131297,0.71,0.74,0.76,0.0
60,Marion,17121,37205,94.54048171,3.304998481,29.13676193,17.31938877,3.333712396,19.33,27.95,1.56894407,0.73,0.78,0.73,0.0
61,Marshall,17123,11438,91.25973094,3.429633545,27.98949708,15.93291707,3.637081277,19.37,26.39,1.716271246,0.75,0.78,0.78,0.0
62,Mason,17125,13359,92.84006902,2.518575364,28.56601763,16.29983862,3.755408925,20.4,26.56,1.659122562,0.72,0.74,0.73,0.0
63,Massac,17127,13772,96.54714902,4.050449,29.17571422,18.41862632,2.85942344,21.39,26.79,1.43043994,0.77,0.8,0.75,0.0
64,Menard,17129,12196,92.34443651,2.281488467,28.70318005,16.57059415,3.733518419,17.44,28.89,1.812574374,0.73,0.76,0.75,0.0
65,Mercer,17131,15437,92.44515569,3.558386905,27.83873545,15.94252035,3.767150399,19.67,25.79,1.690833409,0.76,0.77,0.63,0.0
66,Monroe,17133,34637,94.44556504,3.207767308,29.5065119,18.10929253,3.016303309,20.38,26.95,1.514950799,0.71,0.77,0.72,0.0
67,Montgomery,17135,28414,94.32283925,2.715564081,28.8911184,16.66078768,3.544614183,19.05,27.17,1.603818817,0.72,0.76,0.69,0.0
68,Morgan,17137,33658,95.19990956,2.751605677,28.62696607,16.41568287,3.631034895,20.04,27.11,1.542168406,0.73,0.77,0.0,0.0
69,Moultrie,17139,14501,91.96626657,2.62715537,28.63434705,16.84699769,3.508988484,20.11,26.14,1.699622,0.74,0.72,0.72,0.0
70,Ogle,17141,50643,92.26175799,3.380169626,27.31333294,14.94108414,4.062292541,16.9,26.56,1.484306113,0.74,0.76,0.73,0.0
71,Peoria,17143,179179,91.53705416,2.940808962,27.91111797,15.89678879,3.781345028,19.8,28.03,1.434869991,0.75,0.78,0.71,0.0
72,Perry,17145,20916,95.10095982,2.969987775,29.22713263,17.8499987,2.830176078,18.87,29.42,1.463251571,0.72,0.75,0.75,0.0
73,Piatt,17147,16344,92.04978252,2.489122841,28.29756096,16.40961122,3.478756105,0.0,0.0,1.874455542,0.73,0.77,0.81,0.0
74,Pike,17149,15561,94.56881405,3.371729435,28.29931766,17.05742941,3.478225529,20.12,25.55,1.827218994,0.73,0.78,0.79,0.0
75,Pope,17151,4177,96.52307604,4.126585432,28.83545214,18.01846493,2.881988687,19.62,26.47,1.997368888,0.78,0.84,0.72,0.0
76,Pulaski,17153,5335,95.84563972,3.849074235,29.43703752,18.74350373,2.90798698,20.38,27.14,1.497675626,0.75,0.8,0.73,0.0
77,Putnam,17155,5739,90.0900302,3.284752777,27.93997995,15.8798544,3.567213564,19.62,26.28,1.549504472,0.75,0.77,0.74,0.0
78,Randolph,17157,31782,94.53541021,3.017227919,29.14866083,17.81024301,2.890891274,20.84,27.51,1.563165764,0.73,0.76,0.7,0.0
79,Richland,17159,15513,95.61577125,3.391093582,29.08324926,17.04892701,3.249845944,19.31,28.35,1.491453055,0.73,0.76,0.68,0.0
80,Rock Island,17161,141879,90.73943328,3.696572718,27.80324311,16.00890589,3.666956337,19.68,26.7,1.387077017,0.75,0.76,0.74,0.0
81,St. Clair,17163,259686,94.89142726,3.960072554,29.49184197,17.95105561,2.931508975,21.01,29.7,1.361151293,0.72,0.75,0.72,0.0
82,Saline,17165,23491,95.87690804,3.856320288,29.23936738,17.93390956,2.833901385,18.85,28.26,1.459087339,0.72,0.8,0.77,0.0
83,Sangamon,17167,194672,92.79330508,2.402726779,28.78696915,16.67526848,3.646269527,19.97,28.08,1.526050889,0.72,0.76,0.74,0.0
84,Schuyler,17169,6768,94.30976708,2.796153082,28.10136644,16.52008308,3.750847766,19.21,27.17,1.851242828,0.76,0.8,0.74,0.0
85,Scott,17171,4951,94.90702733,3.223222929,28.56763413,16.73437842,3.594073422,19.1,26.62,1.526018456,0.73,0.76,0.74,0.0
86,Shelby,17173,21634,94.22440231,3.301512874,28.56414033,16.64444337,3.532146127,20.02,25.78,1.682299208,0.73,0.77,0.76,0.0
87,Stark,17175,5342,92.24083913,3.179946636,27.71132742,15.49845177,3.74930369,0.0,0.0,1.777213696,0.75,0.76,0.73,0.0
88,Stephenson,17177,44498,93.87616136,3.917832267,26.58092829,14.60976806,4.034976968,15.59,26.91,1.715422732,0.77,0.77,0.78,0.0
89,Tazewell,17179,131803,91.54527744,3.027634307,28.42608211,16.19823734,3.749444996,20.78,28.33,1.487371104,0.74,0.76,0.74,0.7616378259809895
90,Union,17181,16653,95.72713011,4.451538058,29.44301256,18.273926,2.815581541,20.53,26.61,1.774585952,0.74,0.82,0.74,0.0
91,Vermilion,17183,75758,93.35085658,3.013580613,28.23176245,15.70410802,3.468129268,18.55,27.18,1.582231885,0.74,0.78,0.77,0.0
92,Wabash,17185,11520,96.32018307,2.89837853,29.26967899,17.36412027,2.951087612,18.36,27.94,1.510590181,0.73,0.75,0.73,0.0
93,Warren,17187,16844,93.99016547,3.185704491,27.66191474,15.75683583,3.852792541,0.0,0.0,1.556376298,0.77,0.78,0.74,0.0
94,Washington,17189,13887,94.76681553,3.066974711,29.14503404,17.85129826,3.167133497,0.0,0.0,1.586055585,0.73,0.78,0.76,0.0
95,Wayne,17191,16215,95.37236896,3.336916195,29.26049527,17.54241998,3.308065732,0.0,0.0,1.646523881,0.73,0.76,0.72,0.0
96,White,17193,13537,96.89820921,3.996470822,29.18686085,17.61175545,3.010181203,18.98,27.45,1.537758967,0.73,0.77,0.67,0.0
97,Whiteside,17195,55175,90.50009831,3.316305061,27.6670465,15.67190527,3.551379002,18.08,27.95,1.424271231,0.74,0.76,0.74,0.0
98,Will,17197,690743,91.1888735,2.851173633,27.86267734,15.79492614,3.594211064,19.83,29.22,1.049993221,0.72,0.72,0.7,0.143490757042885
99,Williamson,17199,66597,95.76648396,3.418332385,29.22402498,18.09814005,2.788521783,21.64,26.65,1.364461096,0.74,0.8,0.75,0.0
100,Winnebago,17201,282572,91.42739207,3.742552941,27.23780177,15.11982954,4.05488565,17.12,28.7,1.369670283,0.74,0.75,,0.0
101,Woodford,17203,38459,91.37977764,3.855801789,28.34677434,15.93323453,3.734553915,20.87,26.9,1.614286463,0.74,0.78,,0.0
