County_1,FIPS,Population,Hum_21,Pre_21,Tmax_21,Tmin_21,WS_21,LSTMean_2021,Chlorophyll_2021,Ag_MEAN_2021,Fs_MEAN_2021,Rn_MEAN_2021,Cases_normalized_2021
Adams,17001,65435,92.91412295,4.195617464,28.80934563,17.72788022,3.425731586,23.57,1.48316407,0.8,0.82,0.79,0.0
Alexander,17003,5761,95.5957628,3.284056308,29.89927235,18.89146873,3.025801796,23.97,1.454455152,0.76,0.83,0.68,0.0
Bond,17005,16426,95.11327856,4.646224068,29.18346403,17.84423596,3.513614188,23.95,1.578541101,0.81,0.84,0.81,0.0
Boone,17007,53544,87.90389394,2.620614479,28.14521546,15.17794614,4.116745821,23.1,1.138222572,0.79,0.78,0.79,0.0
Brown,17009,6578,94.347897,4.322357665,28.68294271,17.3049774,3.518512432,23.465,1.707146644,0.79,0.83,0.78,0.0
Bureau,17011,32628,89.26717229,2.853200784,28.56453796,16.5375596,3.575292587,22.63,1.579830671,0.8,0.8,0.79,0.0
Calhoun,17013,4739,93.83462103,5.046048097,29.79486776,18.26029487,3.317796152,23.515,8.882706047,0.79,0.83,0.83,0.0
Carroll,17015,14305,88.8095265,1.930727848,28.18641898,15.6904502,3.761177277,22.375,1.471895305,0.79,0.81,0.74,0.0
Cass,17017,12147,94.10017144,4.294599626,29.16418662,17.35201329,3.578033641,23.6,1.624230482,0.79,0.81,0.82,0.0
Champaign,17019,209689,92.73600495,3.971492927,28.57082836,17.17996306,3.516442736,0.0,1.36844177,0.8,0.8,0.75,0.4825509573810995
Christian,17021,32304,94.26864031,4.416068273,28.94473729,17.46087297,3.528670168,23.46,1.475675133,0.79,0.81,0.79,0.0
Clark,17023,15441,95.504329,4.307670845,28.56944853,17.25372763,3.466532101,22.945,1.201321222,0.79,0.81,0.78,0.0
Clay,17025,13184,95.55264018,5.033251763,29.43134401,17.80906849,3.400091929,0.0,1.439732678,0.78,0.81,0.81,0.0
Clinton,17027,37562,94.29185074,3.968418403,29.44882744,18.38135531,3.446372564,24.23,1.406774382,0.79,0.82,0.77,0.0
Coles,17029,50621,92.73066106,4.86755874,29.0832562,17.77959198,3.554427762,22.619999999999997,1.396507119,0.81,0.82,0.74,0.0
Cook,17031,5150233,82.0810732,3.103974262,27.80309198,17.74408271,4.028961884,24.869999999999997,0.741607141,0.65,0.73,0.63,0.6750066632800618
Crawford,17033,18667,96.89347477,4.840202887,28.8372286,17.28448497,3.202764083,23.115000000000002,1.327011903,0.79,0.81,0.71,0.0
Cumberland,17035,10766,94.80547989,4.02054361,29.00165287,17.54270724,3.59590162,22.55,1.315398856,0.79,0.81,0.78,0.0
DeKalb,17037,104897,88.65127249,2.641674784,28.06159939,15.46168401,4.123205528,22.865000000000002,1.142115261,0.78,0.78,0.65,0.9941939075797344
De Witt,17039,15638,92.60988906,4.093598556,28.74357154,17.18278659,3.552556784,23.145,1.297976187,0.79,0.8,0.0,0.0
Douglas,17041,19465,91.50993713,4.714098506,29.12702352,17.82267083,3.497600321,0.0,1.367988236,0.8,0.81,0.81,0.0
DuPage,17043,922921,86.24170178,3.066994676,28.28318269,16.68878465,4.146696108,24.635,0.691168717,0.73,0.71,0.78,1.29429592997859
Edgar,17045,17161,95.75958292,4.696130131,28.86041511,17.00601879,3.549505424,0.0,1.250027954,0.79,0.81,0.78,0.0
Edwards,17047,6395,95.88191543,5.209440009,29.698709,18.22251264,3.209717883,0.0,1.423257335,0.77,0.8,0.82,0.0
Effingham,17049,34008,95.22707759,3.966865966,29.13599306,17.57009922,3.585176895,23.795,1.278692402,0.77,0.8,0.77,0.0
Fayette,17051,21336,95.87526854,4.201496372,29.05008327,17.39347119,3.526055803,23.725,1.535483097,0.79,0.82,0.78,0.0
Ford,17053,12961,91.90368016,4.352512684,28.62568232,17.03300784,3.647856923,0.0,1.429657842,0.8,0.8,0.79,0.0
Franklin,17055,38469,95.73014202,4.086376468,29.69709476,18.35083225,2.791751494,24.275,1.328200638,0.78,0.79,0.71,2.667804930103511
Fulton,17057,34340,94.25828151,3.050677355,28.50517602,16.70088659,3.633296505,23.715,1.596325028,0.81,0.82,0.83,0.0
Gallatin,17059,4828,96.64628831,3.617818349,29.528585,18.2025599,3.024230656,22.79,1.459961917,0.73,0.81,0.7,0.0
Greene,17061,12969,94.94947918,4.789604914,29.41673779,17.75804175,3.399554744,23.035,1.544876279,0.81,0.83,0.76,0.0
Grundy,17063,51054,89.05843728,3.389377479,28.31405399,16.72221807,3.593819209,23.38,1.371679485,0.77,0.76,0.81,0.0
Hamilton,17065,8116,96.191547,4.446885798,29.65519427,18.12556913,3.008737509,0.0,1.489916611,0.76,0.81,0.8,0.0
Hancock,17067,17708,93.06475459,3.640103183,28.63987059,17.68850102,3.53278637,23.23,1.453526498,0.81,0.82,0.8,0.0
Hardin,17069,3821,96.06218933,3.725392775,28.9867517,18.22230298,3.276088331,23.085,1.785243372,0.78,0.83,0.8,0.0
Henderson,17071,6646,93.83935568,3.818929313,28.4833383,17.12507212,3.577044704,23.22,1.359538736,0.81,0.8,0.82,0.0
Henry,17073,48913,91.81088582,3.39852582,28.48639312,16.6081075,3.575699028,22.535,1.542543629,0.81,0.8,0.78,0.0
Iroquois,17075,27114,91.63623656,3.926435093,28.45721417,16.75777018,3.692758707,22.745,1.426072349,0.8,0.82,0.77,0.0
Jackson,17077,56750,95.0669014,3.60394534,29.6760593,18.47336402,2.888782991,23.395000000000003,104.2533232,0.77,0.82,0.79,0.0
Jasper,17079,9610,95.19748509,4.418750845,28.9484696,17.73805436,3.50571651,23.515,1.329317328,0.77,0.79,0.84,0.0
Jefferson,17081,37684,95.93245077,4.305327245,29.62618063,18.02593545,3.07147701,24.39,1.578042056,0.79,0.81,0.76,0.0
Jersey,17083,21773,94.86060148,4.105314959,29.59839174,18.08263474,3.322503395,23.759999999999998,1.561390631,0.81,0.84,0.79,0.0
Jo Daviess,17085,21235,88.70902413,2.066882123,27.6114904,15.27646958,3.791467986,21.96,1.492204383,0.8,0.81,0.69,0.0
Johnson,17087,12417,96.17794411,3.220468182,29.59631854,18.51844245,2.947412586,23.365000000000002,1.600572467,0.8,0.82,0.75,0.0
Kane,17089,532403,87.7619781,3.035314643,28.07535635,15.83946876,4.150347599,24.585,0.997278967,0.77,0.76,0.74,0.3871737093564398
Kankakee,17091,109862,90.64436378,3.567580928,28.1386978,16.73458462,3.661800571,23.695,1.415398498,0.79,0.79,0.8,0.0
Kendall,17093,128990,87.32423128,2.868254095,28.3069572,16.62097157,3.73130717,23.465,1.21930374,0.76,0.78,0.68,0.7406145619635174
Knox,17095,49699,94.30444347,3.797449538,28.17889909,16.30776921,3.6482821,22.575000000000003,1.548004134,0.82,0.83,0.71,0.0
Lake,17097,696535,85.41626518,2.436323868,27.42344867,16.33648982,4.400899442,22.965,12.89317366,0.71,0.72,0.75,0.7015249749906347
LaSalle,17099,108669,88.30170169,2.799874601,28.41764312,16.48527973,3.679732857,24.57,1.313017283,0.77,0.76,0.76,0.0
Lawrence,17101,15678,95.66800112,4.621512964,29.24824019,17.90913606,3.218484766,23.13,1.283029216,0.77,0.8,0.76,0.0
Lee,17103,34096,89.49454222,2.065435063,28.4797747,15.80966358,3.908920813,22.89,1.346446871,0.77,0.77,0.81,0.0
Livingston,17105,35648,91.3069288,3.787547815,28.72750596,16.95354556,3.539798219,23.18,1.422177822,0.79,0.79,0.81,0.0
Logan,17107,28618,92.88630391,4.031676704,29.03948814,17.38427817,3.505646525,23.36,1.338470711,0.79,0.79,0.74,0.0
McDonough,17109,29682,95.26541009,2.902562032,28.32666458,16.9160601,3.619638322,22.46,1.397467497,0.82,0.82,0.75,0.0
McHenry,17111,307774,89.56172255,2.783177842,28.0685978,14.99120805,4.196013157,23.34,1.074239659,0.78,0.78,0.76,0.0
McLean,17113,171517,92.49022269,4.398094231,28.85897705,17.02422127,3.774577433,22.740000000000002,1.351722688,0.8,0.8,0.8,0.0
