,County_1,FIPS,Population,Hum_22,Pre_22,Tmax_22,Tmin_22,WS_22,LSTNight_2022,LSTDay_2022,Chlorophyll_2022,Ag_MEAN_2022,Fs_MEAN_2022,Rn_MEAN_2022,Cases_normalized_2022
0,Adams,17001,65435,85.81279446,3.216717904,28.54055802,17.38629378,3.610065679,20.4,27.09,1.648360581,0.8,0.81,0.78,0.0
1,Alexander,17003,5761,92.11873581,2.064861117,30.89559615,18.90465143,2.979363984,20.95,28.71,1.830788236,0.76,0.84,0.6,0.0
2,Bond,17005,16426,91.1820618,4.352683305,28.98086302,17.68744351,3.610157707,21.11,27.47,2.121370515,0.84,0.84,0.82,0.0
3,Boone,17007,53544,91.88412336,4.545900032,26.41335393,14.53263821,4.16648062,17.34,26.63,1.588515848,0.82,0.82,0.8,0.0
4,Brown,17009,6578,89.681143,3.064877459,28.33742907,16.79273003,3.706306723,20.01,26.64,1.768406794,0.82,0.83,0.79,0.0
5,Bureau,17011,32628,88.92297353,3.621550427,27.22664079,15.70156135,3.671563383,18.47,25.98,1.810508391,0.85,0.83,0.82,0.0
6,Calhoun,17013,4739,88.73597085,2.855357022,29.66013517,17.78822317,3.491883249,20.72,27.06,7.724393852,0.83,0.83,0.79,0.0
7,Carroll,17015,14305,90.16206109,4.430021883,26.785776,15.25126264,3.864512966,18.31,25.27,1.646164452,0.84,0.83,0.78,0.0
8,Cass,17017,12147,91.03907797,3.229439108,28.85536715,16.68223811,3.79505195,20.0,26.92,1.849672156,0.82,0.82,0.79,0.0
9,Champaign,17019,209689,90.4890624,2.722130585,28.26593749,16.25651462,3.572681788,0.0,0.0,1.54767715,0.86,0.83,0.75,0.0
10,Christian,17021,32304,91.64446589,3.919274776,28.44143063,16.97757582,3.634879971,19.49,27.48,1.871632458,0.86,0.84,0.87,0.0
11,Clark,17023,15441,93.14441783,3.336530562,28.90501865,16.86385743,3.41945158,18.97,26.93,1.40354395,0.85,0.85,0.79,0.0
12,Clay,17025,13184,92.90503915,5.385835782,29.50303665,17.52940924,3.376832391,0.0,0.0,1.616805941,0.8,0.81,0.8,0.0
13,Clinton,17027,37562,90.01351137,3.92900199,29.52101736,18.23576396,3.482509231,23.1,26.25,1.639334815,0.81,0.81,0.8,0.0
14,Coles,17029,50621,91.07071571,3.542421594,28.68726278,17.03322253,3.56956817,18.3,26.17,1.570355606,0.85,0.84,0.78,0.0
15,Cook,17031,5150233,82.67208701,3.109863139,26.95385754,16.97811097,4.007345583,18.97,30.23,0.92409833,0.7,0.75,0.64,0.3506648800940405
16,Crawford,17033,18667,94.55200579,3.718880662,29.10539919,17.18738112,3.086614888,18.92,26.93,1.334570992,0.84,0.84,0.77,0.0
17,Cumberland,17035,10766,92.88929902,4.632002809,28.9353172,17.01613906,3.574364988,18.29,26.16,1.609346071,0.86,0.85,0.78,0.0
18,DeKalb,17037,104897,90.57346744,4.013494875,26.46530572,15.04593756,4.141982736,17.52,27.88,1.575036921,0.84,0.81,0.78,0.0
19,De Witt,17039,15638,91.09815251,2.502382447,28.29432089,16.26315296,3.687890408,19.75,26.93,1.722017123,0.85,0.82,0.0,0.0
20,Douglas,17041,19465,90.7022269,2.45497555,28.55031574,16.72521059,3.564860174,0.0,0.0,1.455022939,0.85,0.84,0.64,0.0
21,DuPage,17043,922921,87.18915302,2.962281213,27.29893145,16.00639796,4.128193772,18.05,29.36,0.765850764,0.75,0.73,0.82,0.4323655910491675
22,Edgar,17045,17161,93.85432082,2.827914609,28.6579999,16.19695484,3.546570752,0.0,0.0,1.427030698,0.85,0.84,0.79,0.0
23,Edwards,17047,6395,93.1796288,4.663632035,29.86707311,18.12236884,3.100542032,0.0,0.0,1.459783785,0.82,0.83,0.8,0.0
24,Effingham,17049,34008,92.7378252,5.538410698,28.95377729,17.21873739,3.603669069,20.13,26.91,1.58164541,0.84,0.84,0.83,0.0
25,Fayette,17051,21336,92.25449568,4.148205081,28.87368112,17.2697408,3.594133357,22.85,26.16,1.903763326,0.83,0.83,0.77,0.0
26,Ford,17053,12961,90.94076037,2.828647572,28.18169962,15.90089798,3.709765351,0.0,0.0,1.728523066,0.84,0.82,0.78,0.0
27,Franklin,17055,38469,92.6768663,2.906565104,30.01278326,18.00171668,2.77392588,22.8,26.92,1.625183527,0.8,0.8,0.77,2.6862945253317574
28,Fulton,17057,34340,90.73259168,2.590304241,28.0399159,16.04797309,3.840554544,19.89,26.67,1.767041635,0.83,0.82,0.75,0.0
29,Gallatin,17059,4828,93.83368199,3.314767618,30.36191921,18.08746118,2.93366851,18.9,27.59,1.577420199,0.79,0.83,0.83,0.0
30,Greene,17061,12969,90.92762189,3.197241204,29.09563119,17.24128337,3.576048478,19.54,27.58,1.928555386,0.84,0.84,0.75,0.0
31,Grundy,17063,51054,89.94194234,2.533725108,27.54527727,15.41238499,3.633026085,19.37,26.88,1.896524128,0.82,0.79,0.77,0.0
32,Hamilton,17065,8116,92.72865083,3.155201407,29.98860258,17.92336233,2.976554927,0.0,0.0,1.679516817,0.81,0.82,0.78,0.0
33,Hancock,17067,17708,86.06165151,3.050521496,28.34818944,17.12140047,3.76477894,20.39,25.65,1.53049446,0.81,0.8,0.8,0.0
34,Hardin,17069,3821,94.13379501,3.120713754,30.13720267,17.94914424,3.21097154,20.55,26.75,2.614801783,0.8,0.84,0.79,0.0
35,Henderson,17071,6646,86.99488608,2.558517382,27.91340906,16.55531474,3.833097403,20.54,25.5,1.7537307,0.83,0.81,0.82,0.0
36,Henry,17073,48913,89.23688767,3.521013416,27.3895213,15.91459846,3.740338426,17.53,26.95,1.573106888,0.85,0.83,0.81,0.0
37,Iroquois,17075,27114,91.12623484,2.934636989,27.95584175,15.6303219,3.751826777,17.44,28.11,1.739902042,0.85,0.84,0.77,0.0
38,Jackson,17077,56750,92.54617415,2.270363864,30.21751514,18.05900658,2.848311094,21.35,27.54,1.944066094,0.79,0.82,0.8,0.0
39,Jasper,17079,9610,93.21239588,4.739310871,29.01374997,17.34154667,3.476585736,20.17,27.14,1.494577714,0.84,0.83,0.78,0.0
40,Jefferson,17081,37684,92.46329983,3.490700905,29.76038995,17.69477007,3.053930527,22.87,26.85,1.857992125,0.8,0.81,0.85,0.0
41,Jersey,17083,21773,90.72733186,2.811362042,29.40505605,17.68367761,3.490451328,20.92,27.1,1.93405165,0.84,0.84,0.79,0.0
42,Jo Daviess,17085,21235,90.22337051,4.06516273,26.12356483,14.99386326,3.880199898,18.39,25.06,1.837647946,0.84,0.83,0.78,0.0
43,Johnson,17087,12417,93.2681575,2.869440588,30.22940839,18.34519389,2.87503699,20.61,27.37,2.164557467,0.81,0.83,0.71,0.0
44,Kane,17089,532403,90.28496474,3.549557203,26.64216459,15.18889844,4.14861251,18.32,28.91,1.349483401,0.81,0.78,0.7,0.3882967363659309
45,Kankakee,17091,109862,90.83266255,2.725156597,27.5235213,15.53024812,3.686471152,19.3,28.9,1.519965536,0.81,0.8,0.76,0.0
46,Kendall,17093,128990,88.5201779,2.873923041,27.17862935,15.64390148,3.736502062,17.92,28.04,1.566171318,0.82,0.81,0.81,0.7267336230578044
47,Knox,17095,49699,90.97343873,3.284975362,27.49837802,15.62879872,3.849591605,18.29,27.05,1.664976044,0.84,0.84,0.72,0.0
48,Lake,17097,696535,87.8911722,3.497970686,26.01343553,15.59081194,4.421001759,18.48,25.87,4.419959638,0.75,0.75,0.76,0.1404212356226207
49,LaSalle,17099,108669,89.93417199,2.85467355,27.33036371,15.24485292,3.742375251,20.76,27.98,1.766790716,0.83,0.8,0.74,0.0
50,Lawrence,17101,15678,93.97937555,4.038517139,29.49325634,17.74282678,3.080632173,18.93,27.3,1.304076495,0.82,0.82,0.81,0.0
51,Lee,17103,34096,91.19008493,4.035465589,26.87458111,15.03244054,3.952799022,17.4,26.03,1.589539709,0.84,0.82,0.79,0.0
52,Livingston,17105,35648,91.71939278,2.657220093,28.05107975,15.53909465,3.607980733,17.88,28.16,2.004815247,0.82,0.81,0.83,0.0
53,Logan,17107,28618,90.56279762,2.831680628,28.46882849,16.62885548,3.661566117,19.12,27.44,1.77134849,0.86,0.84,0.79,0.0
54,McDonough,17109,29682,91.09327648,2.543040105,27.76740566,16.27567168,3.844506228,17.79,27.66,1.541254157,0.83,0.81,0.76,0.0
55,McHenry,17111,307774,92.08324452,3.873082254,26.45986113,14.47813388,4.249217767,17.55,26.88,1.402771181,0.81,0.8,0.76,0.3205939965568204
56,McLean,17113,171517,90.89734099,2.480322404,28.34354526,16.01926198,3.898152847,17.97,27.84,1.64352852,0.84,0.81,0.75,0.582849082886968
57,Macon,17115,104009,89.1444787,3.849594147,28.44650538,17.15278724,3.608154418,20.11,28.26,1.775814994,0.87,0.83,0.81,0.0
58,Macoupin,17117,44926,90.85462832,3.955633126,28.91906145,17.38384836,3.614373958,19.78,27.41,1.777225578,0.85,0.84,0.68,0.0
59,Madison,17119,262966,89.212775,3.502910448,29.26160966,18.41443545,3.441178761,21.7,30.28,1.692098226,0.81,0.8,0.79,0.0
60,Marion,17121,37205,91.80194583,4.213491806,29.46297884,17.69884346,3.373484514,20.0,28.53,1.831475338,0.81,0.82,0.8,0.0
61,Marshall,17123,11438,89.81844503,2.836476868,27.83401474,15.75555466,3.705659548,19.21,26.56,1.836094596,0.83,0.82,0.8,0.0
62,Mason,17125,13359,90.22232325,2.639008253,28.7158643,16.5692335,3.782514311,20.02,26.78,1.699273849,0.81,0.78,0.78,0.0
63,Massac,17127,13772,94.49891256,2.403934181,30.65720999,18.40272905,2.910614489,21.65,28.13,1.654134234,0.79,0.8,0.82,0.0
64,Menard,17129,12196,89.54387354,3.515609569,28.52059548,17.02186076,3.758193529,17.92,28.75,1.987847372,0.85,0.83,0.82,0.0
65,Mercer,17131,15437,88.5533136,3.379605141,27.83456574,16.06743489,3.803615019,19.58,25.94,1.832185951,0.85,0.85,0.79,0.0
66,Monroe,17133,34637,87.60953788,2.893985007,30.29701208,18.84408958,3.083393745,20.78,27.92,1.772560949,0.79,0.82,0.68,0.0
67,Montgomery,17135,28414,91.07622579,4.411366502,29.08619778,17.2325233,3.622889933,19.69,27.24,1.951139498,0.85,0.84,0.78,0.0
68,Morgan,17137,33658,91.8057361,3.875885809,28.82315653,16.7458067,3.709330189,20.16,28.51,1.780534132,0.84,0.83,0.0,0.0
69,Moultrie,17139,14501,90.2839153,3.292741351,28.53992408,17.10982329,3.576489009,20.75,26.02,1.697813459,0.86,0.81,0.84,0.0
70,Ogle,17141,50643,91.01195434,4.722797153,26.74646347,15.00697181,4.128041002,16.66,25.59,1.62275035,0.85,0.83,0.81,0.0
71,Peoria,17143,179179,88.26876791,2.633969433,27.97755979,16.21442016,3.800841782,20.18,27.91,1.574132388,0.82,0.82,0.76,1.1204293485263552
72,Perry,17145,20916,91.95335707,2.673529377,29.8650706,17.83101661,2.866789034,19.17,30.51,1.561145561,0.77,0.78,0.71,0.0
73,Piatt,17147,16344,89.7169169,2.580338839,28.4407801,16.75119357,3.563754559,0.0,0.0,1.889675265,0.87,0.83,0.79,0.0
74,Pike,17149,15561,88.56297565,2.989132158,28.86641157,17.4075175,3.586998593,20.45,26.85,1.761958678,0.81,0.82,0.79,0.0
75,Pope,17151,4177,93.68204878,2.825873932,30.25764611,18.16057752,2.94208909,19.93,27.81,2.4440928,0.8,0.84,0.79,0.0
76,Pulaski,17153,5335,92.14803853,2.429809738,30.67451627,19.13140461,2.953964061,20.6,28.06,1.812716239,0.79,0.81,0.84,0.0
77,Putnam,17155,5739,88.28896524,3.467016232,27.53099912,15.81258965,3.657991709,19.45,26.38,1.733474029,0.82,0.81,0.76,0.0
78,Randolph,17157,31782,90.0170351,2.638978286,30.22711463,18.12992207,2.925481665,21.5,28.81,1.853390149,0.8,0.8,0.8,3.322148765821733
79,Richland,17159,15513,93.53214983,4.973278136,29.52724897,17.55208778,3.282169141,20.28,27.98,1.417252667,0.83,0.82,0.78,0.0
80,Rock Island,17161,141879,87.01763766,3.442242167,27.66465999,16.26770794,3.692999306,19.72,26.72,1.351370226,0.83,0.81,0.68,0.0
81,St. Clair,17163,259686,87.28426069,3.777527251,30.21123798,19.00183409,2.992309105,21.85,30.28,1.542828458,0.81,0.79,0.77,0.3953397352014454
82,Saline,17165,23491,92.60094375,3.394096878,30.60752999,18.18919117,2.882436293,19.12,29.62,1.835987026,0.79,0.82,0.79,0.0
83,Sangamon,17167,194672,90.3329723,4.37463887,28.59432823,17.17057426,3.675131115,20.46,27.55,1.754438153,0.84,0.82,0.8,0.0
84,Schuyler,17169,6768,89.99120468,3.311338582,28.345501,16.65340998,3.803447014,19.27,27.33,1.851334223,0.82,0.83,0.79,0.0
85,Scott,17171,4951,89.93576141,3.018958321,29.00384011,17.15398096,3.683596092,19.43,27.25,1.614213163,0.81,0.82,0.83,0.0
86,Shelby,17173,21634,91.85464236,4.298686604,28.64034646,17.07084894,3.596462031,20.59,25.9,1.731512222,0.86,0.85,0.79,0.0
87,Stark,17175,5342,90.1453243,3.323983676,27.26175906,15.61050038,3.754935607,0.0,0.0,1.728147918,0.83,0.83,0.81,0.0
88,Stephenson,17177,44498,91.8602713,5.027674823,26.19589264,14.69215298,4.126836511,0.0,0.0,1.618262789,0.84,0.82,0.79,0.0
89,Tazewell,17179,131803,89.36384901,2.370634026,28.53431207,16.2840215,3.807739961,21.14,28.63,1.530069622,0.83,0.8,0.77,0.0
90,Union,17181,16653,92.79266214,2.635593268,30.27663819,18.31938299,2.832679702,20.4,27.88,2.212725247,0.8,0.83,0.8,0.0
91,Vermilion,17183,75758,92.03258927,2.931308561,28.33206465,15.82099587,3.626146667,19.31,27.44,1.473901946,0.84,0.82,0.82,0.0
92,Wabash,17185,11520,93.84562253,4.489317809,29.89051181,18.03072992,2.972034811,18.64,27.53,1.387206959,0.82,0.82,0.77,0.0
93,Warren,17187,16844,89.53924147,2.867105365,27.63963659,15.96468963,3.86417586,0.0,0.0,1.666621289,0.85,0.84,0.8,0.0
94,Washington,17189,13887,90.20157329,3.491246845,29.60248553,18.16735546,3.207382764,0.0,0.0,1.747884441,0.79,0.81,0.82,0.0
95,Wayne,17191,16215,92.88359815,4.01102169,29.52033581,17.78592461,3.328279819,0.0,0.0,1.67525464,0.82,0.82,0.8,0.0
96,White,17193,13537,93.79391118,3.952731769,30.08062644,18.09911461,3.030220297,19.16,28.37,1.624396602,0.82,0.82,0.69,0.0
97,Whiteside,17195,55175,89.17026172,3.935785525,27.16087834,15.79583531,3.601012459,18.06,26.92,1.495601091,0.83,0.83,0.75,0.0
98,Will,17197,690743,89.64853555,2.768557614,27.54365573,15.6347136,3.74580119,20.47,29.04,1.21856077,0.79,0.75,0.78,0.0
99,Williamson,17199,66597,92.86359338,3.322470805,30.1580865,18.15440348,2.804807245,22.31,27.82,1.767567499,0.78,0.81,0.78,0.0
