,County_1,FIPS,Population,Hum_23,Pre_23,Tmax_23,Tmin_23,WS_23,LSTNight_2023,LSTDay_2023,Chlorophyll_2023,Ag_MEAN_2023,Fs_MEAN_2023,Rn_MEAN_2023,Cases_normalized_2023
0,Adams,17001,65435,80.156819,2.598918835,28.81206294,16.64385195,3.509917242,20.57,26.62,1.738076756,0.79,0.8,0.77,1.5519515791107317
1,Alexander,17003,5761,92.35483785,4.62789625,29.96826682,18.33339318,2.979814349,21.25,27.86,1.74042255,0.77,0.84,0.59,0.0
2,Bond,17005,16426,87.93172214,3.354471728,28.87877013,16.41571503,3.666769333,20.97,27.03,1.629841944,0.81,0.82,0.8,0.0
3,Boone,17007,53544,84.94161103,3.024114313,26.70637253,14.31515461,3.842082198,17.14,27.02,1.485985314,0.83,0.81,0.75,0.0
4,Brown,17009,6578,83.88259533,2.443423704,28.59551049,16.055039,3.595764287,20.33,26.49,2.023601247,0.82,0.83,0.79,0.0
5,Bureau,17011,32628,84.58572387,3.044702875,27.59148332,15.10760023,3.489477051,18.85,25.96,1.803238904,0.83,0.81,0.8,0.0
6,Calhoun,17013,4739,83.69184673,2.543989796,29.50914493,17.09776642,3.495144753,20.94,26.29,1.892000522,0.8,0.83,0.78,0.0
7,Carroll,17015,14305,83.37552146,2.514305002,27.51169343,14.6070582,3.647926402,18.86,25.01,1.395870342,0.83,0.81,0.76,0.0
8,Cass,17017,12147,85.59834637,2.362457298,29.03254434,15.94207841,3.648923074,20.53,26.49,1.904397387,0.8,0.82,0.77,0.0
9,Champaign,17019,209689,86.00066355,2.665401875,28.1842794,15.70797464,3.423976944,0.0,0.0,1.570749458,0.82,0.82,0.76,0.4766148904024059
10,Christian,17021,32304,86.13751364,2.615162441,28.61341392,16.23372802,3.595321633,19.42,27.37,1.683479298,0.79,0.8,0.79,0.0
11,Clark,17023,15441,88.55721758,3.00797057,28.5408586,15.9457016,3.428019147,18.79,27.08,1.397863419,0.79,0.81,0.76,0.0
12,Clay,17025,13184,87.54047358,3.383493363,29.63685791,16.88188176,3.454142608,0.0,0.0,1.655847678,0.8,0.82,0.8,0.0
13,Clinton,17027,37562,85.37018218,2.865009328,29.60836059,17.50016143,3.579392771,22.96,25.75,1.326461816,0.78,0.8,0.84,0.0
14,Coles,17029,50621,86.1266345,2.731150752,28.64248144,16.22848879,3.542764149,18.58,27.0,1.453769969,0.79,0.81,0.68,4.298117424568039
15,Cook,17031,5150233,79.90509621,3.887430579,26.13358913,16.33682183,3.691988194,18.84,29.9,0.885392195,0.68,0.74,0.6,1.2056341227125522
16,Crawford,17033,18667,89.63520894,2.851030132,28.82616509,16.4464189,3.175042979,18.79,28.07,1.46679881,0.82,0.83,0.74,0.0
17,Cumberland,17035,10766,87.45389977,3.014088053,28.87034009,16.17169064,3.589437211,18.52,27.04,1.542552962,0.78,0.8,0.79,0.0
18,DeKalb,17037,104897,85.07505064,3.015146449,26.67375897,14.50058606,3.875228679,17.81,27.08,1.481935667,0.83,0.81,0.66,0.0
19,De Witt,17039,15638,86.85082345,3.385925677,28.23496111,15.59247866,3.495267779,19.69,26.8,1.621783459,0.84,0.81,0.0,0.0
20,Douglas,17041,19465,86.03788232,3.101232758,28.42183197,16.05379459,3.492675128,0.0,0.0,1.415711672,0.81,0.8,0.81,0.0
