County_1,FIPS,State,Population,X,Y,Ag_MEAN_2017,Ag_MEAN_2018,Ag_MEAN_2019,Ag_MEAN_2020,Ag_MEAN_2021,Ag_MEAN_2022,Ag_MEAN_2023,Ag_MEAN_2024,Fs_MEAN_2017,Fs_MEAN_2018,Fs_MEAN_2019,Fs_MEAN_2020,Fs_MEAN_2021,Fs_MEAN_2022,Fs_MEAN_2023,Fs_MEAN_2024,Rn_MEAN_2017,Rn_MEAN_2018,Rn_MEAN_2019,Rn_MEAN_2020,Rn_MEAN_2021,Rn_MEAN_2022,Rn_MEAN_2023,Rn_MEAN_2024
Edwards,17047,Illinois,6395,-88.0533,38.4165,0.77,0.75,0.75,0.74,0.77,0.82,0.8,0.8,0.78,0.78,0.78,0.77,0.8,0.83,0.81,0.81,0.73,0.78,0.82,0.76,0.82,0.8,0.8,0.8064
Effingham,17049,Illinois,34008,-88.5899,39.0598,0.76,0.76,0.79,0.72,0.77,0.84,0.79,0.8,0.78,0.81,0.81,0.76,0.8,0.84,0.8,0.81,0.76,0.81,0.73,0.7,0.77,0.83,0.79,0.7977
Fayette,17051,Illinois,21336,-89.0242,39.0002,0.78,0.78,0.81,0.72,0.79,0.83,0.8,0.81,0.8,0.82,0.82,0.77,0.82,0.83,0.82,0.82,0.72,0.72,0.75,0.75,0.78,0.77,0.79,0.7818
Ford,17053,Illinois,12961,-88.2233,40.5972,0.81,0.73,0.8,0.73,0.8,0.84,0.84,0.83,0.79,0.74,0.75,0.73,0.8,0.82,0.81,0.81,0.77,0.79,0.77,0.75,0.79,0.78,0.78,0.7831
Franklin,17055,Illinois,38469,-88.9242,37.9923,0.78,0.79,0.74,0.73,0.78,0.8,0.81,0.8,0.78,0.79,0.76,0.76,0.79,0.8,0.8,0.8,0.77,0.76,0.74,0.74,0.71,0.77,0.84,0.7739
Fulton,17057,Illinois,34340,-90.2075,40.4728,0.82,0.77,0.79,0.77,0.81,0.83,0.82,0.82,0.82,0.8,0.79,0.79,0.82,0.82,0.82,0.82,0.76,0.77,0.82,0.77,0.83,0.75,0.79,0.7889
Gallatin,17059,Illinois,4828,-88.2305,37.7628,0.75,0.73,0.74,0.71,0.73,0.79,0.8,0.77,0.82,0.82,0.8,0.8,0.81,0.83,0.84,0.83,0.77,0.76,0.74,0.68,0.7,0.83,0.75,0.7601
Greene,17061,Illinois,12969,-90.3905,39.3562,0.79,0.73,0.81,0.74,0.81,0.84,0.8,0.81,0.79,0.79,0.83,0.78,0.83,0.84,0.82,0.83,0.73,0.68,0.75,0.75,0.76,0.75,0.78,0.7639
Grundy,17063,Illinois,51054,-88.4185,41.2851,0.81,0.73,0.8,0.73,0.77,0.82,0.82,0.8,0.77,0.75,0.78,0.74,0.76,0.79,0.78,0.78,0.75,0.77,0.79,0.77,0.81,0.77,0.78,0.7867
Hamilton,17065,Illinois,8116,-88.5391,38.0816,0.77,0.76,0.74,0.72,0.76,0.81,0.81,0.8,0.79,0.8,0.78,0.78,0.81,0.82,0.83,0.82,0.8,0.76,0.79,0.8,0.8,0.78,0.8,0.7934
