County_1,FIPS,State,Population,X,Y,Hum_17,Pre_17,Tmax_17,Tmin_17,WS_17,Hum_18,Pre_18,Tmax_18,Tmin_18,WS_18,Hum_19,Pre_19,Tmax_19,Tmin_19,WS_19,Hum_20,Pre_20,Tmax_20,Tmin_20,WS_20,Hum_21,Pre_21,Tmax_21,Tmin_21,WS_21,Hum_22,Pre_22,Tmax_22,Tmin_22,WS_22,Hum_23,Pre_23,Tmax_23,Tmin_23,WS_23,Hum_24,Pre_24,Tmax_24,Tmin_24,WS_24
Christian,17021,Illinois,32304,-89.2773,39.5458,86.44682664,1.862649689,29.01673657,16.06372475,3.850025144,94.48744672,4.792936971,28.92615186,17.70783381,3.732046885,95.09062156,4.236352111,28.67770141,17.45869173,3.717942619,93.88344294,2.604866296,28.47237289,16.5474707,3.58799909,94.26864031,4.416068273,28.94473729,17.46087297,3.528670168,91.64446589,3.919274776,28.44143063,16.97757582,3.634879971,86.13751364,2.615162441,28.61341392,16.23372802,3.595321633,90.5345428,3.120825598,28.71772512,16.85511655,3.822745311
Clark,17023,Illinois,15441,-87.7877,39.3336,89.21322051,2.177703114,29.12633474,16.04176957,3.616465909,95.15447,5.117160414,29.36247365,17.89184747,3.448042135,95.26635442,3.829460835,29.32064914,17.36171592,3.530893135,94.65672983,3.197186422,28.43449177,16.41985428,3.334522911,95.504329,4.307670845,28.56944853,17.25372763,3.466532101,93.14441783,3.336530562,28.90501865,16.86385743,3.41945158,88.55721758,3.00797057,28.5408586,15.9457016,3.428019147,91.17874984,2.435616648,28.74805458,16.41554081,3.616940001
Clay,17025,Illinois,13184,-88.4902,38.7541,88.01034734,1.919496628,30.05107403,16.55257413,3.645716545,93.44493801,5.380674488,30.03696392,18.59943929,3.4750187,95.95156828,3.710490325,30.0114052,18.00865699,3.511645766,95.33390818,3.417311664,29.18343574,17.09596501,3.335514728,95.55264018,5.033251763,29.43134401,17.80906849,3.400091929,92.90503915,5.385835782,29.50303665,17.52940924,3.376832391,87.54047358,3.383493363,29.63685791,16.88188176,3.454142608,91.29604208,3.821621899,29.71589572,17.48168731,3.604656638
Clinton,17027,Illinois,37562,-89.4225,38.6064,86.50549241,1.975902563,29.74424799,17.26469634,3.674456245,92.39833183,5.319349381,29.83619249,19.09293289,3.605882894,95.21361615,4.507881203,29.53059972,18.63965729,3.600190799,94.97333436,3.522532961,29.03736256,17.62061917,3.41926691,94.29185074,3.968418403,29.44882744,18.38135531,3.446372564,90.01351137,3.92900199,29.52101736,18.23576396,3.482509231,85.37018218,2.865009328,29.60836059,17.50016143,3.579392771,90.75773042,4.512457917,29.66605946,18.16905299,3.689934957
Coles,17029,Illinois,50621,-88.2218,39.5203,86.4599174,1.889236579,28.92053246,16.20624985,3.770011338,93.80241616,4.953207759,28.9053059,17.97425782,3.594984855,93.26184979,3.70835913,28.96889831,17.63748849,3.670855425,92.42685133,3.256169538,28.56290922,16.8426758,3.487225909,92.73066106,4.86755874,29.0832562,17.77959198,3.554427762,91.07071571,3.542421594,28.68726278,17.03322253,3.56956817,86.1266345,2.731150752,28.64248144,16.22848879,3.542764149,90.22106206,3.342517655,28.4856508,16.65409965,3.72759472
Cook,17031,Illinois,5150233,-87.8168,41.8401,85.99302353,2.644728493,26.98567235,16.0532431,3.840832462,89.86909298,4.022197895,27.33991875,16.97876303,3.873144266,89.9228588,4.334844701,26.7842539,16.8175323,3.803427734,84.61355603,2.716444544,27.43310234,17.03958186,3.881133377,82.0810732,3.103974262,27.80309198,17.74408271,4.028961884,82.67208701,3.109863139,26.95385754,16.97811097,4.007345583,79.90509621,3.887430579,26.13358913,16.33682183,3.691988194,84.18690305,3.351249247,27.77939431,16.87303173,3.769223045
Crawford,17033,Illinois,18667,-87.7596,39.0027,91.34095992,2.058746941,29.06349664,16.06539738,3.374272444,96.2388897,5.453094576,29.52598961,18.08598129,3.173566913,96.6908075,3.864300984,29.38995192,17.5927124,3.247755358,96.39232448,3.318016983,28.54138033,16.53402636,3.059309384,96.89347477,4.840202887,28.8372286,17.28448497,3.202764083,94.55200579,3.718880662,29.10539919,17.18738112,3.086614888,89.63520894,2.851030132,28.82616509,16.4464189,3.175042979,91.78878003,2.690101815,29.13464854,17.01169543,3.309629903
Cumberland,17035,Illinois,10766,-88.2402,39.2733,88.00521381,1.794440168,29.4747909,16.15078715,3.798657063,94.74744847,5.54018149,29.41120324,18.00685917,3.622612776,94.89812435,3.953428637,29.34408912,17.54756304,3.716080481,94.59788219,3.619201902,28.60901782,16.66927772,3.503741077,94.80547989,4.02054361,29.00165287,17.54270724,3.59590162,92.88929902,4.632002809,28.9353172,17.01613906,3.574364988,87.45389977,3.014088053,28.87034009,16.17169064,3.589437211,90.99777586,3.600714796,28.86459086,16.7145393,3.785970892
DeKalb,17037,Illinois,104897,-88.7703,41.8935,92.88308482,3.33591502,26.84899447,14.16654409,3.984796261,94.72663597,4.049858257,27.11802014,15.51325874,3.932169583,94.37639469,4.453446369,26.78076581,15.71544428,3.837925357,91.53273033,3.04351028,27.24227289,14.98195411,4.073757407,88.65127249,2.641674784,28.06159939,15.46168401,4.123205528,90.57346744,4.013494875,26.46530572,15.04593756,4.141982736,85.07505064,3.015146449,26.67375897,14.50058606,3.875228679,89.75472037,3.436050287,27.32613102,15.10083857,3.971157931
De Witt,17039,Illinois,15638,-88.9041,40.1746,86.06902132,1.686750401,28.60701741,15.69108149,3.832159555,92.34804399,3.241497815,28.77042805,17.17654546,3.808432912,93.75119496,3.167569547,28.41509485,16.94058578,3.67839549,92.17413825,2.25487504,28.26846268,16.17918602,3.607652289,92.60988906,4.093598556,28.74357154,17.18278659,3.552556784,91.09815251,2.502382447,28.29432089,16.26315296,3.687890408,86.85082345,3.385925677,28.23496111,15.59247866,3.495267779,90.11048916,2.873899877,28.0831216,16.44631956,3.724849418
